Voltage	Current, 0 suns
0	1.4703e-11
0.012	2.6314e-11
0.024	3.7925e-11
0.036	4.9537e-11
0.048	6.1148e-11
0.06	7.2759e-11
0.072	8.4371e-11
0.084	9.5982e-11
0.096	1.0759e-10
0.108	1.192e-10
0.12	1.3082e-10
0.132	1.4243e-10
0.144	1.5404e-10
0.156	1.6565e-10
0.168	1.7726e-10
0.18	1.8887e-10
0.192	2.0048e-10
0.204	2.121e-10
0.216	2.2371e-10
0.228	2.3532e-10
0.24	2.4693e-10
0.252	2.5854e-10
0.264	2.7015e-10
0.276	2.8176e-10
0.288	2.9337e-10
0.3	3.0499e-10
0.312	3.166e-10
0.324	3.2821e-10
0.336	3.3982e-10
0.348	3.5143e-10
0.36	3.6304e-10
0.372	3.7465e-10
0.384	3.8627e-10
0.396	3.9788e-10
0.408	4.0949e-10
0.42	4.211e-10
0.432	4.3271e-10
0.444	4.4432e-10
0.456	4.5593e-10
0.468	4.6754e-10
0.48	4.7916e-10
0.492	4.9077e-10
0.504	5.0238e-10
0.516	5.1399e-10
0.528	5.256e-10
0.54	5.3721e-10
0.552	5.4882e-10
0.564	5.6044e-10
0.576	5.7205e-10
0.588	5.8366e-10
0.6	5.9527e-10
0.612	6.0688e-10
0.624	6.1849e-10
0.636	6.301e-10
0.648	6.4171e-10
0.66	6.5333e-10
0.672	6.6494e-10
0.684	6.7655e-10
0.696	6.8816e-10
0.708	6.9977e-10
0.72	7.1135e-10
0.732	7.2288e-10
0.744	7.3444e-10
0.756	7.46e-10
0.768	7.5756e-10
0.78	7.6912e-10
0.792	7.8068e-10
0.804	7.9224e-10
0.816	8.038e-10
0.828	8.1536e-10
0.84	8.2692e-10
0.852	8.3848e-10
0.864	8.5004e-10
0.876	8.616e-10
0.888	8.7316e-10
0.9	8.8472e-10
0.912	8.9628e-10
0.924	9.0784e-10
0.936	9.194e-10
0.948	9.3096e-10
0.96	9.4252e-10
0.972	9.5408e-10
0.984	9.6564e-10
0.996	9.772e-10
1.008	9.8876e-10
1.02	1.0003e-09
1.032	1.0119e-09
1.044	1.0234e-09
1.056	1.035e-09
1.068	1.0466e-09
1.08	1.0581e-09
1.092	1.0697e-09
1.104	1.0812e-09
1.116	1.0928e-09
1.128	1.1044e-09
1.14	1.1159e-09
1.152	1.1275e-09
1.164	1.139e-09
1.176	1.1506e-09
1.188	1.1622e-09
1.2	1.1603e-09
1.188	1.1361e-09
1.176	1.1232e-09
1.164	1.1116e-09
1.152	1.1e-09
1.14	1.0884e-09
1.128	1.0768e-09
1.116	1.0652e-09
1.104	1.0535e-09
1.092	1.0419e-09
1.08	1.0303e-09
1.068	1.0187e-09
1.056	1.0071e-09
1.044	9.9548e-10
1.032	9.8387e-10
1.02	9.7226e-10
1.008	9.6065e-10
0.996	9.4904e-10
0.984	9.3743e-10
0.972	9.2581e-10
0.96	9.142e-10
0.948	9.0259e-10
0.936	8.9098e-10
0.924	8.7937e-10
0.912	8.6776e-10
0.9	8.5615e-10
0.888	8.4454e-10
0.876	8.3292e-10
0.864	8.2131e-10
0.852	8.097e-10
0.84	7.9809e-10
0.828	7.8648e-10
0.816	7.7487e-10
0.804	7.6326e-10
0.792	7.5164e-10
0.78	7.4003e-10
0.768	7.2842e-10
0.756	7.1681e-10
0.744	7.052e-10
0.732	6.9359e-10
0.72	6.8198e-10
0.708	6.7037e-10
0.696	6.5875e-10
0.684	6.4714e-10
0.672	6.3553e-10
0.66	6.2392e-10
0.648	6.1231e-10
0.636	6.007e-10
0.624	5.8909e-10
0.612	5.7748e-10
0.6	5.6586e-10
0.588	5.5425e-10
0.576	5.4264e-10
0.564	5.3103e-10
0.552	5.1942e-10
0.54	5.0781e-10
0.528	4.962e-10
0.516	4.8458e-10
0.504	4.7297e-10
0.492	4.6136e-10
0.48	4.4975e-10
0.468	4.3814e-10
0.456	4.2653e-10
0.444	4.1492e-10
0.432	4.0331e-10
0.42	3.9169e-10
0.408	3.8008e-10
0.396	3.6847e-10
0.384	3.5686e-10
0.372	3.4525e-10
0.36	3.3364e-10
0.348	3.2203e-10
0.336	3.1041e-10
0.324	2.988e-10
0.312	2.8719e-10
0.3	2.7558e-10
0.288	2.6397e-10
0.276	2.5236e-10
0.264	2.4075e-10
0.252	2.2914e-10
0.24	2.1752e-10
0.228	2.0591e-10
0.216	1.943e-10
0.204	1.8269e-10
0.192	1.7108e-10
0.18	1.5947e-10
0.168	1.4786e-10
0.156	1.3624e-10
0.144	1.2463e-10
0.132	1.1302e-10
0.12	1.0141e-10
0.108	8.9799e-11
0.096	7.8188e-11
0.084	6.6577e-11
0.072	5.4965e-11
0.06	4.3354e-11
0.048	3.1743e-11
0.036	2.0131e-11
0.024	8.52e-12
0.012	-3.0913e-12
0	-1.4703e-11
-0.012	-2.6314e-11
-0.024	-3.7925e-11
-0.036	-4.9537e-11
-0.048	-6.1148e-11
-0.06	-7.2759e-11
-0.072	-8.4371e-11
-0.084	-9.5982e-11
-0.096	-1.0759e-10
-0.108	-1.192e-10
-0.12	-1.3082e-10
-0.132	-1.4243e-10
-0.144	-1.5404e-10
-0.156	-1.6565e-10
