Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
0	-3	-6	-4.50000181102276	-4.49999818897724
1.35886495081699e-09	-3	-6	-4.50000276300626	-4.49999723699374
2.80761188759511e-09	-3	-6	-4.50000377799721	-4.49999622200279
4.3515222362309e-09	-3	-6	-4.50000485970345	-4.49999514029655
5.99613985917168e-09	-3	-6	-4.50000601201777	-4.49999398798223
7.7472808530953e-09	-3	-6	-4.50000723902499	-4.49999276097501
9.61104350254161e-09	-3	-6	-4.50000854500908	-4.49999145499092
1.15938183775694e-08	-3	-6	-4.50000993446037	-4.49999006553963
1.37022985623326e-08	-3	-6	-4.50001141208298	-4.49998858791702
1.59434900003054e-08	-3	-6	-4.50001298280222	-4.49998701719778
1.83247219406346e-08	-3	-6	-4.50001465177218	-4.49998534822782
2.08536574688818e-08	-3	-6	-4.50001642438337	-4.49998357561663
2.35383041040966e-08	-3	-6	-4.50001830627043	-4.49998169372957
2.63870244429042e-08	-3	-6	-4.5000203033199	-4.4999796966801
2.94085468299207e-08	-3	-6	-4.50002242167806	-4.49997757832194
3.26119760325174e-08	-3	-6	-4.50002466775881	-4.49997533224119
3.60068038965432e-08	-3	-6	-4.50002704825151	-4.49997295174849
3.96029199583003e-08	-3	-6	-4.50002957012893	-4.49997042987107
4.34106219866622e-08	-3	-6	-4.50003224065514	-4.49996775934486
4.74406264278637e-08	-3	-6	-4.50003506739334	-4.49996493260666
5.17040787241154e-08	-3	-6	-4.50003805821375	-4.49996194178625
5.62125634758406e-08	-3	-6	-4.50004122130139	-4.49995877869861
6.09781144159812e-08	-3	-6	-4.50004456516374	-4.49995543483626
6.60132241634759e-08	-3	-6	-4.50004809863842	-4.49995190136158
7.133085372175e-08	-3	-6	-4.50005183090066	-4.49994816909934
7.69444416867226e-08	-3	-6	-4.50005577147072	-4.49994422852928
8.28679131276684e-08	-3	-6	-4.50005993022107	-4.49994006977893
8.91156881030186e-08	-3	-6	-4.5000643173835	-4.4999356826165
9.5702689772089e-08	-3	-6	-4.50006894355593	-4.49993105644407
1.02644352062618e-07	-3	-6	-4.50007381970912	-4.49992618029088
1.09956626852978e-07	-3	-6	-4.50007895719301	-4.49992104280699
1.17655990626992e-07	-3	-6	-4.50008436774294	-4.49991563225706
1.25759450558387e-07	-3	-6	-4.50009006348544	-4.49990993651456
1.34284549981169e-07	-3	-6	-4.50009605694384	-4.49990394305616
1.43249373201489e-07	-3	-6	-4.50010236104347	-4.49989763895653
1.52672549605984e-07	-3	-6	-4.50010898911649	-4.49989101088351
1.62573257021119e-07	-3	-6	-4.50011595490642	-4.49988404509358
1.72971224277633e-07	-3	-6	-4.50012327257216	-4.49987672742784
1.83886732934038e-07	-3	-6	-4.50013095669166	-4.49986904330834
1.95340618112904e-07	-3	-6	-4.50013902226506	-4.49986097773494
2.07354268403788e-07	-3	-6	-4.50014748471745	-4.49985251528255
2.19949624786734e-07	-3	-6	-4.50015635990097	-4.49984364009903
2.33149178530677e-07	-3	-6	-4.50016566409653	-4.49983433590347
2.46975968021493e-07	-3	-6	-4.50017541401491	-4.49982458598509
2.61453574475102e-07	-3	-6	-4.50018562679723	-4.49981437320277
2.76606116491835e-07	-3	-6	-4.5001963200149	-4.4998036799851
2.9245824340924e-07	-3	-6	-4.50020751166893	-4.49979248833107
3.09035127411672e-07	-3	-6	-4.5002192201885	-4.4997807798115
3.26362454356331e-07	-3	-6	-4.50023146442902	-4.49976853557098
3.44466413276954e-07	-3	-6	-4.50024426366933	-4.49975573633067
3.63373684528077e-07	-3	-6	-4.50025763760831	-4.49974236239169
3.83111426534661e-07	-3	-6	-4.50027160636068	-4.49972839363932
4.03707261114023e-07	-3	-6	-4.50028619045211	-4.49971380954789
4.25189257339262e-07	-3	-6	-4.50030141081354	-4.49969858918646
4.47585913915872e-07	-3	-6	-4.50031728877465	-4.49968271122535
4.7092614004595e-07	-3	-6	-4.50033384605667	-4.49966615394333
4.95239234757234e-07	-3	-6	-4.50035110476424	-4.49964889523576
5.20554864677329e-07	-3	-6	-4.50036908737649	-4.49963091262351
5.46903040236704e-07	-3	-6	-4.50038781673731	-4.49961218326269
5.74314090287521e-07	-3	-6	-4.50040731604475	-4.49959268395525
6.02818635128987e-07	-3	-6	-4.5004276088395	-4.4995723911605
6.32447557933704e-07	-3	-6	-4.50044871899262	-4.49955128100738
6.6323197457352e-07	-3	-6	-4.50047067069226	-4.49952932930774
6.95203201847492e-07	-3	-6	-4.50049348842964	-4.49950651157036
7.28392724118897e-07	-3	-6	-4.50051719698399	-4.49948280301601
7.62832158372661e-07	-3	-6	-4.50054182140675	-4.49945817859325
7.98553217709206e-07	-3	-6	-4.50056738700479	-4.49943261299521
8.35587673295352e-07	-3	-6	-4.50059391932277	-4.49940608067723
