Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
0	-3.8	-5.4	-4.52910602001019	-4.67089397998982
2.12151739152832e-09	-3.8	-5.4	-4.35732619913539	-4.84267380086461
4.34707627935975e-09	-3.8	-5.4	-4.33879936723282	-4.86120063276718
6.68121450657862e-09	-3.8	-5.4	-4.32769552422165	-4.87230447577835
9.12863752259283e-09	-3.8	-5.4	-4.31963113446047	-4.88036886553953
1.16942230432444e-08	-3.8	-5.4	-4.3132315267268	-4.8867684732732
1.43830257664662e-08	-3.8	-5.4	-4.30788423944147	-4.89211576055853
1.72002821403399e-08	-3.8	-5.4	-4.30326254660029	-4.89673745339972
2.01514151801996e-08	-3.8	-5.4	-4.29917143295351	-4.90082856704649
2.32420393311509e-08	-3.8	-5.4	-4.29548512977315	-4.90451487022685
2.64779653721458e-08	-3.8	-5.4	-4.29211778549781	-4.90788221450219
2.9865205357556e-08	-3.8	-5.4	-4.28900818819061	-4.91099181180939
3.34099775918348e-08	-3.8	-5.4	-4.286111162935	-4.913888837065
3.71187116327228e-08	-3.8	-5.4	-4.28339242406885	-4.91660757593115
4.09980533181195e-08	-3.8	-5.4	-4.28082534036898	-4.91917465963102
4.50548698114988e-08	-3.8	-5.4	-4.27838881883869	-4.92161118116131
4.92962546604839e-08	-3.8	-5.4	-4.27606587279085	-4.92393412720915
5.37295328629467e-08	-3.8	-5.4	-4.27384262474635	-4.92615737525365
5.83622659346949e-08	-3.8	-5.4	-4.27170759473091	-4.92829240526909
6.32022569725685e-08	-3.8	-5.4	-4.26965118122443	-4.93034881877557
6.82575557064784e-08	-3.8	-5.4	-4.26766527538075	-4.93233472461925
7.35364635336391e-08	-3.8	-5.4	-4.26574296945057	-4.93425703054943
7.90475385279966e-08	-3.8	-5.4	-4.26387833308143	-4.93612166691857
8.47996004175491e-08	-3.8	-5.4	-4.26206623937154	-4.93793376062846
9.08017355220112e-08	-3.8	-5.4	-4.26030222795989	-4.93969777204011
9.70633016429694e-08	-3.8	-5.4	-4.25858239607349	-4.94141760392651
1.03593932898425e-07	-3.8	-5.4	-4.25690331094757	-4.94309668905243
1.10403544493356e-07	-3.8	-5.4	-4.25526193877571	-4.9447380612243
1.17502337417614e-07	-3.8	-5.4	-4.2536555865808	-4.9463444134192
1.24900803062315e-07	-3.8	-5.4	-4.25208185428513	-4.94791814571487
1.32609727745455e-07	-3.8	-5.4	-4.25053859490387	-4.94946140509613
1.40640197137427e-07	-3.8	-5.4	-4.24902388126344	-4.95097611873656
1.49003600576674e-07	-3.8	-5.4	-4.24753597800148	-4.95246402199852
1.5771163526564e-07	-3.8	-5.4	-4.24607331787305	-4.95392668212695
1.66776310336782e-07	-3.8	-5.4	-4.24463448159177	-4.95536551840823
1.76209950778339e-07	-3.8	-5.4	-4.24321818059108	-4.95678181940892
1.86025201209182e-07	-3.8	-5.4	-4.24182324221222	-4.95817675778778
1.96235029491986e-07	-3.8	-5.4	-4.24044859691992	-4.95955140308008
2.06852730173672e-07	-3.8	-5.4	-4.23909326722171	-4.96090673277829
2.17891927741934e-07	-3.8	-5.4	-4.23775635802528	-4.96224364197472
2.29366579686445e-07	-3.8	-5.4	-4.23643704821571	-4.96356295178429
2.41290979353221e-07	-3.8	-5.4	-4.23513458327198	-4.96486541672802
2.53679758580406e-07	-3.8	-5.4	-4.23384826877251	-4.96615173122749
2.66547890103673e-07	-3.8	-5.4	-4.23257746466461	-4.96742253533539
2.79910689719234e-07	-3.8	-5.4	-4.23132158019234	-4.96867841980766
2.93783818192436e-07	-3.8	-5.4	-4.23008006939425	-4.96991993060575
3.08183282899734e-07	-3.8	-5.4	-4.22885242709606	-4.97114757290394
3.2312543919183e-07	-3.8	-5.4	-4.22763818533432	-4.97236181466568
3.38626991465696e-07	-3.8	-5.4	-4.22643691015687	-4.97356308984313
3.54704993933107e-07	-3.8	-5.4	-4.22524819875354	-4.97475180124646
3.71376851073405e-07	-3.8	-5.4	-4.22407167687715	-4.97592832312285
3.88660317758096e-07	-3.8	-5.4	-4.22290699652032	-4.97709300347968
4.06573499035004e-07	-3.8	-5.4	-4.22175383381855	-4.97824616618145
4.251348495597e-07	-3.8	-5.4	-4.22061188715349	-4.97938811284651
4.44363172662013e-07	-3.8	-5.4	-4.21948087543435	-4.98051912456565
4.64277619035532e-07	-3.8	-5.4	-4.21836053653752	-4.98163946346248
4.8489768503811e-07	-3.8	-5.4	-4.2172506258877	-4.9827493741123
5.06243210591526e-07	-3.8	-5.4	-4.21615091516524	-4.98384908483476
5.28334376668665e-07	-3.8	-5.4	-4.21506119112675	-4.98493880887325
5.51191702356702e-07	-3.8	-5.4	-4.21398125452734	-4.98601874547266
5.74836041485085e-07	-3.8	-5.4	-4.21291091913425	-4.98708908086575
5.99288578807283e-07	-3.8	-5.4	-4.21185001082277	-4.98814998917723
6.2457082572558e-07	-3.8	-5.4	-4.21079836674655	-4.98920163325345
6.50704615548521e-07	-3.8	-5.4	-4.20975583457513	-4.99024416542487
6.7771209827089e-07	-3.8	-5.4	-4.20872227179226	-4.99127772820774
7.05615734866513e-07	-3.8	-5.4	-4.20769754504944	-4.99230245495056
7.34438291084568e-07	-3.8	-5.4	-4.20668152956967	-4.99331847043034
7.64202830740457e-07	-3.8	-5.4	-4.20567410859669	-4.99432589140331
7.94932708492795e-07	-3.8	-5.4	-4.20467517288593	-4.99532482711407
8.2665156209855e-07	-3.8	-5.4	-4.20368462023319	-4.99631537976681
8.59383304138806e-07	-3.8	-5.4	-4.2027023550381	-4.9972976449619
8.93152113208286e-07	-3.8	-5.4	-4.20172828789914	-4.99827171210086
9.27982424562175e-07	-3.8	-5.4	-4.20076233523775	-4.99923766476225
9.63898920214557e-07	-3.8	-5.4	-4.19980441894889	-5.00019558105111
1.00092651848324e-06	-3.8	-5.4	-4.1988544660761	-5.0011455339239
1.03909036297655e-06	-3.8	-5.4	-4.19791240850897	-5.00208759149103
1.07841581101817e-06	-3.8	-5.4	-4.19697818270112	-5.00302181729888
1.11892842150705e-06	-3.8	-5.4	-4.19605172940729	-5.00394827059271
1.16065394220993e-06	-3.8	-5.4	-4.19513299343779	-5.00486700656221
1.20361829648488e-06	-3.8	-5.4	-4.19422192342921	-5.00577807657079
1.24784756943508e-06	-3.8	-5.4	-4.19331847162987	-5.00668152837013
1.29336799349282e-06	-3.8	-5.4	-4.1924225936992	-5.0075774063008
1.34020593343452e-06	-3.8	-5.4	-4.1915342485197	-5.0084657514803
1.38838787082855e-06	-3.8	-5.4	-4.19065339802074	-5.00934660197926
1.43794038791832e-06	-3.8	-5.4	-4.18978000701332	-5.01021999298668
1.48889015094427e-06	-3.8	-5.4	-4.18891404303484	-5.01108595696516
1.54126389290908e-06	-3.8	-5.4	-4.18805547620335	-5.01194452379665
1.59508839579139e-06	-3.8	-5.4	-4.18720427908047	-5.01279572091953
1.65039047221459e-06	-3.8	-5.4	-4.1863604265424	-5.0136395734576
1.70719694657769e-06	-3.8	-5.4	-4.18552389565846	-5.01447610434154
1.76553463565681e-06	-3.8	-5.4	-4.18469466557669	-5.01530533442331
1.8254303286864e-06	-3.8	-5.4	-4.18387271741584	-5.01612728258416
1.88691076693063e-06	-3.8	-5.4	-4.18305803416357	-5.01694196583643
1.95000262275624e-06	-3.8	-5.4	-4.18225060058026	-5.01774939941974
2.01473247821923e-06	-3.8	-5.4	-4.18145040310803	-5.01854959689197
2.08112680317883e-06	-3.8	-5.4	-4.18065742978479	-5.01934257021521
2.14921193295323e-06	-3.8	-5.4	-4.17987167016285	-5.02012832983715
2.21901404553247e-06	-3.8	-5.4	-4.17909311523182	-5.02090688476818
2.29055913836531e-06	-3.8	-5.4	-4.17832175734552	-5.02167824265448
2.36387300473738e-06	-3.8	-5.4	-4.17755759015268	-5.02244240984732
2.43898120975948e-06	-3.8	-5.4	-4.17680060853114	-5.02319939146886
2.5159090659857e-06	-3.8	-5.4	-4.17605080852535	-5.02394919147465
2.59468160868202e-06	-3.8	-5.4	-4.17530818728694	-5.02469181271306
2.67532357076715e-06	-3.8	-5.4	-4.17457274301822	-5.02542725698178
2.75785935744839e-06	-3.8	-5.4	-4.17384447491836	-5.02615552508164
2.84231302057633e-06	-3.8	-5.4	-4.17312338313212	-5.02687661686788
2.92870823274291e-06	-3.8	-5.4	-4.17240946870104	-5.02759053129896
3.01706826114874e-06	-3.8	-5.4	-4.17170273351673	-5.02829726648327
3.10741594126617e-06	-3.8	-5.4	-4.17100318027645	-5.02899681972355
3.19977365032567e-06	-3.8	-5.4	-4.17031081244056	-5.02968918755944
3.29416328065395e-06	-3.8	-5.4	-4.16962563419188	-5.03037436580812
3.39060621289304e-06	-3.8	-5.4	-4.16894765039681	-5.03105234960319
3.48912328913053e-06	-3.8	-5.4	-4.16827686656812	-5.03172313343188
3.58973478597165e-06	-3.8	-5.4	-4.1676132888293	-5.0323867111707
3.69246038758518e-06	-3.8	-5.4	-4.16695692388035	-5.03304307611965
3.7973191587551e-06	-3.8	-5.4	-4.16630777896507	-5.03369222103493
3.90432951797149e-06	-3.8	-5.4	-4.16566586183953	-5.03433413816047
4.01350921059396e-06	-3.8	-5.4	-4.16503118074192	-5.03496881925808
4.12487528212218e-06	-3.8	-5.4	-4.16440374436348	-5.03559625563652
4.23844405160815e-06	-3.8	-5.4	-4.16378356182059	-5.03621643817941
4.35423108524561e-06	-3.8	-5.4	-4.16317064262793	-5.03682935737207
4.47225117017228e-06	-3.8	-5.4	-4.16256499667262	-5.03743500332738
4.59251828852124e-06	-3.8	-5.4	-4.16196663418929	-5.03803336581071
4.71504559175772e-06	-3.8	-5.4	-4.16137556573615	-5.03862443426385
4.83984537533834e-06	-3.8	-5.4	-4.16079180217177	-5.03920819782823
4.96692905372961e-06	-3.8	-5.4	-4.16021535463283	-5.03978464536717
5.09630713582301e-06	-3.8	-5.4	-4.15964623451255	-5.04035376548745
5.22798920078386e-06	-3.8	-5.4	-4.15908445343987	-5.04091554656013
5.36198387437138e-06	-3.8	-5.4	-4.15853002325937	-5.04146997674063
5.49829880576723e-06	-3.8	-5.4	-4.15798295601188	-5.04201704398812
5.63694064494978e-06	-3.8	-5.4	-4.15744326391565	-5.04255673608435
5.77791502065126e-06	-3.8	-5.4	-4.15691095934822	-5.04308904065178
5.92122651893456e-06	-3.8	-5.4	-4.15638605482885	-5.04361394517115
6.06687866242651e-06	-3.8	-5.4	-4.15586856300149	-5.04413143699851
6.21487389024361e-06	-3.8	-5.4	-4.15535849661833	-5.04464150338167
6.36521353864642e-06	-3.8	-5.4	-4.15485586852385	-5.04514413147615
6.51789782245768e-06	-3.8	-5.4	-4.15436069163936	-5.04563930836064
6.67292581727915e-06	-3.8	-5.4	-4.15387297894802	-5.04612702105198
6.8302954425414e-06	-3.8	-5.4	-4.15339274348034	-5.04660725651966
6.99000344541999e-06	-3.8	-5.4	-4.15291999830013	-5.04708000169987
7.15204538565092e-06	-3.8	-5.4	-4.15245475649079	-5.04754524350921
7.31641562127722e-06	-3.8	-5.4	-4.15199703114215	-5.04800296885785
7.48310729535781e-06	-3.8	-5.4	-4.15154683533759	-5.04845316466241
7.65211232366876e-06	-3.8	-5.4	-4.15110418214161	-5.04889581785839
7.82342138342606e-06	-3.8	-5.4	-4.15066908458775	-5.04933091541225
