Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
0	-3.8	-5.4	-4.6000000573009	-4.6
2.02184590894066e-09	-3.80030017860009	-5.40030017860009	-4.60004464792388	-4.59999999662729
4.14335823799513e-09	-3.80061508255693	-5.40061508255693	-4.60009096437062	-4.59999999273348
6.36891181508354e-09	-3.80094535063373	-5.40094535063373	-4.60013903702292	-4.59999998824147
8.70304447246179e-09	-3.80129164462065	-5.40129164462065	-4.60018889350283	-4.59999998306328
1.11504616483094e-08	-3.80165464990858	-5.40165464990858	-4.6002405583198	-4.59999997709867
1.37160410468289e-08	-3.80203507606267	-5.40203507606267	-4.60029405250134	-4.59999997023343
1.64048373538914e-08	-3.80243365739437	-5.40243365739437	-4.60034939320833	-4.59999996233761
1.92220870050832e-08	-3.80285115353096	-5.40285115353096	-4.60040659333642	-4.59999995326348
2.21732130027976e-08	-3.80328834998126	-5.40328834998126	-4.60046566110533	-4.5999999428432
2.52638297787426e-08	-3.80374605869625	-5.40374605869625	-4.60052659963821	-4.59999993088629
2.84997480980044e-08	-3.80422511862316	-5.40422511862316	-4.60058940653367	-4.59999991717676
3.18869800006108e-08	-3.80472639625162	-5.40472639625162	-4.60065407343373	-4.59999990146987
3.54317437761696e-08	-3.80525078615026	-5.40525078615026	-4.60072058559092	-4.59999988348859
3.91404689670858e-08	-3.80579921149215	-5.40579921149215	-4.60078892143886	-4.59999986291962
4.30198013953979e-08	-3.80637262456726	-5.40637262456726	-4.60085905217079	-4.59999983940892
4.70766082081932e-08	-3.80697200728028	-5.40697200728028	-4.60093094133107	-4.59999981255681
5.13179829361677e-08	-3.80759837163165	-5.40759837163165	-4.60100454442544	-4.59999978191248
5.57512505597142e-08	-3.80825276017997	-5.40825276017997	-4.60107980855595	-4.59999974696792
6.03839725765966e-08	-3.80893624648359	-5.40893624648359	-4.60115667208742	-4.59999970715118
6.52239520650348e-08	-3.80964993551911	-5.40964993551911	-4.60123506435238	-4.5999996618189
7.02792387357311e-08	-3.81039496407457	-5.41039496407458	-4.60131490540198	-4.59999961024813
7.55581339660905e-08	-3.81117250111481	-5.41117250111481	-4.60139610581073	-4.59999955162717
8.10691958096376e-08	-3.81198374811649	-5.41198374811649	-4.60147856654312	-4.59999948504557
8.68212439733243e-08	-3.81282993937019	-5.41282993937019	-4.60156217889023	-4.5999994094831
9.28233647551831e-08	-3.81371234224673	-5.41371234224674	-4.60164682448451	-4.59999932379758
9.90849159344704e-08	-3.81463225742493	-5.41463225742493	-4.60173237540072	-4.59999922671158
1.05615531606198e-07	-3.81559101907775	-5.41559101907775	-4.60181869435048	-4.59999911679775
1.12425126951681e-07	-3.81658999501393	-5.41658999501393	-4.60190563497765	-4.59999899246283
1.19523902936438e-07	-3.81763058677163	-5.41763058677163	-4.60199304226054	-4.5999988519301
1.26922350926539e-07	-3.81871422966106	-5.41871422966106	-4.60208075302619	-4.59999869322028
1.34631257214247e-07	-3.8198423927525	-5.4198423927525	-4.60216859658051	-4.59999851413062
1.426617074435e-07	-3.8210165788063	-5.4210165788063	-4.60225639545662	-4.59999831221221
1.51025090925564e-07	-3.82223832414114	-5.42223832414114	-4.60234396628165	-4.59999808474523
1.5973310483497e-07	-3.82350919843694	-5.42350919843694	-4.60243112076049	-4.59999782871219
1.68797758275519e-07	-3.82483080446842	-5.42483080446842	-4.60251766677241	-4.59999754076881
1.78231376206037e-07	-3.82620477776556	-5.42620477776556	-4.60260340957403	-4.59999721721263
1.88046603215225e-07	-3.82763278619679	-5.42763278619679	-4.60268815309957	-4.59999685394901
1.98256407134813e-07	-3.8291165294708	-5.4291165294708	-4.60277170134628	-4.59999644645455
2.08874082479995e-07	-3.83065773855287	-5.43065773855287	-4.60285385983048	-4.59999598973767
2.19913253705957e-07	-3.83225817499122	-5.43225817499122	-4.60293443709656	-4.59999547829634
2.31387878269063e-07	-3.83391963014924	-5.43391963014924	-4.60301324625908	-4.59999490607267
2.43312249481223e-07	-3.83564392433891	-5.43564392433891	-4.6030901065553	-4.59999426640442
2.55700999145667e-07	-3.83743290585105	-5.43743290585105	-4.60316484488383	-4.59999355197319
2.68569099962338e-07	-3.8392884498778	-5.4392884498778	-4.60323729730346	-4.59999275474924
2.81931867690899e-07	-3.84121245732263	-5.44121245732263	-4.6033073104648	-4.59999186593288
2.95804963059328e-07	-3.84320685349327	-5.44320685349327	-4.6033747429476	-4.59999087589227
3.10204393405883e-07	-3.84527358667285	-5.44527358667285	-4.6034394664763	-4.59998977409773
