Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
0	-2.8	-4.9	-4.75000004512204	-4.75
2.27986488733322e-09	-2.80000000034272	-4.90000000034272	-4.75000203483717	-4.75
4.78638710893473e-09	-2.80000000071951	-4.90000000071951	-4.75000422254053	-4.75
7.53943637653096e-09	-2.80000000113336	-4.90000000113336	-4.75000662562708	-4.75
1.05603366094998e-08	-2.80000000158748	-4.90000000158748	-4.75000926277289	-4.75
1.38719433424862e-08	-2.80000000208531	-4.90000000208531	-4.75001215400491	-4.75
1.74987224573138e-08	-2.80000000263054	-4.90000000263054	-4.75001532077235	-4.75
2.14668299687519e-08	-2.8000000032271	-4.9000000032271	-4.75001878601934	-4.75
2.58041925613601e-08	-2.8000000038792	-4.9000000038792	-4.7500225742587	-4.75
3.05405885411803e-08	-2.80000000459134	-4.90000000459134	-4.7500267116467	-4.75
3.5707728831983e-08	-2.80000000536831	-4.90000000536831	-4.7500312260584	-4.75
4.13393376110172e-08	-2.8000000062152	-4.9000000062152	-4.75003614716342	-4.75
4.74712321441638e-08	-2.80000000713745	-4.90000000713745	-4.75004150650176	-4.75
5.41414013452507e-08	-2.80000000814082	-4.90000000814082	-4.75004733755943	-4.75
6.13900825492864e-08	-2.80000000923143	-4.90000000923143	-4.75005367584344	-4.75
6.92598359549032e-08	-2.80000001041578	-4.90000001041578	-4.75006055895592	-4.75
7.77956161575683e-08	-2.80000001170075	-4.90000001170075	-4.75006802666691	-4.75
8.70448401626033e-08	-2.80000001309362	-4.90000001309363	-4.75007612098535	-4.75
9.70574512359653e-08	-2.80000001460214	-4.90000001460214	-4.75008488622806	-4.75
1.07885977921572e-07	-2.80000001623445	-4.90000001623445	-4.75009436908604	-4.75
1.19585587527084e-07	-2.80000001799921	-4.90000001799921	-4.75010461868785	-4.75
1.32214133355798e-07	-2.80000001990555	-4.90000001990555	-4.75011568665937	-4.75
1.45832194941192e-07	-2.80000002196316	-4.90000002196316	-4.75012762717979	-4.75
1.60503110523097e-07	-2.80000002418226	-4.90000002418226	-4.75014049703302	-4.75
1.76293000990736e-07	-2.80000002657371	-4.90000002657371	-4.75015435565425	-4.75
1.93270784508659e-07	-2.80000002914899	-4.90000002914899	-4.75016926517119	-4.75
2.1150818103702e-07	-2.8000000319203	-4.9000000319203	-4.75018529043927	-4.75
2.31079705958351e-07	-2.8000000349006	-4.9000000349006	-4.75020249907068	-4.75
2.52062652029238e-07	-2.80000003810371	-4.90000003810371	-4.75022096145646	-4.75
2.74537058887484e-07	-2.80000004154437	-4.90000004154437	-4.75024075078134	-4.75
2.98585669363857e-07	-2.80000004523835	-4.90000004523835	-4.75026194303087	-4.75
3.24293871872586e-07	-2.80000004920259	-4.90000004920259	-4.75028461699035	-4.75
3.51749628186758e-07	-2.80000005345535	-4.90000005345535	-4.75030885423523	-4.75
3.81043385943814e-07	-2.80000005801637	-4.90000005801637	-4.7503347391125	-4.75
4.12267975272759e-07	-2.80000006290708	-4.90000006290708	-4.75036235871277	-4.75
4.45518488988454e-07	-2.80000006815087	-4.90000006815087	-4.75039180283267	-4.75
4.80892145859686e-07	-2.80000007377334	-4.90000007377334	-4.7504231639273	-4.75
5.18488136526516e-07	-2.80000007980268	-4.90000007980268	-4.75045653705234	-4.75
5.58407451718691e-07	-2.80000008627008	-4.90000008627008	-4.7504920197958	-4.75
6.00752692510514e-07	-2.80000009321016	-4.90000009321016	-4.7505297121989	-4.75
6.45627862438318e-07	-2.80000010066158	-4.90000010066158	-4.75056971666623	-4.75
6.93138141404302e-07	-2.80000010866765	-4.90000010866765	-4.7506121378648	-4.75
7.43389641394613e-07	-2.80000011727714	-4.90000011727714	-4.75065708261199	-4.75
7.96489144149785e-07	-2.80000012654516	-4.90000012654516	-4.75070465975247	-4.75
8.5254382104134e-07	-2.80000013653419	-4.90000013653419	-4.75075498002376	-4.75
9.11660935529178e-07	-2.80000014731533	-4.90000014731533	-4.75080815591084	-4.75
9.73947528699356e-07	-2.80000015896974	-4.90000015896974	-4.75086430148954	-4.75
1.03951008851042e-06	-2.8000001715903	-4.9000001715903	-4.75092353225902	-4.75
1.1084542035078e-06	-2.80000018528356	-4.90000018528356	-4.75098596496345	-4.75
1.18088420189888e-06	-2.80000020017206	-4.90000020017206	-4.75105171740292	-4.75
1.25690277701528e-06	-2.80000021639701	-4.90000021639702	-4.75112090823397	-4.75
1.33661060032293e-06	-2.80000023412143	-4.90000023412143	-4.75119365675991	-4.75
1.42010592327288e-06	-2.80000025353384	-4.90000025353384	-4.75127008271113	-4.75
1.50748416941634e-06	-2.80000027485264	-4.90000027485264	-4.75135030601577	-4.75
1.59883751833422e-06	-2.80000029833121	-4.90000029833121	-4.75143444656108	-4.75
1.69425448305346e-06	-2.80000032426396	-4.90000032426396	-4.75152262394573	-4.75
1.79381948273912e-06	-2.8000003529935	-4.9000003529935	-4.75161495722345	-4.75
1.89761241256026e-06	-2.8000003849191	-4.9000003849191	-4.75171156463846	-4.75
2.00570821272893e-06	-2.80000042050677	-4.90000042050677	-4.75181256335291	-4.75
2.11817643880331e-06	-2.80000046030119	-4.90000046030119	-4.75191806916691	-4.75
2.23508083542726e-06	-2.80000050494003	-4.90000050494003	-4.75202819623133	-4.75
2.35647891574841e-06	-2.80000055517094	-4.90000055517094	-4.75214305675396	-4.75
2.4824215488137e-06	-2.80000061187194	-4.90000061187194	-4.75226276069937	-4.75
2.61295255728497e-06	-2.8000006760758	-4.9000006760758	-4.75238741548281	-4.75
2.74810832784621e-06	-2.80000074899938	-4.90000074899938	-4.75251712565857	-4.75
2.88791743668788e-06	-2.8000008320788	-4.9000008320788	-4.75265199260324	-4.75
3.03240029245144e-06	-2.80000092701182	-4.90000092701182	-4.75279211419412	-4.75
3.18156879899887e-06	-2.80000103580886	-4.90000103580886	-4.75293758448328	-4.75
3.33542604033634e-06	-2.80000116085461	-4.90000116085461	-4.75308849336742	-4.75
3.49396598996833e-06	-2.80000130498242	-4.90000130498242	-4.75324492625394	-4.75
3.65717324688866e-06	-2.80000147156413	-4.90000147156413	-4.75340696372354	-4.75
3.82502280032717e-06	-2.80000166461884	-4.90000166461884	-4.75357468118938	-4.75
3.997479825266e-06	-2.80000188894453	-4.90000188894453	-4.75374814855324	-4.75
4.17449951061803e-06	-2.80000215027743	-4.90000215027743	-4.75392742985857	-4.75
4.35602692182135e-06	-2.80000245548517	-4.90000245548517	-4.75411258294069	-4.75
4.54199689944994e-06	-2.80000281280079	-4.90000281280079	-4.75430365907394	-4.75
4.73233399527135e-06	-2.80000323210646	-4.90000323210646	-4.75450070261581	-4.75
4.92695244699865e-06	-2.80000372527725	-4.90000372527725	-4.75470375064767	-4.75
5.12575619278768e-06	-2.8000043065978	-4.9000043065978	-4.75491283261184	-4.75
5.32863892632197e-06	-2.80000499326697	-4.90000499326697	-4.75512796994423	-4.75
5.53548419310883e-06	-2.80000580600892	-4.90000580600892	-4.75534917570192	-4.75
5.74616552838202e-06	-2.80000676981234	-4.90000676981234	-4.75557645418448	-4.75
5.9605466367709e-06	-2.80000791482403	-4.90000791482403	-4.75580980054765	-4.75
6.17848161365464e-06	-2.80000927742777	-4.90000927742777	-4.75604920040752	-4.75
6.39981520787456e-06	-2.80001090154522	-4.90001090154522	-4.75629462943285	-4.75
6.62438312523032e-06	-2.80001284020198	-4.90001284020198	-4.75654605292274	-4.75
6.85201237193754e-06	-2.80001515740953	-4.90001515740953	-4.75680342536592	-4.75
7.0825216369783e-06	-2.80001793042204	-4.90001793042204	-4.75706668997723	-4.74999999999999
7.31572171203331e-06	-2.80002125243636	-4.90002125243636	-4.75733577820605	-4.74999999999999
7.55141594744722e-06	-2.80002523581366	-4.90002523581366	-4.75761060920998	-4.74999999999998
7.78940074244888e-06	-2.80003001591232	-4.90003001591232	-4.75789108928624	-4.74999999999997
8.0294660676277e-06	-2.80003575563287	-4.90003575563288	-4.75817711125148	-4.74999999999994
8.27139601745822e-06	-2.80004265078803	-4.90004265078803	-4.75846855375953	-4.7499999999999
8.51496939046824e-06	-2.80005093642176	-4.90005093642176	-4.75876528054459	-4.74999999999983
8.75996029446398e-06	-2.80006089421269	-4.90006089421269	-4.75906713957599	-4.74999999999971
9.00613877405998e-06	-2.80007286110511	-4.90007286110511	-4.7593739621089	-4.7499999999995
9.2532714576129e-06	-2.8000872393176	-4.9000872393176	-4.75968556161372	-4.74999999999913
9.50112222052863e-06	-2.80010450787994	-4.90010450787994	-4.76000173256575	-4.74999999999848
9.74945286180252e-06	-2.80012523584482	-4.90012523584482	-4.76032224907623	-4.74999999999737
9.99802379056335e-06	-2.80015009730753	-4.90015009730753	-4.76064686334547	-4.74999999999546
1.02465947193242e-05	-2.80017988834304	-4.90017988834304	-4.76097530392058	-4.74999999999216
1.04949253605981e-05	-2.80021554593231	-4.90021554593231	-4.7613072737429	-4.74999999998651
