Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
0	-3.8	-5.4	-4.60000005763229	-4.6
2.12151739152832e-09	-3.80031587911122	-5.40031587911122	-4.60004710471115	-4.5999999960699
4.34707627935975e-09	-3.80064716971831	-5.40064716971831	-4.60009593522185	-4.59999999153604
6.68121450657862e-09	-3.80099453563073	-5.40099453563073	-4.60014657714605	-4.59999998630962
9.12863752259283e-09	-3.80135866432853	-5.40135866432853	-4.60019905529503	-4.59999998028945
1.16942230432444e-08	-3.80174026753727	-5.40174026753727	-4.60025339093392	-4.59999997336029
1.43830257664662e-08	-3.8021400818016	-5.40214008180161	-4.6003096013901	-4.59999996539097
1.72002821403399e-08	-3.80255886905615	-5.40255886905615	-4.60036769964759	-4.59999995623239
2.01514151801996e-08	-3.80299741719259	-5.40299741719259	-4.60042769392908	-4.59999994571516
2.32420393311509e-08	-3.80345654062163	-5.40345654062164	-4.60048958726784	-4.59999993364704
2.64779653721458e-08	-3.80393708082835	-5.40393708082835	-4.60055337707235	-4.59999991981002
2.9865205357556e-08	-3.80443990691957	-5.40443990691957	-4.60061905468652	-4.59999990395712
3.34099775918348e-08	-3.80496591616158	-5.40496591616158	-4.60068660494944	-4.59999988580874
3.71187116327228e-08	-3.80551603450668	-5.40551603450668	-4.60075600575847	-4.59999986504867
4.09980533181195e-08	-3.80609121710663	-5.40609121710663	-4.6008272276406	-4.59999984131963
4.50548698114988e-08	-3.80669244881134	-5.40669244881134	-4.60090023333716	-4.59999981421824
4.92962546604839e-08	-3.80732074465074	-5.40732074465074	-4.60097497740755	-4.59999978328953
5.37295328629467e-08	-3.80797715029786	-5.40797715029786	-4.60105140585848	-4.59999974802081
5.83622659346949e-08	-3.808662742511	-5.408662742511	-4.60112945580517	-4.59999970783486
6.32022569725685e-08	-3.80937862955268	-5.40937862955268	-4.60120905517215	-4.59999966208243
6.82575557064784e-08	-3.81012595158314	-5.41012595158314	-4.60129012244085	-4.59999961003389
7.35364635336391e-08	-3.81090588102583	-5.41090588102583	-4.60137256645239	-4.59999955087009
7.90475385279966e-08	-3.81171962290249	-5.41171962290249	-4.60145628627345	-4.59999948367225
8.47996004175491e-08	-3.81256841513501	-5.41256841513501	-4.60154117113379	-4.59999940741078
9.08017355220112e-08	-3.81345352881139	-5.41345352881139	-4.60162710044355	-4.59999932093305
9.70633016429694e-08	-3.81437626841297	-5.41437626841297	-4.60171394389862	-4.59999922294993
1.03593932898425e-07	-3.81533797199978	-5.41533797199978	-4.60180156168168	-4.59999911202105
1.10403544493356e-07	-3.81634001135114	-5.41634001135114	-4.60188980476606	-4.59999898653861
1.17502337417614e-07	-3.81738379205809	-5.41738379205809	-4.60197851532887	-4.5999988447097
1.24900803062315e-07	-3.81847075356451	-5.41847075356451	-4.60206752727838	-4.59999868453702
1.32609727745455e-07	-3.81960236915334	-5.41960236915334	-4.60215666689981	-4.59999850379781
1.40640197137427e-07	-3.8207801458745	-5.4207801458745	-4.60224575362149	-4.59999830002094
1.49003600576674e-07	-3.82200562441083	-5.42200562441083	-4.602334600902	-4.59999807046194
1.5771163526564e-07	-3.82328037887821	-5.42328037887821	-4.60242301723643	-4.59999781207604
1.66776310336782e-07	-3.82460601655618	-5.42460601655618	-4.60251080727757	-4.59999752148875
1.76209950778339e-07	-3.82598417754491	-5.42598417754492	-4.60259777306533	-4.59999719496422
1.86025201209182e-07	-3.82741653434464	-5.42741653434464	-4.602683715355	-4.59999682837099
1.96235029491986e-07	-3.82890479135333	-5.42890479135333	-4.60276843503191	-4.59999641714501
2.06852730173672e-07	-3.83045068427833	-5.43045068427833	-4.60285173459749	-4.59999595624999
2.17891927741934e-07	-3.83205597945779	-5.43205597945779	-4.60293341970863	-4.59999544013467
2.29366579686445e-07	-3.8337224730873	-5.4337224730873	-4.6030133007499	-4.5999948626871
2.41290979353221e-07	-3.83545199034738	-5.43545199034738	-4.60309119441543	-4.59999421718574
2.53679758580406e-07	-3.83724638442726	-5.43724638442727	-4.60316692527566	-4.59999349624719
