Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
0	-3.8	-5.4	-5.00000000278731	-5
2.12151739152832e-09	-3.80004243073242	-5.40004243073242	-5.00000228838145	-4.99999999999047
4.34707627935975e-09	-3.8000869423129	-5.4000869423129	-5.00000468225088	-4.99999999997948
6.68121450657862e-09	-3.80013362549902	-5.40013362549902	-5.0000071887232	-4.99999999996679
9.12863752259283e-09	-3.80018257440051	-5.40018257440051	-5.00000981224689	-4.99999999995217
1.16942230432444e-08	-3.80023388657242	-5.40023388657243	-5.00001255739108	-4.99999999993532
1.43830257664662e-08	-3.80028766310951	-5.40028766310951	-5.00001542884485	-4.99999999991593
1.72002821403399e-08	-3.80034400874151	-5.40034400874151	-5.00001843141624	-4.99999999989363
2.01514151801996e-08	-3.80040303192955	-5.40040303192955	-5.00002157003085	-4.99999999986799
2.32420393311509e-08	-3.80046484496335	-5.40046484496335	-5.00002484972998	-4.99999999983854
2.64779653721458e-08	-3.80052956405934	-5.40052956405934	-5.00002827566833	-4.99999999980474
2.9865205357556e-08	-3.80059730945946	-5.40059730945946	-5.00003185311121	-4.99999999976597
3.34099775918348e-08	-3.80066820553068	-5.40066820553068	-5.00003558743119	-4.99999999972154
3.71187116327228e-08	-3.80074238086504	-5.40074238086505	-5.00003948410426	-4.99999999967065
4.09980533181195e-08	-3.80081996838022	-5.40081996838022	-5.00004354870528	-4.99999999961241
4.50548698114988e-08	-3.80090110542039	-5.40090110542039	-5.00004778690296	-4.99999999954581
4.92962546604839e-08	-3.80098593385744	-5.40098593385744	-5.00005220445397	-4.9999999994697
5.37295328629467e-08	-3.80107460019226	-5.40107460019226	-5.00005680719658	-4.99999999938278
5.83622659346949e-08	-3.80116725565613	-5.40116725565613	-5.00006160104334	-4.9999999992836
6.32022569725685e-08	-3.80126405631192	-5.40126405631192	-5.00006659197313	-4.99999999917049
6.82575557064784e-08	-3.80136516315521	-5.40136516315521	-5.00007178602237	-4.99999999904162
7.35364635336391e-08	-3.80147074221491	-5.40147074221491	-5.00007718927534	-4.99999999889487
7.90475385279966e-08	-3.80158096465345	-5.40158096465345	-5.00008280785366	-4.9999999987279
8.47996004175491e-08	-3.80169600686637	-5.40169600686637	-5.00008864790483	-4.99999999853805
9.08017355220112e-08	-3.80181605058103	-5.40181605058103	-5.00009471558986	-4.99999999832235
9.70633016429694e-08	-3.80194128295441	-5.40194128295441	-5.00010101706988	-4.99999999807746
1.03593932898425e-07	-3.80207189666983	-5.40207189666983	-5.0001075584918	-4.99999999779961
1.10403544493356e-07	-3.80220809003232	-5.40220809003232	-5.00011434597284	-4.99999999748462
1.17502337417614e-07	-3.80235006706262	-5.40235006706262	-5.00012138558413	-4.99999999712777
1.24900803062315e-07	-3.80249803758944	-5.40249803758944	-5.00012868333315	-4.99999999672379
1.32609727745455e-07	-3.80265221734003	-5.40265221734003	-5.00013624514514	-4.99999999626679
1.40640197137427e-07	-3.80281282802867	-5.40281282802867	-5.00014407684333	-4.99999999575019
1.49003600576674e-07	-3.80298009744297	-5.40298009744297	-5.00015218412818	-4.99999999516663
1.5771163526564e-07	-3.80315425952776	-5.40315425952776	-5.00016057255543	-4.99999999450792
1.66776310336782e-07	-3.80333555446646	-5.40333555446646	-5.00016924751308	-4.99999999376492
1.76209950778339e-07	-3.80352422875957	-5.40352422875957	-5.00017821419729	-4.99999999292744
1.86025201209182e-07	-3.80372053530014	-5.40372053530014	-5.00018747758725	-4.99999999198417
1.96235029491986e-07	-3.80392473344605	-5.40392473344605	-5.00019704241894	-4.9999999909225
2.06852730173672e-07	-3.80413708908882	-5.40413708908882	-5.000206913158	-4.99999998972844
2.17891927741934e-07	-3.8043578747187	-5.4043578747187	-5.00021709397154	-4.99999998838645
2.29366579686445e-07	-3.80458736948595	-5.40458736948595	-5.00022758869918	-4.99999998687931
2.41290979353221e-07	-3.80482585925786	-5.40482585925786	-5.0002384008232	-4.99999998518791
2.53679758580406e-07	-3.80507363667149	-5.40507363667149	-5.00024953343797	-4.99999998329111
2.66547890103673e-07	-3.80533100118177	-5.40533100118177	-5.00026098921872	-4.9999999811655
2.79910689719234e-07	-3.80559825910477	-5.40559825910477	-5.00027277038984	-4.99999997878521
2.93783818192436e-07	-3.80587572365582	-5.40587572365582	-5.00028487869267	-4.99999997612166
3.08183282899734e-07	-3.80616371498241	-5.40616371498241	-5.00029731535304	-4.9999999731433
3.2312543919183e-07	-3.80646256019138	-5.40646256019138	-5.00031008104872	-4.99999996981534
3.38626991465696e-07	-3.80677259337039	-5.40677259337039	-5.00032317587679	-4.99999996609944
3.54704993933107e-07	-3.80709415560331	-5.40709415560331	-5.00033659932127	-4.99999996195337
3.71376851073405e-07	-3.8074275949792	-5.4074275949792	-5.00035035022111	-4.99999995733071
3.88660317758096e-07	-3.80777326659487	-5.40777326659487	-5.00036442673876	-4.9999999521804
4.06573499035004e-07	-3.80813153255052	-5.40813153255052	-5.00037882632955	-4.99999994644637
4.251348495597e-07	-3.80850276193834	-5.40850276193835	-5.00039354571204	-4.99999994006709
4.44363172662013e-07	-3.80888733082392	-5.40888733082392	-5.00040858083972	-4.99999993297511
4.64277619035532e-07	-3.80928562221993	-5.40928562221993	-5.00042392687416	-4.99999992509651
4.8489768503811e-07	-3.80969802605221	-5.40969802605221	-5.00043957815996	-4.99999991635039
5.06243210591526e-07	-3.81012493911772	-5.41012493911772	-5.00045552820175	-4.99999990664827
5.28334376668665e-07	-3.81056676503427	-5.41056676503427	-5.00047176964352	-4.99999989589344
5.51191702356702e-07	-3.81102391418183	-5.41102391418183	-5.00048829425054	-4.99999988398034
5.74836041485085e-07	-3.81149680363503	-5.41149680363503	-5.00050509289422	-4.99999987079378
5.99288578807283e-07	-3.81198585708684	-5.41198585708684	-5.00052215554011	-4.99999985620823
6.2457082572558e-07	-3.81249150476304	-5.41249150476304	-5.00053947123938	-4.99999984008694
6.50704615548521e-07	-3.81301418332738	-5.41301418332738	-5.00055702812409	-4.99999982228114
