Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
0	-3.8	-5	-4.90000000019019	-4.9
2.12151739152832e-09	-3.8	-5	-4.90000015626588	-4.9
4.34707627935975e-09	-3.8	-5	-4.90000031999671	-4.9
6.68121450657862e-09	-3.8	-5	-4.90000049171666	-4.9
9.12863752259283e-09	-3.8	-5	-4.90000067177207	-4.9
1.16942230432444e-08	-3.8	-5	-4.90000086052197	-4.9
1.43830257664662e-08	-3.8	-5	-4.90000105833842	-4.9
1.72002821403399e-08	-3.8	-5	-4.9000012656069	-4.9
2.01514151801996e-08	-3.8	-5	-4.9000014827266	-4.9
2.32420393311509e-08	-3.8	-5	-4.90000171011085	-4.9
2.64779653721458e-08	-3.8	-5	-4.90000194818743	-4.9
2.9865205357556e-08	-3.8	-5	-4.90000219739897	-4.9
3.34099775918348e-08	-3.8	-5	-4.90000245820331	-4.9
3.71187116327228e-08	-3.8	-5	-4.90000273107384	-4.9
4.09980533181195e-08	-3.8	-5	-4.90000301649994	-4.9
4.50548698114988e-08	-3.8	-5	-4.90000331498727	-4.9
4.92962546604839e-08	-3.8	-5	-4.90000362705823	-4.9
5.37295328629467e-08	-3.8	-5	-4.90000395325227	-4.9
5.83622659346949e-08	-3.8	-5	-4.9000042941263	-4.9
6.32022569725685e-08	-3.8	-5	-4.90000465025506	-4.9
6.82575557064784e-08	-3.8	-5	-4.9000050222315	-4.9
7.35364635336391e-08	-3.8	-5	-4.90000541066714	-4.9
7.90475385279966e-08	-3.8	-5	-4.90000581619247	-4.9
8.47996004175491e-08	-3.8	-5	-4.9000062394573	-4.9
9.08017355220112e-08	-3.8	-5	-4.90000668113112	-4.9
9.70633016429694e-08	-3.8	-5	-4.9000071419035	-4.9
1.03593932898425e-07	-3.8	-5	-4.90000762248444	-4.9
1.10403544493356e-07	-3.8	-5	-4.9000081236047	-4.9
1.17502337417614e-07	-3.8	-5	-4.9000086460162	-4.9
1.24900803062315e-07	-3.8	-5	-4.90000919049233	-4.9
1.32609727745455e-07	-3.8	-5	-4.90000975782831	-4.9
1.40640197137427e-07	-3.8	-5	-4.90001034884151	-4.9
1.49003600576674e-07	-3.8	-5	-4.90001096437181	-4.9
1.5771163526564e-07	-3.8	-5	-4.90001160528187	-4.9
1.66776310336782e-07	-3.8	-5	-4.90001227245749	-4.9
1.76209950778339e-07	-3.8	-5	-4.90001296680788	-4.9
1.86025201209182e-07	-3.8	-5	-4.90001368926595	-4.9
1.96235029491986e-07	-3.8	-5	-4.90001444078862	-4.9
2.06852730173672e-07	-3.8	-5	-4.90001522235704	-4.9
2.17891927741934e-07	-3.8	-5	-4.90001603497687	-4.9
2.29366579686445e-07	-3.8	-5	-4.90001687967855	-4.9
2.41290979353221e-07	-3.8	-5	-4.90001775751746	-4.9
2.53679758580406e-07	-3.8	-5	-4.90001866957418	-4.9
2.66547890103673e-07	-3.8	-5	-4.90001961695469	-4.9
2.79910689719234e-07	-3.8	-5	-4.90002060079052	-4.9
2.93783818192436e-07	-3.8	-5	-4.90002162223891	-4.9
3.08183282899734e-07	-3.8	-5	-4.90002268248299	-4.9
3.2312543919183e-07	-3.8	-5	-4.90002378273185	-4.9
3.38626991465696e-07	-3.8	-5	-4.9000249242207	-4.9
3.54704993933107e-07	-3.8	-5	-4.9000261082109	-4.9
3.71376851073405e-07	-3.8	-5	-4.90002733599005	-4.9
3.88660317758096e-07	-3.8	-5	-4.90002860887202	-4.9
4.06573499035004e-07	-3.8	-5	-4.90002992819697	-4.9
4.251348495597e-07	-3.8	-5	-4.9000312953313	-4.9
4.44363172662013e-07	-3.8	-5	-4.90003271166768	-4.9
4.64277619035532e-07	-3.8	-5	-4.90003417862492	-4.9
4.8489768503811e-07	-3.8	-5	-4.90003569764791	-4.9
5.06243210591526e-07	-3.8	-5	-4.90003727020753	-4.9
5.28334376668665e-07	-3.8	-5	-4.90003889780043	-4.9
5.51191702356702e-07	-3.8	-5	-4.90004058194892	-4.9
5.74836041485085e-07	-3.8	-5	-4.90004232420073	-4.9
5.99288578807283e-07	-3.8	-5	-4.90004412612877	-4.9
6.2457082572558e-07	-3.8	-5	-4.90004598933088	-4.9
6.50704615548521e-07	-3.8	-5	-4.90004791542952	-4.9
6.7771209827089e-07	-3.8	-5.00000000000001	-4.90004990607138	-4.9
7.05615734866513e-07	-3.80000000000001	-5.00000000000001	-4.90005196292712	-4.9
7.34438291084568e-07	-3.80000000000001	-5.00000000000001	-4.90005408769085	-4.9
7.64202830740457e-07	-3.80000000000001	-5.00000000000001	-4.90005628207975	-4.9
7.94932708492795e-07	-3.80000000000001	-5.00000000000001	-4.90005854783359	-4.9
8.2665156209855e-07	-3.80000000000001	-5.00000000000001	-4.90006088671419	-4.9
8.59383304138806e-07	-3.80000000000001	-5.00000000000001	-4.90006330050489	-4.9
8.93152113208286e-07	-3.80000000000001	-5.00000000000001	-4.90006579100996	-4.9
9.27982424562175e-07	-3.80000000000001	-5.00000000000001	-4.90006836005394	-4.9
9.63898920214557e-07	-3.80000000000001	-5.00000000000001	-4.90007100948102	-4.9
1.00092651848324e-06	-3.80000000000001	-5.00000000000001	-4.90007374115433	-4.9
1.03909036297655e-06	-3.80000000000001	-5.00000000000001	-4.90007655695513	-4.9
1.07841581101817e-06	-3.80000000000001	-5.00000000000001	-4.90007945878213	-4.9
1.11892842150705e-06	-3.80000000000001	-5.00000000000001	-4.90008244855057	-4.9
1.16065394220993e-06	-3.80000000000001	-5.00000000000001	-4.90008552819142	-4.9
1.20361829648488e-06	-3.80000000000001	-5.00000000000001	-4.90008869965042	-4.9
1.24784756943508e-06	-3.80000000000001	-5.00000000000001	-4.90009196488719	-4.9
