Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	1.32182489824903e-08	4.80574687438166e-22
1.31493062191688e-09	0.00017139201741924	1.32535988488205e-08	4.77399128084984e-22
2.89810281382233e-09	0.000377747448930263	1.32964721689628e-08	4.73603587265641e-22
4.79687898130571e-09	0.000625239653118295	1.33483457740256e-08	4.69091176535152e-22
7.06538374966409e-09	0.000920923396650952	1.34109749941319e-08	4.63756425548191e-22
9.76514852318006e-09	0.00127281886807572	1.3486450440656e-08	4.57486478996091e-22
1.29657563412217e-08	0.00168999573030612	1.35772693646068e-08	4.5016305117911e-22
1.67454735034486e-08	0.00218265544855333	1.36864262829858e-08	4.41665293740694e-22
2.11918522040056e-08	0.00276220983948192	1.38175292487048e-08	4.31873719722065e-22
2.64022862272221e-08	0.00344135350226094	1.39749504730113e-08	4.20675292985184e-22
3.24844996966881e-08	0.00423412752359037	1.41640232706949e-08	4.07969729204961e-22
3.95569470274998e-08	0.00515597160868139	1.43913018994858e-08	3.93676956755567e-22
4.77491007079086e-08	0.00622376159158322	1.46649074210558e-08	3.77745549053786e-22
5.72016024369865e-08	0.00745582913492158	1.49949921488573e-08	3.60161765203963e-22
6.80662525765137e-08	0.00887196035502599	1.53943689779445e-08	3.40958631609712e-22
8.05058129432618e-08	0.010493370117282	1.58793720801868e-08	3.20224282349276e-22
9.46935987703811e-08	0.0123426488511495	1.64710454561946e-08	2.98108581398956e-22
1.10812837289863e-07	0.0144436789458692	1.71968009329991e-08	2.74826917840441e-22
1.29055772900748e-07	0.016821518115392	1.80927557373015e-08	2.50660046642246e-22
1.49622502335631e-07	0.0195022475704727	1.92070651465905e-08	2.25948992934308e-22
1.72719527638829e-07	0.0225127834094872	2.06047296320342e-08	2.01084384416858e-22
1.98558020108218e-07	0.0258806503353823	2.237461396824e-08	1.76490133358916e-22
2.27351794577645e-07	0.0296337176175446	2.4639827116848e-08	1.52602121096069e-22
2.5931500043699e-07	0.0337998981324022	2.75732756462965e-08	1.29843355191184e-22
2.94659543471083e-07	0.0384068123181434	3.14212890543852e-08	1.0859783338296e-22
3.33592260774989e-07	0.0434814199446674	3.65400137514689e-08	8.91858899397326e-23
3.76311879462294e-07	0.0490496237024629	4.34522913783722e-08	7.18439570905713e-23
4.23005798381519e-07	0.0551358497218325	5.29378731076762e-08	5.67113396847954e-23
4.7384674032276e-07	0.0617626112114243	6.61786772613714e-08	4.38257670677639e-23
