Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363568.288597614	363569.099107618
2.12151739152832e-09	0.000315879111222946	367368.721431665	359153.713090807
4.34707627935975e-09	0.000647169718311346	371404.617782675	354580.49782901
6.68121450657862e-09	0.000994535630731753	375692.084053096	349847.895010521
9.12863752259283e-09	0.00135866432852566	380248.531059789	344954.701979922
1.16942230432444e-08	0.00174026753727088	385092.801129332	339900.104998166
1.43830257664662e-08	0.00214008180160497	390245.309597933	334683.713107001
1.72002821403399e-08	0.00255886905614855	395728.202552335	329305.592370585
2.01514151801996e-08	0.00299741719259321	401565.53290733	323766.300234203
2.32420393311509e-08	0.00345654062163499	407783.457214685	318066.919705988
2.64779653721458e-08	0.0039370808283547	414410.455944467	312209.093032866
2.9865205357556e-08	0.00443990691957015	421477.5803809	306195.054506832
3.34099775918348e-08	0.00496591616158449	429018.72973997	300027.662003356
3.71187116327228e-08	0.00551603450668364	437070.962657128	293710.426819921
4.09980533181195e-08	0.00609121710663405	445674.847822895	287247.541351095
4.50548698114988e-08	0.00669244881134164	454874.859278538	280643.90410742
4.92962546604839e-08	0.0073207446507372	464719.822741757	273905.141559892
5.37295328629467e-08	0.0079771502978592	475263.420336214	267037.626270892
5.83622659346949e-08	0.00866274251099969	486564.762275446	260048.490757305
6.32022569725685e-08	0.00937862955268277	498689.035433859	252945.636523189
6.82575557064784e-08	0.0101259515831387	511708.240363638	245737.737699117
7.35364635336391e-08	0.0109058810258314	525702.030233225	238434.238734246
7.90475385279966e-08	0.0117196229024931	540758.667427016	231045.3456065
8.47996004175491e-08	0.0125684151350098	556976.116224626	223582.010047121
9.08017355220112e-08	0.0134535288113941	574463.293154262	216055.906319167
9.70633016429694e-08	0.0143762684129688	593341.50038766	208479.400146302
1.03593932898425e-07	0.0153379719997792	613746.072035428	200865.509458955
1.10403544493356e-07	0.0163400113511382	635828.268558958	193227.856710136
1.17502337417614e-07	0.017383792058094	659757.460918411	185580.612613032
1.24900803062315e-07	0.0184707535645129	685723.653747026	177938.431266477
1.32609727745455e-07	0.019602369153338	713940.406049075	170316.37676231
1.40640197137427e-07	0.0207801458744998	744648.21899633	162729.841508759
1.49003600576674e-07	0.0220056244108265	778118.47375314	155194.456655358
1.5771163526564e-07	0.0232803788782123	814658.018399962	147725.995164839
1.66776310336782e-07	0.0246060165561831	854614.522572709	140340.268243689
1.76209950778339e-07	0.0259841775449147	898382.74216733	133053.016012058
1.86025201209182e-07	0.0274165343446428	946411.865337088	125879.793462087
1.96235029491986e-07	0.0289047913533273	999214.146236746	118835.852916967
2.06852730173672e-07	0.0304506842783304	1057375.07604151	111936.024356814
2.17891927741934e-07	0.0320559794577923	1121565.39356889	105194.595116791
2.29366579686445e-07	0.033722473087299	1192555.30271624	98625.1905827503
2.41290979353221e-07	0.0354519903473766	1271231.34386619	92240.6576049701
2.53679758580406e-07	0.0372463844272646	1358616.46515105	86052.9524165064
2.66547890103673e-07	0.0391075354403749	1455893.96175056	80073.0348745146
2.79910689719234e-07	0.0410373492267803	1564436.10323727	74310.770836838
2.93783818192436e-07	0.0430377560380463	1685838.45803716	68774.8444387907
3.08183282899734e-07	0.0451107090996729	1821961.16009921	63472.6819442643
