Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363569.099107629	363568.288597603
2.12151739152832e-09	-0.000315879111222943	359153.713090818	367368.721431653
4.34707627935975e-09	-0.000647169718311341	354580.497829021	371404.617782663
6.68121450657862e-09	-0.000994535630731744	349847.895010533	375692.084053084
9.12863752259283e-09	-0.00135866432852565	344954.701979933	380248.531059777
1.16942230432444e-08	-0.00174026753727086	339900.104998177	385092.80112932
1.43830257664662e-08	-0.00214008180160496	334683.713107012	390245.30959792
1.72002821403399e-08	-0.00255886905614852	329305.592370596	395728.202552322
2.01514151801996e-08	-0.00299741719259318	323766.300234213	401565.532907317
2.32420393311509e-08	-0.00345654062163496	318066.919705999	407783.457214671
2.64779653721458e-08	-0.00393708082835466	312209.093032877	414410.455944453
2.9865205357556e-08	-0.00443990691957011	306195.054506842	421477.580380885
3.34099775918348e-08	-0.00496591616158445	300027.662003366	429018.729739955
3.71187116327228e-08	-0.00551603450668359	293710.426819931	437070.962657113
4.09980533181195e-08	-0.006091217106634	287247.541351105	445674.84782288
4.50548698114988e-08	-0.00669244881134158	280643.90410743	454874.859278522
4.92962546604839e-08	-0.00732074465073714	273905.141559901	464719.82274174
5.37295328629467e-08	-0.00797715029785913	267037.626270901	475263.420336197
5.83622659346949e-08	-0.00866274251099962	260048.490757314	486564.762275428
6.32022569725685e-08	-0.00937862955268269	252945.636523198	498689.035433841
6.82575557064784e-08	-0.0101259515831386	245737.737699126	511708.240363619
7.35364635336391e-08	-0.0109058810258313	238434.238734254	525702.030233206
7.90475385279966e-08	-0.011719622902493	231045.345606508	540758.667426996
8.47996004175491e-08	-0.0125684151350097	223582.010047129	556976.116224605
9.08017355220112e-08	-0.013453528811394	216055.906319175	574463.293154241
9.70633016429694e-08	-0.0143762684129687	208479.40014631	593341.500387637
1.03593932898425e-07	-0.0153379719997791	200865.509458962	613746.072035405
1.10403544493356e-07	-0.016340011351138	193227.856710143	635828.268558934
1.17502337417614e-07	-0.0173837920580939	185580.612613039	659757.460918385
1.24900803062315e-07	-0.0184707535645128	177938.431266484	685723.653746999
1.32609727745455e-07	-0.0196023691533378	170316.376762317	713940.406049047
1.40640197137427e-07	-0.0207801458744996	162729.841508765	744648.2189963
1.49003600576674e-07	-0.0220056244108263	155194.456655364	778118.473753108
1.5771163526564e-07	-0.0232803788782121	147725.995164845	814658.018399928
1.66776310336782e-07	-0.0246060165561829	140340.268243695	854614.522572674
1.76209950778339e-07	-0.0259841775449145	133053.016012063	898382.742167292
1.86025201209182e-07	-0.0274165343446426	125879.793462092	946411.865337048
1.96235029491986e-07	-0.028904791353327	118835.852916972	999214.146236703
2.06852730173672e-07	-0.0304506842783301	111936.024356818	1057375.07604147
2.17891927741934e-07	-0.032055979457792	105194.595116796	1121565.39356884
2.29366579686445e-07	-0.0337224730872987	98625.1905827546	1192555.30271619
2.41290979353221e-07	-0.0354519903473763	92240.6576049741	1271231.34386613
2.53679758580406e-07	-0.0372463844272643	86052.9524165102	1358616.46515099
2.66547890103673e-07	-0.0391075354403745	80073.0348745182	1455893.96175049
2.79910689719234e-07	-0.0410373492267799	74310.7708368413	1564436.1032372
2.93783818192436e-07	-0.043037756038046	68774.8444387938	1685838.45803708
3.08183282899734e-07	-0.0451107090996725	63472.6819442672	1821961.16009912
3.2312543919183e-07	-0.0472581830464016	58410.3887098537	1974978.65835821
3.38626991465696e-07	-0.0494821722256329	53592.7006209478	2147439.8605474
3.54704993933107e-07	-0.051784688864181	49022.9511364703	2342341.04997507
3.71376851073405e-07	-0.0541677610936371	44703.0548171885	2563214.54361376
3.88660317758096e-07	-0.0566334308296089	40633.5079165737	2814236.80663744
4.06573499035004e-07	-0.0591837515001667	36813.4062890529	3100360.68701695
4.251348495597e-07	-0.0618207856188709	33240.4805263383	3427477.6420009
4.44363172662013e-07	-0.0645466021978351	29911.1478772927	3802617.37205694
4.64277619035532e-07	-0.0673632739963672	26820.5801506293	4234194.2563283
4.8489768503811e-07	-0.0702728746008368	23962.7864533809	4732312.52712475
5.06243210591526e-07	-0.0732774753315444	21330.7092924567	5309145.40095631
5.28334376668665e-07	-0.0763791419725204	18916.3322725456	5979407.62673217
5.51191702356702e-07	-0.0795799313203322	16710.7973712599	6760946.41824241
5.74836041485085e-07	-0.0828818875481896	14704.5295707324	7675482.90701391
5.99288578807283e-07	-0.0862870383818229	12887.3664814033	8749545.61517134
6.2457082572558e-07	-0.0897973910838591	11248.6905139277	10015649.717709
6.50704615548521e-07	-0.0934149282436712	9777.56114229035	11513791.9943701
6.7771209827089e-07	-0.0971416033699529	8462.84485610519	13293352.6481464
7.05615734866513e-07	-0.100979336283581	7293.34052087782	15415523.3251633
7.34438291084568e-07	-0.104930008308658	6257.89804735399	17956418.0590649
7.64202830740457e-07	-0.10899545725998	5345.52850818196	21011073.6743315
7.94932708492795e-07	-0.113177472225557	4545.50412304295	24698612.7681667
8.2665156209855e-07	-0.117477788143241	3847.44685150844	29168931.6983088
8.59383304138806e-07	-0.121898080170913	3241.40467425276	34611396.1928341
8.93152113208286e-07	-0.126439957850206	2717.9149952858	41266189.4920482
9.27982424562175e-07	-0.131104959064158	2268.05494789746	49439177.8218507
9.63898920214557e-07	-0.135894543789788	1883.4787228251	59521456.9252843
1.00092651848324e-06	-0.140810087647071	1556.44234766052	72015151.1177279
1.03909036297655e-06	-0.145852875246399	1279.81662212815	87567594.3468935
1.07841581101817e-06	-0.151024093337206	1047.08914698754	107016788.951832
1.11892842150705e-06	-0.156324823761073	852.356569549827	131452093.367693
1.16065394220993e-06	-0.161756036213265	690.308303134475	162295548.914986
1.20361829648488e-06	-0.167318580817362	556.203060586699	201411278.65669
1.24784756943508e-06	-0.173013180518334	445.839574831044	251253205.009004
1.29336799349282e-06	-0.17884042330014	355.522865961684	315065258.762258
1.34020593343452e-06	-0.184800754234704	282.027359836007	397153746.85529
1.38838787082855e-06	-0.190894467369879	222.558074075921	503259259.468429
1.43794038791832e-06	-0.197121697464818	174.710971132878	641066356.0551
1.48889015094427e-06	-0.203482411581983	136.433442345051	820904601.044902
1.54126389290908e-06	-0.209976400545866	105.985739351539	1056716223.89179
1.59508839579139e-06	-0.216603270279326	81.9040170311425	1367396484.46572
1.65039047221459e-06	-0.223362433029348	62.9655017525084	1778656660.25938
1.70719694657769e-06	-0.23025309849486	48.1561556273374	2325622094.7372
1.76553463565681e-06	-0.237274264870171	36.6410759918268	3056467121.20292
1.8254303286864e-06	-0.24442470981846	27.7377526613378	4037516699.88883
1.88691076693063e-06	-0.251702981390655	20.8922055993809	5360428336.63422
1.95000262275624e-06	-0.259107388905941	15.6579434192504	7152331977.56935
2.01473247821923e-06	-0.266635993811024	11.677618547931	9590185840.34739
2.08112680317883e-06	-0.274286600536205	8.66720709500439	12921154308.8921
2.14921193295323e-06	-0.282056747367157	6.40250905074593	17491605022.0537
2.21901404553247e-06	-0.289943697352232	4.70774553926058	23788464556.159
2.29055913836531e-06	-0.297944429265969	3.44602238744146	32498322375.0595
2.36387300473738e-06	-0.306055628650308	2.51143106905404	44592057245.9794
2.43898120975948e-06	-0.314273678955927	1.82256702256077	61446205049.5381
2.5159090659857e-06	-0.322594652806859	1.31725944540948	85017260289.0844
2.59468160868202e-06	-0.331014303412431	0.948324177136824	118092276762.881
2.67532357076715e-06	-0.339528056151335	0.680170697914919	164649463700.525
2.75785935744839e-06	-0.348131000353454	0.486114362624297	230377323132.57
2.84231302057633e-06	-0.356817881305894	0.346264809989018	323422165407.011
2.92870823274291e-06	-0.365583092510512	0.245880332557125	455464272281.114
3.01706826114874e-06	-0.37442066822116	0.174095392552894	643266311810.742
3.10741594126617e-06	-0.383324276289947	0.122944138056151	910899037999.654
