Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	2.08964913019212e+17	6.32558298501414e-07
2.12151739152832e-09	-1.58771719055858e-70	2.08964913019212e+17	6.32558298501414e-07
4.34707627935975e-09	-3.25329741821523e-70	2.08964913019212e+17	6.32558298501414e-07
6.68121450657862e-09	-5.00013634900208e-70	2.08964913019212e+17	6.32558298501414e-07
9.12863752259283e-09	-6.83175496974772e-70	2.08964913019212e+17	6.32558298501414e-07
1.16942230432444e-08	-8.75180305266498e-70	2.08964913019212e+17	6.32558298501414e-07
1.43830257664662e-08	-1.07640626597042e-69	2.08964913019212e+17	6.32558298501414e-07
1.72002821403399e-08	-1.28724516825597e-69	2.08964913019212e+17	6.32558298501414e-07
2.01514151801996e-08	-1.50810274134039e-69	2.08964913019212e+17	6.32558298501414e-07
2.32420393311509e-08	-1.73939901442757e-69	2.08964913019212e+17	6.32558298501414e-07
2.64779653721458e-08	-1.98156867914944e-69	2.08964913019212e+17	6.32558298501414e-07
2.9865205357556e-08	-2.23506145412279e-69	2.08964913019212e+17	6.32558298501414e-07
3.34099775918348e-08	-2.50034245119762e-69	2.08964913019212e+17	6.32558298501414e-07
3.71187116327228e-08	-2.77789254295168e-69	2.08964913019212e+17	6.32558298501414e-07
4.09980533181195e-08	-3.06820873094769e-69	2.08964913019212e+17	6.32558298501414e-07
4.50548698114988e-08	-3.37180451423757e-69	2.08964913019212e+17	6.32558298501414e-07
4.92962546604839e-08	-3.68921025756242e-69	2.08964913019212e+17	6.32558298501414e-07
5.37295328629467e-08	-4.02097355866068e-69	2.08964913019212e+17	6.32558298501414e-07
5.83622659346949e-08	-4.36765961405505e-69	2.08964913019212e+17	6.32558298501414e-07
6.32022569725685e-08	-4.72985158264935e-69	2.08964913019212e+17	6.32558298501414e-07
6.82575557064784e-08	-5.10815094642104e-69	2.08964913019212e+17	6.32558298501414e-07
7.35364635336391e-08	-5.50317786744844e-69	2.08964913019212e+17	6.32558298501414e-07
7.90475385279966e-08	-5.9155715404641e-69	2.08964913019212e+17	6.32558298501414e-07
8.47996004175491e-08	-6.34599054007158e-69	2.08964913019212e+17	6.32558298501414e-07
9.08017355220112e-08	-6.79511316170997e-69	2.08964913019212e+17	6.32558298501414e-07
9.70633016429694e-08	-7.26363775539007e-69	2.08964913019212e+17	6.32558298501414e-07
1.03593932898425e-07	-7.75228305116532e-69	2.08964913019212e+17	6.32558298501414e-07
1.10403544493356e-07	-8.26178847523622e-69	2.08964913019212e+17	6.32558298501414e-07
1.17502337417614e-07	-8.79291445551294e-69	2.08964913019212e+17	6.32558298501414e-07
1.24900803062315e-07	-9.34644271539504e-69	2.08964913019212e+17	6.32558298501414e-07
1.32609727745455e-07	-9.92317655443783e-69	2.08964913019212e+17	6.32558298501414e-07
1.40640197137427e-07	-1.05239411145034e-68	2.08964913019212e+17	6.32558298501414e-07
1.49003600576674e-07	-1.11495836298955e-68	2.08964913019212e+17	6.32558298501414e-07
1.5771163526564e-07	-1.18009736598926e-68	2.08964913019212e+17	6.32558298501414e-07
1.66776310336782e-07	-1.24790033019852e-68	2.08964913019212e+17	6.32558298501414e-07
1.76209950778339e-07	-1.31845873840262e-68	2.08964913019212e+17	6.32558298501414e-07
1.86025201209182e-07	-1.39186636333824e-68	2.08964913019212e+17	6.32558298501414e-07
1.96235029491986e-07	-1.46821928210635e-68	2.08964913019212e+17	6.32558298501414e-07
2.06852730173672e-07	-1.54761588786728e-68	2.08964913019212e+17	6.32558298501414e-07
2.17891927741934e-07	-1.63015689858935e-68	2.08964913019212e+17	6.32558298501414e-07
2.29366579686445e-07	-1.71594536260791e-68	2.08964913019212e+17	6.32558298501414e-07
2.41290979353221e-07	-1.80508666073705e-68	2.08964913019212e+17	6.32558298501414e-07
2.53679758580406e-07	-1.89768850465977e-68	2.08964913019212e+17	6.32558298501414e-07
2.66547890103673e-07	-1.99386093130619e-68	2.08964913019212e+17	6.32558298501414e-07
2.79910689719234e-07	-2.09371629291115e-68	2.08964913019212e+17	6.32558298501414e-07
2.93783818192436e-07	-2.19736924242424e-68	2.08964913019212e+17	6.32558298501414e-07
3.08183282899734e-07	-2.30493673199922e-68	2.08964913019212e+17	6.32558298501414e-07
3.2312543919183e-07	-2.41653801238257e-68	2.08964913019212e+17	6.32558298501414e-07
3.38626991465696e-07	-2.53229459363985e-68	2.08964913019212e+17	6.32558298501414e-07
3.54704993933107e-07	-2.65233019475878e-68	2.08964913019212e+17	6.32558298501414e-07
3.71376851073405e-07	-2.77677073562271e-68	2.08964913019212e+17	6.32558298501414e-07
3.88660317758096e-07	-2.90574433321823e-68	2.08964913019212e+17	6.32558298501414e-07
4.06573499035004e-07	-3.03938123128374e-68	2.08964913019212e+17	6.32558298501414e-07
4.251348495597e-07	-3.17781366361431e-68	2.08964913019212e+17	6.32558298501414e-07
4.44363172662013e-07	-3.32117572238321e-68	2.08964913019212e+17	6.32558298501414e-07
4.64277619035532e-07	-3.46960330985934e-68	2.08964913019212e+17	6.32558298501414e-07
4.8489768503811e-07	-3.62323409475164e-68	2.08964913019212e+17	6.32558298501414e-07
5.06243210591526e-07	-3.78220741378108e-68	2.08964913019212e+17	6.32558298501414e-07
5.28334376668665e-07	-3.9466641627573e-68	2.08964913019212e+17	6.32558298501414e-07
5.51191702356702e-07	-4.11674667651632e-68	2.08964913019212e+17	6.32558298501414e-07
5.74836041485085e-07	-4.29259859704846e-68	2.08964913019212e+17	6.32558298501414e-07
5.99288578807283e-07	-4.47436472911679e-68	2.08964913019212e+17	6.32558298501414e-07
6.2457082572558e-07	-4.66219088263929e-68	2.08964913019212e+17	6.32558298501414e-07
