Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363569.099107629	363569.099107618
2.12151739152832e-09	0	363569.099107629	363569.099107618
4.34707627935975e-09	0	363569.099107629	363569.099107618
6.68121450657862e-09	0	363569.099107629	363569.099107618
9.12863752259283e-09	0	363569.099107629	363569.099107618
1.16942230432444e-08	0	363569.099107629	363569.099107618
1.43830257664662e-08	0	363569.099107629	363569.099107618
1.72002821403399e-08	0	363569.099107629	363569.099107618
2.01514151801996e-08	0	363569.099107629	363569.099107618
2.32420393311509e-08	0	363569.099107629	363569.099107618
2.64779653721458e-08	0	363569.099107629	363569.099107618
2.9865205357556e-08	0	363569.099107629	363569.099107618
3.34099775918348e-08	0	363569.099107629	363569.099107618
3.71187116327228e-08	0	363569.099107629	363569.099107618
4.09980533181195e-08	0	363569.099107629	363569.099107618
4.50548698114988e-08	0	363569.099107629	363569.099107618
4.92962546604839e-08	0	363569.099107629	363569.099107618
5.37295328629467e-08	0	363569.099107629	363569.099107618
5.83622659346949e-08	0	363569.099107629	363569.099107618
6.32022569725685e-08	0	363569.099107629	363569.099107618
6.82575557064784e-08	0	363569.099107629	363569.099107618
7.35364635336391e-08	0	363569.099107629	363569.099107618
7.90475385279966e-08	0	363569.099107629	363569.099107618
8.47996004175491e-08	0	363569.099107629	363569.099107618
9.08017355220112e-08	0	363569.099107629	363569.099107618
9.70633016429694e-08	0	363569.099107629	363569.099107618
1.03593932898425e-07	0	363569.099107629	363569.099107618
1.10403544493356e-07	0	363569.099107629	363569.099107618
1.17502337417614e-07	0	363569.099107629	363569.099107618
1.24900803062315e-07	0	363569.099107629	363569.099107618
1.32609727745455e-07	0	363569.099107629	363569.099107618
1.40640197137427e-07	0	363569.099107629	363569.099107618
1.49003600576674e-07	0	363569.099107629	363569.099107618
1.5771163526564e-07	0	363569.099107629	363569.099107618
1.66776310336782e-07	0	363569.099107629	363569.099107618
1.76209950778339e-07	0	363569.099107629	363569.099107618
1.86025201209182e-07	0	363569.099107629	363569.099107618
1.96235029491986e-07	0	363569.099107629	363569.099107618
2.06852730173672e-07	0	363569.099107629	363569.099107618
2.17891927741934e-07	0	363569.099107629	363569.099107618
2.29366579686445e-07	0	363569.099107629	363569.099107618
2.41290979353221e-07	0	363569.099107629	363569.099107618
2.53679758580406e-07	0	363569.099107629	363569.099107618
2.66547890103673e-07	0	363569.099107629	363569.099107618
2.79910689719234e-07	0	363569.099107629	363569.099107618
2.93783818192436e-07	0	363569.099107629	363569.099107618
