Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	0.0693234869152549	1906748801252.06
2.12151739152832e-09	4.2430732419364e-05	0.0694312218638095	1903621830946.36
4.34707627935975e-09	8.69423129007329e-05	0.0695444304569341	1900347021949.7
6.68121450657862e-09	0.000133625499021898	0.0696633718129799	1896918495833.94
9.12863752259283e-09	0.000182574400506213	0.069788316743033	1893330213014.81
1.16942230432444e-08	0.000233886572424646	0.0699195482939535	1889575973501.52
1.43830257664662e-08	0.000287663109508695	0.0700573623211453	1885649418137.15
1.72002821403399e-08	0.000344008741511251	0.0702020680931085	1881544030367.96
2.01514151801996e-08	0.000403031929548306	0.070353988929984	1877253138581.97
2.32420393311509e-08	0.00046484496334888	0.0705134628784779	1872769919058.05
2.64779653721458e-08	0.000529564059335997	0.0706808434257397	1868087399568.35
2.9865205357556e-08	0.000597309459457507	0.0708565002549817	1863198463677.8
3.34099775918348e-08	0.000668205530678607	0.0710408200458391	1858095855785.87
3.71187116327228e-08	0.000742380865045127	0.0712342073227235	1852772186956.5
4.09980533181195e-08	0.00081996838022002	0.0714370853546778	1847219941582.73
4.50548698114988e-08	0.00090110542039062	0.0716498971105272	1841431484933.69
4.92962546604839e-08	0.000985933857438952	0.0718731062734295	1835399071631.33
5.37295328629467e-08	0.00107460019226243	0.0721071983192661	1829114855104.93
5.83622659346949e-08	0.00116725565612613	0.0723526816636745	1822570898071.01
6.32022569725685e-08	0.00126405631192319	0.0726100888829246	1815759184085.86
6.82575557064784e-08	0.00136516315521377	0.0728799780142681	1808671630217.17
7.35364635336391e-08	0.0014707422149079	0.0731629339418605	1801300100880.14
7.90475385279966e-08	0.00158096465345198	0.0734595698748657	1793636422881.53
8.47996004175491e-08	0.00169600686637295	0.0737705289249077	1785672401713.63
9.08017355220112e-08	0.00181605058102924	0.0740964857906417	1777399839137.06
9.70633016429694e-08	0.00194128295441131	0.0744381485578736	1768810552088.59
1.03593932898425e-07	0.0020718966698298	0.0747962606243816	1759896392946.6
1.10403544493356e-07	0.00220809003232386	0.0751716027593786	1750649271182.13
1.17502337417614e-07	0.002350067062616	0.0755649953084104	1741061176419.3
1.24900803062315e-07	0.00249803758943655	0.0759773005554327	1731124202922.64
1.32609727745455e-07	0.00265221734003267	0.0764094252548256	1720830575523.1
1.40640197137427e-07	0.00281282802867487	0.0768623233472421	1710172676987.28
1.49003600576674e-07	0.00298009744296635	0.0773369988744078	1699143076826.66
1.5771163526564e-07	0.00315425952775789	0.0778345091093501	1687734561534.93
1.66776310336782e-07	0.00333555446646394	0.0783559679200061	1675940166232.49
1.76209950778339e-07	0.0035242287595736	0.0789025493857956	1663753207686.27
1.86025201209182e-07	0.00372053530014309	0.07947549168852	1651167318662.64
1.96235029491986e-07	0.00392473344605436	0.080076101300922	1638176483558.7
2.06852730173672e-07	0.00413708908881912	0.0807057574983909	1624775075244.74
2.17891927741934e-07	0.00435787471870434	0.0813659172216814	1610957893036.98
2.29366579686445e-07	0.00458736948595119	0.0820581203211267	1596720201705.35
2.41290979353221e-07	0.00482585925785702	0.0827839952157168	1582057771405.88
2.53679758580406e-07	0.00507363667148572	0.0835452650035906	1566966918411.48
2.66547890103673e-07	0.00533100118177017	0.0843437540640087	1551444546498.62
2.79910689719234e-07	0.005598259104767	0.0851813951947518	1535488188830.09
2.93783818192436e-07	0.00587572365582293	0.0860602373331823	1519096050157.03
3.08183282899734e-07	0.00616371498240859	0.0869824539139518	1502267049145.42
3.2312543919183e-07	0.00646256019137578	0.0879503519215955	1485000860614.59
3.38626991465696e-07	0.00677259337039232	0.0889663817020759	1467297957457.09
3.54704993933107e-07	0.00709415560330739	0.0900331476037926	1449159651991.89
