Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	3.31747052067083	2.08964913019216e+17
2.12151739152832e-09	1.47306958616842e-17	3.31745049223479	2.08964913019216e+17
4.34707627935975e-09	3.01837980319783e-17	3.31742948158269	2.08964913019216e+17
6.68121450657862e-09	4.6390813230417e-17	3.31740744587448	2.08964913019215e+17
9.12863752259283e-09	6.33844144019025e-17	3.31738434068782	2.08964913019215e+17
1.16942230432444e-08	8.11984699805673e-17	3.31736011997404	2.08964913019215e+17
1.43830257664662e-08	9.98680767275108e-17	3.31733473601368	2.08964913019215e+17
1.72002821403399e-08	1.1942959757631e-16	3.31730813937143	2.08964913019215e+17
2.01514151801996e-08	1.39920691228096e-16	3.31728027885067	2.08964913019215e+17
2.32420393311509e-08	1.61381110146667e-16	3.31725110144756	2.08964913019214e+17
2.64779653721458e-08	1.83852116176366e-16	3.31722055230476	2.08964913019214e+17
2.9865205357556e-08	2.07375696016938e-16	3.31718857466476	2.08964913019214e+17
3.34099775918348e-08	2.31995286470322e-16	3.31715510982292	2.08964913019214e+17
3.71187116327228e-08	2.57755810126228e-16	3.31712009708023	2.08964913019214e+17
4.09980533181195e-08	2.84703728669021e-16	3.31708347369588	2.08964913019214e+17
4.50548698114988e-08	3.12887073661179e-16	3.31704517483961	2.08964913019213e+17
4.92962546604839e-08	3.42355485946345e-16	3.31700513354392	2.08964913019213e+17
5.37295328629467e-08	3.73160254781252e-16	3.31696328065632	2.08964913019213e+17
5.83622659346949e-08	4.05356074781418e-16	3.31691954479142	2.08964913019213e+17
6.32022569725685e-08	4.38999666025042e-16	3.31687385228316	2.08964913019212e+17
6.82575557064784e-08	4.74147959127068e-16	3.31682612713711	2.08964913019212e+17
7.35364635336391e-08	5.10859737290782e-16	3.31677629098294	2.08964913019212e+17
7.90475385279966e-08	5.49195681826046e-16	3.31672426302716	2.08964913019211e+17
8.47996004175491e-08	5.89218399579641e-16	3.31666996000607	2.08964913019211e+17
9.08017355220112e-08	6.30992488234989e-16	3.31661329613919	2.08964913019211e+17
9.70633016429694e-08	6.7458774519498e-16	3.3165541830831	2.0896491301921e+17
1.03593932898425e-07	7.20076555851419e-16	3.31649252988575	2.0896491301921e+17
1.10403544493356e-07	7.67530555836629e-16	3.3164282429415	2.0896491301921e+17
1.17502337417614e-07	8.17023639998145e-16	3.31636122594667	2.08964913019209e+17
1.24900803062315e-07	8.68632023053981e-16	3.31629137985606	2.08964913019209e+17
1.32609727745455e-07	9.22439020560736e-16	3.31621860284014	2.08964913019208e+17
1.40640197137427e-07	9.785311153807e-16	3.31614279024335	2.08964913019208e+17
1.49003600576674e-07	1.0369929362917e-15	3.31606383454328	2.08964913019207e+17
1.5771163526564e-07	1.09791173798144e-15	3.3159816253111	2.08964913019207e+17
1.66776310336782e-07	1.16137747293768e-15	3.31589604917318	2.08964913019206e+17
1.76209950778339e-07	1.22748998337409e-15	3.31580698977401	2.08964913019206e+17
1.86025201209182e-07	1.29635306794504e-15	3.31571432774057	2.08964913019205e+17
1.96235029491986e-07	1.36806690265736e-15	3.31561794064821	2.08964913019205e+17
2.06852730173672e-07	1.44274383158553e-15	3.3155177029882	2.08964913019204e+17
2.17891927741934e-07	1.52050089736205e-15	3.31541348613694	2.08964913019204e+17
2.29366579686445e-07	1.60145011113659e-15	3.31530515832709	2.08964913019203e+17
2.41290979353221e-07	1.68570694616229e-15	3.31519258462065	2.08964913019202e+17
2.53679758580406e-07	1.77340298431058e-15	3.315075626884	2.08964913019201e+17
2.66547890103673e-07	1.86467552271102e-15	3.31495414376526	2.08964913019201e+17
2.79910689719234e-07	1.95966883185595e-15	3.31482799067385	2.089649130192e+17
2.93783818192436e-07	2.05853357357471e-15	3.31469701976245	2.08964913019199e+17
3.08183282899734e-07	2.16141164093037e-15	3.31456107991154	2.08964913019198e+17
3.2312543919183e-07	2.26846766263018e-15	3.31442001671648	2.08964913019197e+17
3.38626991465696e-07	2.37987390819998e-15	3.31427367247745	2.08964913019197e+17
3.54704993933107e-07	2.49581220365821e-15	3.31412188619214	2.08964913019196e+17
3.71376851073405e-07	2.61647297219908e-15	3.3139644935515	2.08964913019195e+17
3.88660317758096e-07	2.74205721955796e-15	3.31380132693856	2.08964913019194e+17
4.06573499035004e-07	2.87277576874187e-15	3.31363221543049	2.08964913019193e+17
4.251348495597e-07	3.00885196154372e-15	3.31345698480391	2.08964913019191e+17
4.44363172662013e-07	3.15052045730721e-15	3.31327545754376	2.0896491301919e+17
4.64277619035532e-07	3.2980298627836e-15	3.31308745285567	2.08964913019189e+17
4.8489768503811e-07	3.45164155082573e-15	3.31289278668195	2.08964913019188e+17
5.06243210591526e-07	3.61163289525239e-15	3.31269127172147	2.08964913019187e+17
5.28334376668665e-07	3.77833530683382e-15	3.31248271745337	2.08964913019185e+17
5.51191702356702e-07	3.9520616935653e-15	3.31226693016479	2.08964913019184e+17
5.74836041485085e-07	4.13314431022956e-15	3.31204371298267	2.08964913019182e+17
5.99288578807283e-07	4.32198133532905e-15	3.31181286590983	2.08964913019181e+17
6.2457082572558e-07	4.51894817745733e-15	3.31157418586536	2.08964913019179e+17
6.50704615548521e-07	4.72444474768402e-15	3.3113274667293	2.08964913019178e+17
6.7771209827089e-07	4.93895208374678e-15	3.31107249939201	2.08964913019176e+17
7.05615734866513e-07	5.16298593693782e-15	3.31080907180801	2.08964913019174e+17
7.34438291084568e-07	5.39710004741409e-15	3.31053696905455	2.08964913019172e+17
7.64202830740457e-07	5.64188868591175e-15	3.31025597339496	2.0896491301917e+17
7.94932708492795e-07	5.89798877290475e-15	3.3099658643468	2.08964913019168e+17
8.2665156209855e-07	6.16608318598334e-15	3.30966641875505	2.08964913019166e+17
8.59383304138806e-07	6.44690436823314e-15	3.30935741087014	2.08964913019164e+17
8.93152113208286e-07	6.74123827328275e-15	3.3090386124312	2.08964913019161e+17
9.27982424562175e-07	7.04992792357274e-15	3.30870979275429	2.08964913019159e+17
9.63898920214557e-07	7.37387638600414e-15	3.30837071882596	2.08964913019156e+17
1.00092651848324e-06	7.71416113044613e-15	3.30802115540187	2.08964913019153e+17
1.03909036297655e-06	8.07194224660255e-15	3.30766086511081	2.08964913019151e+17
1.07841581101817e-06	8.4484753243092e-15	3.30728960856396	2.08964913019148e+17
1.11892842150705e-06	8.84510999270437e-15	3.30690714446951	2.08964913019144e+17
1.16065394220993e-06	9.26330321345485e-15	3.30651322975263	2.08964913019141e+17
1.20361829648488e-06	9.70461752742877e-15	3.30610761968078	2.08964913019137e+17
1.24784756943508e-06	1.01707381382367e-14	3.30569006799447	2.08964913019134e+17
1.29336799349282e-06	1.06636397064827e-14	3.3052603270433	2.0896491301913e+17
1.34020593343452e-06	1.11854532748589e-14	3.30481814792749	2.08964913019125e+17
1.38838787082855e-06	1.17384779135221e-14	3.30436328064466	2.08964913019121e+17
1.43794038791832e-06	1.23251918138994e-14	3.30389547424198	2.08964913019116e+17
1.48889015094427e-06	1.29484704433207e-14	3.30341447697367	2.08964913019111e+17
1.54126389290908e-06	1.36114136012822e-14	3.30292003646365	2.08964913019106e+17
1.59508839579139e-06	1.43173715146128e-14	3.30241189987347	2.089649130191e+17
1.65039047221459e-06	1.50701949368359e-14	3.3018898140754	2.08964913019094e+17
1.70719694657769e-06	1.58740436475687e-14	3.30135352583052	2.08964913019087e+17
1.76553463565681e-06	1.67334035111527e-14	3.30080278197188	2.08964913019081e+17
1.8254303286864e-06	1.76533937907863e-14	3.30023732959254	2.08964913019073e+17
1.88691076693063e-06	1.8639833511489e-14	3.29965691623844	2.08964913019065e+17
1.95000262275624e-06	1.96990092708837e-14	3.29906129010594	2.08964913019057e+17
2.01473247821923e-06	2.08377032842573e-14	3.298450200244	2.08964913019047e+17
2.08112680317883e-06	2.20635766442708e-14	3.29782339676077	2.08964913019037e+17
2.14921193295323e-06	2.33852494815691e-14	3.29718063103458	2.08964913019027e+17
2.21901404553247e-06	2.48120176400764e-14	3.296521655929	2.08964913019015e+17
2.29055913836531e-06	2.63543035275142e-14	3.29584622601205	2.08964913019003e+17
2.36387300473738e-06	2.80237510846303e-14	3.29515409777916	2.08964913018989e+17
2.43898120975948e-06	2.98333546465192e-14	3.29444502987988	2.08964913018975e+17
2.5159090659857e-06	3.17980499528917e-14	3.29371878334805	2.08964913018959e+17
2.59468160868202e-06	3.39344257307506e-14	3.29297512183527	2.08964913018942e+17
2.67532357076715e-06	3.6260881022797e-14	3.29221381184752	2.08964913018923e+17
2.75785935744839e-06	3.87977588371263e-14	3.29143462298453	2.08964913018902e+17
2.84231302057633e-06	4.1568090732759e-14	3.29063732818197	2.0896491301888e+17
2.92870823274291e-06	4.45978368389606e-14	3.28982170395594	2.08964913018855e+17
3.01706826114874e-06	4.79161893052155e-14	3.28898753064968	2.08964913018828e+17
3.10741594126617e-06	5.15558294806594e-14	3.28813459268221	2.08964913018799e+17
3.19977365032567e-06	5.55532635048309e-14	3.28726267879864	2.08964913018767e+17
3.29416328065395e-06	5.99505595022103e-14	3.28637158232189	2.08964913018731e+17
3.39060621289304e-06	6.47951482998629e-14	3.28546110140547	2.08964913018692e+17
3.48912328913053e-06	7.0140316341014e-14	3.28453103928719	2.08964913018649e+17
3.58973478597165e-06	7.6047331119687e-14	3.28358120454338	2.08964913018601e+17
3.69246038758518e-06	8.25853339323046e-14	3.28261141134331	2.08964913018548e+17
3.7973191587551e-06	8.98320571243245e-14	3.28162147970365	2.0896491301849e+17
3.90432951797149e-06	9.78763581004449e-14	3.28061123574247	2.08964913018425e+17
4.01350921059396e-06	1.06820185255929e-13	3.27958051193261	2.08964913018352e+17
4.12487528212218e-06	1.16779746929246e-13	3.27852914735403	2.08964913018272e+17
4.23844405160815e-06	1.27887818044088e-13	3.27745698794482	2.08964913018182e+17
4.35423108524561e-06	1.40296233454431e-13	3.27636388675048	2.08964913018082e+17
4.47225117017228e-06	1.54178686879128e-13	3.27524970417133	2.0896491301797e+17
4.59251828852124e-06	1.69734891759603e-13	3.2741143082074	2.08964913017844e+17
4.71504559175772e-06	1.8719404602721e-13	3.27295757470076	2.08964913017703e+17
4.83984537533834e-06	2.06821083410167e-13	3.27177938757472	2.08964913017544e+17
4.96692905372961e-06	2.28921023723445e-13	3.27057963906971	2.08964913017365e+17
5.09630713582301e-06	2.53845049262236e-13	3.26935822997533	2.08964913017164e+17
5.22798920078386e-06	2.81998450969488e-13	3.2681150698584	2.08964913016936e+17
5.36198387437138e-06	3.13850891230842e-13	3.26685007728646	2.08964913016679e+17
5.49829880576723e-06	3.49947627189243e-13	3.26556318004659	2.08964913016387e+17
5.63694064494978e-06	3.90920382894884e-13	3.26425431535895	2.08964913016056e+17
5.77791502065126e-06	4.37503823423837e-13	3.26292343008493	2.08964913015679e+17
5.92122651893456e-06	4.9055369887895e-13	3.26157048092935	2.08964913015251e+17
6.06687866242651e-06	5.51066696744214e-13	3.26019543463658	2.08964913014761e+17
6.21487389024361e-06	6.20205558106497e-13	3.25879826817999	2.08964913014203e+17
6.36521353864642e-06	6.99328269905106e-13	3.25737896894461	2.08964913013563e+17
6.51789782245768e-06	7.90023612088415e-13	3.25593753490261	2.0896491301283e+17
6.67292581727915e-06	8.94155614710306e-13	3.25447397478108	2.08964913011988e+17
6.8302954425414e-06	1.01391213288421e-12	3.25298830822218	2.0896491301102e+17
6.99000344541999e-06	1.15186167105245e-12	3.2514805659349	2.08964913009905e+17
7.15204538565092e-06	1.3110254658888e-12	3.24995078983845	2.08964913008619e+17
7.31641562127722e-06	1.49496437613222e-12	3.24839903319684	2.08964913007132e+17
7.48310729535781e-06	1.70788212327383e-12	3.24682536074436	2.08964913005411e+17
7.65211232366876e-06	1.95474398880282e-12	3.2452298488017	2.08964913003415e+17
7.82342138342606e-06	2.24142158835207e-12	3.24361258538244	2.08964913001098e+17
7.99702390305782e-06	2.57487092612021e-12	3.24197367028962	2.08964912998403e+17
8.17290805305299e-06	2.96333963612271e-12	3.24031321520217	2.08964912995263e+17
8.35106073791205e-06	3.4166208094642e-12	3.23863134375093	2.08964912991599e+17
8.5314675892243e-06	3.94636018685383e-12	3.23692819158402	2.08964912987317e+17
8.7141129598946e-06	4.56642153587602e-12	3.23520390642142	2.08964912982305e+17
8.89897991954149e-06	5.29332845713543e-12	3.23345864809847	2.08964912976429e+17
9.08605025108686e-06	6.14680007073012e-12	3.23169258859808	2.0896491296953e+17
9.27530444855591e-06	7.15039694185514e-12	3.22990591207165	2.08964912961418e+17
9.46672171610474e-06	8.33230058870436e-12	3.22809881484831	2.08964912951865e+17
9.66027996829117e-06	9.72625775105588e-12	3.22627150543247	2.08964912940597e+17
9.85595583160292e-06	1.1372726531257e-11	3.22442420448956	2.08964912927289e+17
1.00537246472553e-05	1.33202676036297e-11	3.22255714481977	2.08964912911546e+17
1.02535604752692e-05	1.56272271234301e-11	3.22067057131976	2.08964912892899e+17
1.04554360998386e-05	1.83637808130114e-11	3.21876474093228	2.08964912870779e+17
1.06593230359935e-05	2.16144205757743e-11	3.21683992258349	2.08964912844504e+17
1.08651915375659e-05	2.54809780395898e-11	3.21489639710821	2.0896491281325e+17
1.10730106064588e-05	3.008630668397e-11	3.21293445716281	2.08964912776024e+17
1.12827480032239e-05	3.55787595250533e-11	3.21095440712594	2.08964912731628e+17
1.14943702589441e-05	4.21376440372005e-11	3.208956562987	2.08964912678612e+17
1.17078426884207e-05	4.99798806639208e-11	3.20694125222246	2.08964912615222e+17
1.19231294046606e-05	5.93681167110046e-11	3.20490881366009	2.08964912539336e+17
1.21401933346571e-05	7.06206221131179e-11	3.20285959733119	2.0896491244838e+17
1.23589962364568e-05	8.41233851739629e-11	3.20079396431096	2.08964912339236e+17
1.25794987175023e-05	1.00344877427872e-10	3.1987122865471	2.08964912208115e+17
1.28016602542393e-05	1.19854091286905e-10	3.19661494667697	2.0896491205042e+17
1.30254392129732e-05	1.43342588441386e-10	3.19450233783332	2.0896491186056e+17
1.32507928719611e-05	1.7165145496284e-10	3.19237486343906	2.08964911631735e+17
1.34776774447197e-05	2.05804267832465e-10	3.19023293699121	2.08964911355674e+17
1.37060481045315e-05	2.47047413098036e-10	3.18807698183447	2.089649110223e+17
1.39358590101256e-05	2.96899411448567e-10	3.18590743092478	2.0896491061934e+17
1.4167063332512e-05	3.57211268988095e-10	3.18372472658333	2.08964910131832e+17
1.4399613282943e-05	4.30240317745031e-10	3.18152932024155	2.08964909541529e+17
1.46334601419745e-05	5.18740575945532e-10	3.17932167217774	2.0896490882617e+17
1.48685542896001e-05	6.26073322934743e-10	3.17710225124598	2.08964907958586e+17
1.51048452364254e-05	7.56342384210065e-10	3.17487153459827	2.08964906905605e+17
1.53422816558524e-05	9.14559649786748e-10	3.1726300074007	2.08964905626715e+17
1.5580811417239e-05	1.10684754118256e-09	3.17037816254496	2.08964904072427e+17
1.58203816199984e-05	1.34068663853236e-09	3.16811650035634	2.08964902182276e+17
1.60609386286027e-05	1.62521844988074e-09	3.16584552829992	2.0896489988237e+17
1.63024281084502e-05	1.97161548658177e-09	3.16356576068662	2.08964897082399e+17
1.65447950625587e-05	2.39353347088369e-09	3.16127771838142	2.08964893671983e+17
1.67879838690426e-05	2.907663654243e-09	3.15898192851614	2.08964889516204e+17
1.70319383193312e-05	3.53440710231303e-09	3.15667892420991	2.08964884450158e+17
1.72766016570859e-05	4.29869747117099e-09	3.15436924430088	2.08964878272303e+17
1.75219166177687e-05	5.23100440020619e-09	3.15205343309335	2.0896487073635e+17
1.776782546882e-05	6.36855642150373e-09	3.14973204012556	2.08964861541375e+17
1.80142700503945e-05	7.75683038741288e-09	3.14740561996406	2.08964850319784e+17
1.82611918166109e-05	9.45136417966427e-09	3.14507473203185	2.08964836622658e+17
1.85085318772648e-05	1.15199611580807e-08	3.14273994047908	2.08964819901934e+17
1.87562310399549e-05	1.40453687263929e-08	3.14040181410635	2.08964799488755e+17
1.90042298525741e-05	1.71285300725876e-08	3.13806092635301	2.08964774567187e+17
1.92524686461131e-05	2.08925279483844e-08	3.13571785536501	2.08964744142338e+17
1.95008875777254e-05	2.5487362942206e-08	3.13337318415967	2.08964707001739e+17
1.97494266740029e-05	3.10957366132342e-08	3.13102750090805	2.08964661668595e+17
1.99980258744083e-05	3.79400428906244e-08	3.12868139935953	2.08964606345276e+17
2.02466250748138e-05	4.62908101529359e-08	3.12633547943773	2.08964538845078e+17
2.04951641710913e-05	5.64768822757239e-08	3.12399034804242	2.08964456509933e+17
2.07435831027036e-05	6.88976808018242e-08	3.12164662009825	2.08964356111291e+17
2.09918218962426e-05	8.40379534550331e-08	3.11930491989859	2.08964233730914e+17
2.12398207088618e-05	1.0248548785849e-07	3.11696588280163	2.08964084617699e+17
2.14875198715519e-05	1.24952354931908e-07	3.11463015734538	2.0896390301597e+17
2.17348599322057e-05	1.52300345866597e-07	3.11229840786058	2.08963681959886e+17
2.19817816984222e-05	1.85571381508678e-07	3.10997131767325	2.08963413027654e+17
2.22282262799967e-05	2.26023805388441e-07	3.10764959300462	2.08963086048199e+17
2.2474135131048e-05	2.75175623691699e-07	3.10533396769365	2.08962688751687e+17
2.27194500917308e-05	3.34855929408104e-07	3.10302520888773	2.0896220635392e+17
2.29641134294855e-05	4.07265946060388e-07	3.10072412387012	2.08961621062999e+17
2.32080678797741e-05	4.95051351210329e-07	3.09843156821923	2.08960911494851e+17
2.3451256686258e-05	6.01387793929843e-07	3.09614845552374	2.08960051982164e+17
2.36936236403665e-05	7.30081805931854e-07	3.09387576891159	2.08959011758978e+17
2.3935113120214e-05	8.85689625472413e-07	3.0916145746872	2.08957754000599e+17
2.41756701288183e-05	1.07365680867762e-06	3.0893660384132	2.08956234695662e+17
2.44152403315777e-05	1.30048189633651e-06	3.08713144381838	2.0895440132398e+17
2.46537700929643e-05	1.57390783698829e-06	3.08491221496399	2.08952191310388e+17
2.48912065123913e-05	1.90314534012111e-06	3.08270994215539	2.08949530220975e+17
2.51274974592166e-05	2.29913284656015e-06	3.0805264121463	2.08946329664021e+17
2.53625916068422e-05	2.7748383558618e-06	3.0783636432469	2.08942484853558e+17
2.55964384658737e-05	3.34560894068765e-06	3.07622392601655	2.08937871788841e+17
2.58289884163047e-05	4.02957440221221e-06	3.07410987029541	2.08932343998071e+17
2.60601927386911e-05	4.84811217356229e-06	3.07202445940633	2.08925728789692e+17
2.62900036442852e-05	5.82638125291977e-06	3.06997111243956	2.08917822949366e+17
