Voltage	Current, 0 suns
0	6.5118e-11
0.012	6.5134e-11
0.024	6.5167e-11
0.036	6.5199e-11
0.048	6.5232e-11
0.06	6.5264e-11
0.072	6.5295e-11
0.084	6.5327e-11
0.096	6.5358e-11
0.108	6.5389e-11
0.12	6.542e-11
0.132	6.5451e-11
0.144	6.5481e-11
0.156	6.5511e-11
0.168	6.5541e-11
0.18	6.5571e-11
0.192	6.56e-11
0.204	6.5629e-11
0.216	6.5658e-11
0.228	6.5687e-11
0.24	6.5715e-11
0.252	6.5743e-11
0.264	6.5771e-11
0.276	6.5799e-11
0.288	6.5826e-11
0.3	6.5853e-11
0.312	6.588e-11
0.324	6.5907e-11
0.336	6.5933e-11
0.348	6.596e-11
0.36	6.5986e-11
0.372	6.6012e-11
0.384	6.6037e-11
0.396	6.6062e-11
0.408	6.6088e-11
0.42	6.6112e-11
0.432	6.6137e-11
0.444	6.6162e-11
0.456	6.6186e-11
0.468	6.621e-11
0.48	6.6234e-11
0.492	6.6257e-11
0.504	6.6281e-11
0.516	6.6304e-11
0.528	6.6327e-11
0.54	6.6349e-11
0.552	6.6372e-11
0.564	6.6394e-11
0.576	6.6416e-11
0.588	6.6438e-11
0.6	6.646e-11
0.612	6.6481e-11
0.624	6.6503e-11
0.636	6.6524e-11
0.648	6.6545e-11
0.66	6.6566e-11
0.672	6.6586e-11
0.684	6.6606e-11
0.696	6.6627e-11
0.708	6.6647e-11
0.72	6.6666e-11
0.732	6.6686e-11
0.744	6.6705e-11
0.756	6.6725e-11
0.768	6.6744e-11
0.78	6.6763e-11
0.792	6.6781e-11
0.804	6.68e-11
0.816	6.6818e-11
0.828	6.6836e-11
0.84	6.6854e-11
0.852	6.6872e-11
0.864	6.689e-11
0.876	6.6908e-11
0.888	6.6925e-11
0.9	6.6942e-11
0.912	6.6959e-11
0.924	6.6976e-11
0.936	6.6993e-11
0.948	6.7009e-11
0.96	6.7026e-11
0.972	6.7042e-11
0.984	6.7058e-11
0.996	6.7074e-11
1.008	6.709e-11
1.02	6.7106e-11
1.032	6.7121e-11
1.044	6.7137e-11
1.056	6.7152e-11
1.068	6.7167e-11
1.08	6.7182e-11
1.092	6.7197e-11
1.104	6.7212e-11
1.116	6.7226e-11
1.128	6.7241e-11
1.14	6.7255e-11
1.152	6.7269e-11
1.164	6.7278e-11
1.176	6.567e-11
1.188	6.2193e-11
1.2	1.6277e-12
1.188	-6.2188e-11
1.176	-6.7297e-11
1.164	-6.7283e-11
1.152	-6.7269e-11
1.14	-6.7254e-11
1.128	-6.724e-11
1.116	-6.7226e-11
1.104	-6.7211e-11
1.092	-6.7197e-11
1.08	-6.7182e-11
1.068	-6.7167e-11
1.056	-6.7152e-11
1.044	-6.7136e-11
1.032	-6.7121e-11
1.02	-6.7105e-11
1.008	-6.709e-11
0.996	-6.7074e-11
0.984	-6.7058e-11
0.972	-6.7042e-11
0.96	-6.7026e-11
0.948	-6.7009e-11
0.936	-6.6993e-11
0.924	-6.6976e-11
0.912	-6.6959e-11
0.9	-6.6942e-11
0.888	-6.6925e-11
0.876	-6.6907e-11
0.864	-6.689e-11
0.852	-6.6872e-11
0.84	-6.6854e-11
0.828	-6.6836e-11
0.816	-6.6818e-11
0.804	-6.68e-11
0.792	-6.6781e-11
0.78	-6.6763e-11
0.768	-6.6744e-11
0.756	-6.6725e-11
0.744	-6.6705e-11
0.732	-6.6686e-11
0.72	-6.6666e-11
0.708	-6.6647e-11
0.696	-6.6627e-11
0.684	-6.6606e-11
0.672	-6.6586e-11
0.66	-6.6566e-11
0.648	-6.6545e-11
0.636	-6.6524e-11
0.624	-6.6503e-11
0.612	-6.6481e-11
0.6	-6.646e-11
0.588	-6.6438e-11
0.576	-6.6416e-11
