Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	6.32513987123201e-07	6.32513987123201e-07
1.35886495081699e-09	1.15010521541487e-29	6.32490695617847e-07	6.32490695617847e-07
2.80761188759511e-09	2.37628402501848e-29	6.32465863498206e-07	6.32465863498206e-07
4.3515222362309e-09	3.68300647969024e-29	6.32439400238461e-07	6.32439400238461e-07
5.99613985917168e-09	5.07496474925205e-29	6.32411210814525e-07	6.32411210814525e-07
7.7472808530953e-09	6.55708141494965e-29	6.32381195536104e-07	6.32381195536104e-07
9.61104350254161e-09	8.13451789392774e-29	6.32349249876087e-07	6.32349249876087e-07
1.15938183775694e-08	9.81268298560359e-29	6.32315264297468e-07	6.32315264297468e-07
1.37022985623326e-08	1.15972415288476e-28	6.32279124078028e-07	6.32279124078028e-07
1.59434900003054e-08	1.3494123157891e-28	6.32240709133007e-07	6.32240709133007e-07
1.83247219406346e-08	1.55095311438271e-28	6.32199893836053e-07	6.32199893836053e-07
2.08536574688818e-08	1.76499513075356e-28	6.32156546838722e-07	6.32156546838722e-07
2.35383041040966e-08	1.99221609887486e-28	6.32110530888837e-07	6.32110530888837e-07
2.63870244429042e-08	2.2333238054908e-28	6.32061702648044e-07	6.32061702648044e-07
2.94085468299207e-08	2.48905699323054e-28	6.32009912508919e-07	6.32009912508919e-07
3.26119760325174e-08	2.76018626409046e-28	6.31955004411997e-07	6.31955004411997e-07
3.60068038965432e-08	3.04751498130455e-28	6.31896815663127e-07	6.31896815663127e-07
3.96029199583003e-08	3.35188016751235e-28	6.31835176751581e-07	6.31835176751581e-07
4.34106219866622e-08	3.67415339701432e-28	6.31769911169356e-07	6.31769911169356e-07
4.74406264278637e-08	4.01524167978945e-28	6.31700835232147e-07	6.31700835232147e-07
5.17040787241154e-08	4.37608833483391e-28	6.31627757902479e-07	6.31627757902479e-07
5.62125634758406e-08	4.75767385026453e-28	6.31550480615527e-07	6.31550480615527e-07
6.09781144159812e-08	5.16101672751575e-28	6.31468797108148e-07	6.31468797108148e-07
6.60132241634759e-08	5.58717430684705e-28	6.31382493251704e-07	6.31382493251704e-07
7.133085372175e-08	6.03724357126824e-28	6.31291346889254e-07	6.31291346889254e-07
7.69444416867226e-08	6.51236192587948e-28	6.31195127677725e-07	6.31195127677725e-07
8.28679131276684e-08	7.01370794952237e-28	6.31093596935691e-07	6.31093596935691e-07
8.91156881030186e-08	7.54250211553381e-28	6.30986507497405e-07	6.30986507497405e-07
9.5702689772089e-08	8.10000747829965e-28	6.30873603573766e-07	6.30873603573766e-07
1.02644352062618e-07	8.68753032221371e-28	6.30754620620892e-07	6.30754620620892e-07
1.09956626852978e-07	9.30642076956014e-28	6.30629285217011e-07	6.30629285217011e-07
1.17655990626992e-07	9.95807334375832e-28	6.304973149484e-07	6.304973149484e-07
1.25759450558387e-07	1.06439274843341e-27	6.30358418305092e-07	6.30358418305092e-07
1.34284549981169e-07	1.13654680099166e-27	6.30212294587109e-07	6.30212294587109e-07
1.43249373201489e-07	1.21242255255011e-27	6.30058633821991e-07	6.30058633821991e-07
1.52672549605984e-07	1.29217767701685e-27	6.29897116694373e-07	6.29897116694373e-07
1.62573257021119e-07	1.37597449014094e-27	6.29727414488403e-07	6.29727414488403e-07
1.72971224277633e-07	1.46397997121721e-27	6.29549189043792e-07	6.29549189043792e-07
1.83886732934038e-07	1.55636577767348e-27	6.29362092726266e-07	6.29362092726266e-07
1.95340618112904e-07	1.65330825214867e-27	6.29165768413237e-07	6.29165768413237e-07
2.07354268403788e-07	1.75498842167111e-27	6.28959849495464e-07	6.28959849495464e-07
2.19949624786734e-07	1.86159198854745e-27	6.28743959895506e-07	6.28743959895506e-07
2.33149178530677e-07	1.97330931257534e-27	6.28517714103742e-07	6.28517714103742e-07
2.46975968021493e-07	2.09033538419689e-27	6.28280717232742e-07	6.28280717232742e-07
2.61453574475102e-07	2.21286978821556e-27	6.28032565090746e-07	6.28032565090746e-07
2.76606116491835e-07	2.3411166577059e-27	6.27772844275004e-07	6.27772844275004e-07
2.9245824340924e-07	2.47528461775354e-27	6.27501132285709e-07	6.27501132285709e-07
3.09035127411672e-07	2.61558671867293e-27	6.27216997661246e-07	6.27216997661246e-07
3.26362454356331e-07	2.76224035836155e-27	6.26920000135436e-07	6.26920000135436e-07
3.44466413276954e-07	2.91546719346212e-27	6.26609690817446e-07	6.26609690817446e-07
3.63373684528077e-07	3.07549303901893e-27	6.26285612395001e-07	6.26285612395001e-07
3.83111426534661e-07	3.24254775633025e-27	6.25947299361504e-07	6.25947299361504e-07
4.03707261114023e-07	3.41686512871755e-27	6.25594278267622e-07	6.25594278267622e-07
4.25189257339262e-07	3.59868272494986e-27	6.25226067997871e-07	6.25226067997871e-07
4.47585913915872e-07	3.78824175008435e-27	6.24842180072692e-07	6.24842180072692e-07
4.7092614004595e-07	3.98578688350648e-27	6.24442118976447e-07	6.24442118976447e-07
4.95239234757234e-07	4.19156610397667e-27	6.24025382511722e-07	6.24025382511722e-07
5.20554864677329e-07	4.40583050151756e-27	6.23591462180294e-07	6.23591462180294e-07
5.46903040236704e-07	4.62883407600292e-27	6.23139843591014e-07	6.23139843591014e-07
5.74314090287521e-07	4.86083352233858e-27	6.22670006894854e-07	6.22670006894854e-07
6.02818635128987e-07	5.1020880021564e-27	6.22181427247266e-07	6.22181427247266e-07
6.32447557933704e-07	5.35285890197502e-27	6.21673575297942e-07	6.21673575297942e-07
6.6323197457352e-07	5.6134095778142e-27	6.21145917708013e-07	6.21145917708013e-07
6.95203201847492e-07	5.88400508628545e-27	6.20597917694635e-07	6.20597917694635e-07
7.28392724118897e-07	6.16491190221678e-27	6.20029035602843e-07	6.20029035602843e-07
7.62832158372661e-07	6.45639762290872e-27	6.19438729504486e-07	6.19438729504486e-07
7.98553217709206e-07	6.75873065915644e-27	6.18826455823949e-07	6.18826455823949e-07
8.35587673295352e-07	7.07217991321261e-27	6.18191669990338e-07	6.18191669990338e-07
8.73967314797825e-07	7.3970144439082e-27	6.17533827115662e-07	6.17533827115662e-07
9.1372390932983e-07	7.7335031191873e-27	6.16852382698508e-07	6.16852382698508e-07
9.54889158946111e-07	8.08191425635768e-27	6.1614679335259e-07	6.1614679335259e-07
9.97494656727125e-07	8.442515250399e-27	6.15416517559486e-07	6.15416517559486e-07
1.04157184149801e-06	8.81557219071735e-27	6.14661016444776e-07	6.14661016444776e-07
1.08715195123332e-06	9.20134946677563e-27	6.138797545767e-07	6.138797545767e-07
1.13426597520365e-06	9.60010936307622e-27	6.13072200786388e-07	6.13072200786388e-07
1.18294460492552e-06	1.00121116440143e-26	6.12237829008594e-07	6.12237829008594e-07
1.23321818398125e-06	1.04376131291676e-26	6.11376119141811e-07	6.11376119141811e-07
1.28511665678053e-06	1.08768672596284e-26	6.10486557926516e-07	6.10486557926516e-07
1.33866951634073e-06	1.13301236560312e-26	6.09568639840233e-07	6.09568639840233e-07
1.39390575116806e-06	1.17976276689691e-26	6.08621868008017e-07	6.08621868008017e-07
1.45085379132658e-06	1.22796199225375e-26	6.07645755126854e-07	6.07645755126854e-07
1.50954145378716e-06	1.27763358517829e-26	6.06639824402395e-07	6.06639824402395e-07
1.56999588715306e-06	1.32880052348754e-26	6.05603610496391e-07	6.05603610496391e-07
1.63224351586357e-06	1.38148517208642e-26	6.04536660483061e-07	6.04536660483061e-07
1.69630998398158e-06	1.43570923539115e-26	6.03438534812597e-07	6.03438534812597e-07
1.76222009867518e-06	1.49149370949364e-26	6.02308808279913e-07	6.02308808279913e-07
1.82999777350752e-06	1.54885883416361e-26	6.0114707099668e-07	6.0114707099668e-07
1.89966597165294e-06	1.60782404478834e-26	5.99952929364625e-07	5.99952929364625e-07
1.97124664916102e-06	1.66840792435296e-26	5.98726007048007e-07	5.98726007048007e-07
2.0447606983935e-06	1.73062815556695e-26	5.97465945943137e-07	5.97465945943137e-07
2.12022789176202e-06	1.79450147324547e-26	5.96172407142727e-07	5.96172407142727e-07
2.19766682589737e-06	1.86004361705574e-26	5.94845071892862e-07	5.94845071892862e-07
2.27709486638352e-06	1.92726928474136e-26	5.93483642540274e-07	5.93483642540274e-07
2.35852809319125e-06	1.99619208593898e-26	5.92087843467636e-07	5.92087843467636e-07
2.44198124694872e-06	2.0668244967032e-26	5.90657422014506e-07	5.90657422014506e-07
2.52746767618673e-06	2.13917781485641e-26	5.89192149381564e-07	5.89192149381564e-07
2.61499928569812e-06	2.21326211628169e-26	5.87691821515753e-07	5.87691821515753e-07
2.70458648615088e-06	2.28908621227671e-26	5.86156259973934e-07	5.86156259973934e-07
2.79623814509479e-06	2.36665760808711e-26	5.84585312762647e-07	5.84585312762647e-07
2.88996153950119e-06	2.44598246273752e-26	5.82978855151606e-07	5.82978855151606e-07
2.98576230997451e-06	2.52706555027744e-26	5.81336790458524e-07	5.81336790458524e-07
3.08364441677348e-06	2.60991022255888e-26	5.79659050802935e-07	5.79659050802935e-07
3.18361009777782e-06	2.69451837366054e-26	5.77945597826659e-07	5.77945597826659e-07
3.28565982853445e-06	2.78089040607203e-26	5.76196423378624e-07	5.76196423378624e-07
3.38979228451482e-06	2.86902519874949e-26	5.74411550161796e-07	5.74411550161796e-07
3.4960043057117e-06	2.95892007715136e-26	5.72591032340001e-07	5.72591032340001e-07
3.60429086370062e-06	3.05057078536001e-26	5.70734956102509e-07	5.70734956102509e-07
3.71464503128714e-06	3.14397146039227e-26	5.68843440184285e-07	5.68843440184285e-07
3.82705795485697e-06	3.23911460879705e-26	5.6691663633993e-07	5.6691663633993e-07
3.94151882954094e-06	3.33599108563591e-26	5.64954729769353e-07	5.64954729769353e-07
