Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363569.099107626	363569.099107614
2.71772990163398e-09	-3.53844410330849e-64	363569.099107626	363569.099107614
5.61522377519022e-09	-7.31093821292741e-64	363569.099107626	363569.099107614
8.70304447246179e-09	-1.13312349715281e-63	363569.099107626	363569.099107614
1.19922797183434e-08	-1.5613770385367e-63	363569.099107626	363569.099107614
1.54945617061906e-08	-2.01736893431627e-63	363569.099107626	363569.099107614
1.92220870050832e-08	-2.50268715124071e-63	363569.099107626	363569.099107614
2.31876367551388e-08	-3.01899576370332e-63	363569.099107626	363569.099107614
2.74045971246653e-08	-3.5680376191844e-63	363569.099107626	363569.099107614
3.18869800006108e-08	-4.15163702699364e-63	363569.099107626	363569.099107614
3.66494438812692e-08	-4.77170247634989e-63	363569.099107626	363569.099107614
4.17073149377636e-08	-5.43022938731455e-63	363569.099107626	363569.099107614
4.70766082081932e-08	-6.129302862773e-63	363569.099107626	363569.099107614
5.27740488858083e-08	-6.8711004468846e-63	363569.099107626	363569.099107614
5.88170936598415e-08	-7.65789493016487e-63	363569.099107626	363569.099107614
6.52239520650348e-08	-8.49205710397576e-63	363569.099107626	363569.099107614
7.20136077930864e-08	-9.37605852528644e-63	363569.099107626	363569.099107614
7.92058399166006e-08	-1.03124743174249e-62	363569.099107626	363569.099107614
8.68212439733243e-08	-1.13039858520909e-62	363569.099107626	363569.099107614
9.48812528557274e-08	-1.23533835285822e-62	363569.099107626	363569.099107614
1.03408157448231e-07	-1.34635694134667e-62	363569.099107626	363569.099107614
1.12425126951681e-07	-1.46375599141059e-62	363569.099107626	363569.099107614
1.21956228831962e-07	-1.58784882833219e-62	363569.099107626	363569.099107614
1.32026448326952e-07	-1.71896072812932e-62	363569.099107626	363569.099107614
1.426617074435e-07	-1.85742915660668e-62	363569.099107626	363569.099107614
1.53888883373445e-07	-2.00360400825513e-62	363569.099107626	363569.099107614
1.65735826255337e-07	-2.15784783755761e-62	363569.099107626	363569.099107614
1.78231376206037e-07	-2.32053607714947e-62	363569.099107626	363569.099107614
