Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363568.293258173	363569.099107614
2.02184590894066e-09	0.000300178600087428	367180.570202657	359371.909431405
4.14335823799513e-09	0.00061508255692792	371015.253466323	355020.888299056
6.36891181508354e-09	0.000945350633730299	375087.370302785	350514.161840818
8.70304447246179e-09	0.00129164462064768	379413.145459254	345850.173262845
1.11504616483094e-08	0.00165464990858249	384010.116048109	341027.714809769
1.37160410468289e-08	0.00203507606267345	388897.259260805	336045.960525431
1.64048373538914e-08	0.0024336573943736	394095.134540102	330904.499620757
1.92220870050832e-08	0.0028511535309625	399626.042051806	325603.370226673
2.21732130027976e-08	0.00328834998126308	405514.199556811	320143.093277556
2.52638297787426e-08	0.00374605869625003	411785.940083811	314524.706237314
2.84997480980044e-08	0.00422511862315752	418469.93314967	308749.796345976
3.18869800006108e-08	0.00472639625161836	425597.432675951	302820.533030169
3.54317437761696e-08	0.00525078615026359	433202.555215598	296739.699086982
3.91404689670858e-08	0.00579921149215015	441322.592645359	290510.720217287
4.30198013953979e-08	0.00637262456726409	449998.364109102	284137.692453553
4.70766082081932e-08	0.00697200728028026	459274.612732114	277625.406998045
5.13179829361677e-08	0.00759837163164557	469200.453484132	270979.371962199
5.57512505597142e-08	0.00825276017996848	479829.879572914	264205.830476928
6.03839725765966e-08	0.00893624648358968	491222.3359266	257311.774628436
6.52239520650348e-08	0.00964993551911368	503443.369704823	250304.954665423
7.02792387357311e-08	0.0103949640745752	516565.369403752	243193.88292284
7.55581339660905e-08	0.011172501114809	530668.406035708	235987.831915608
8.10691958096376e-08	0.0119837481164889	545841.192125863	228696.82607409
8.68212439733243e-08	0.0128299393701918	562182.17694427	221331.626622855
9.28233647551831e-08	0.0137123422467349	579800.79956342	213903.709146151
9.90849159344704e-08	0.0146322574249255	598818.925098684	206425.233438638
1.05615531606198e-07	0.0155910190777507	619372.493972593	198909.005308734
1.12425126951681e-07	0.0165899950139294	641613.419390698	191368.430084996
1.19523902936438e-07	0.0176305867716306	665711.774606308	183817.457673391
1.26922350926539e-07	0.0187142296610598	691858.319203487	176270.519124797
1.34631257214247e-07	0.0198423927525016	720267.422811078	168742.454797094
1.426617074435e-07	0.0210165788062993	751180.455705864	161248.434333674
1.51025090925564e-07	0.0222383241411429	784869.729077304	153803.868828533
1.5973310483497e-07	0.0235091984369388	821643.083811991	146424.315705151
1.68797758275519e-07	0.0248308044684189	861849.24613349	139125.376999881
1.78231376206037e-07	0.0262047777655625	905884.092074259	131922.591906801
1.88046603215225e-07	0.0276327861967886	954197.99151622	124831.32460706
1.98256407134813e-07	0.0291165294708013	1007304.43760986	117866.648566888
2.08874082479995e-07	0.0306577385528661	1065790.21025631	111043.228640657
2.19913253705957e-07	0.0322581749912218	1130327.37487858	104375.202453624
2.31387878269063e-07	0.0339196301492434	1201687.48225717	97876.0626584167
2.43312249481223e-07	0.0356439243389098	1280758.41470796	91558.5417549034
2.55700999145667e-07	0.0374329058510508	1368564.42205213	85434.501230032
2.68569099962338e-07	0.0392884498778013	1466290.0123712	79514.8268079458
2.81931867690899e-07	0.0412124573226287	1575308.51341737	73809.3315972865
2.95804963059328e-07	0.0432068534932673	1697216.30834375	68326.6688787548
3.10204393405883e-07	0.0452735866728505	1833873.98380131	63074.2561895104
3.25146514042238e-07	0.0474146265645175	1987455.92178575	58058.2122306142
3.40648029325503e-07	0.0496319626047589	2160510.23476429	53283.3079496727
3.56725993426758e-07	0.0519276021407574	2356031.40696023	48752.9329347299
3.73397810783814e-07	0.0543035684670073	2577548.58951652	44469.0780003339
3.90681236225808e-07	0.05676189871651	2829233.23760297	40432.3345573918
4.08594374757362e-07	0.0593046416018941	3116030.71748203	36641.9110410238
4.2715568099001e-07	0.0619338550018564	3443821.70847476	33095.6663328747
4.46383958208709e-07	0.0646516033883998	3819620.75352554	29790.159765053
4.66298357061353e-07	0.0674599550904303	4251821.27059294	26720.7169419381
4.8691837385927e-07	0.0703609793893815	4750498.85394519	23881.5102740511
5.08263848476895e-07	0.0733567434426623	5327787.93883818	21265.6527957887
5.30354961838956e-07	0.0764493090308714	5998351.09845779	18865.3035467352
5.5321223298367e-07	0.0796407291248803	6779965.6843805	16671.7825445265
5.76856515690716e-07	0.0829330442690821	7694259.60437036	14675.6931747837
6.01308994663012e-07	0.0863282787773084	8767637.27812816	12867.0496779641
6.26591181251512e-07	0.0898284367381428	10032448.9232189	11235.4073296494
6.52724908712662e-07	0.0934354978266271	11528472.2393428	9769.99289318892
6.79732326988386e-07	0.0971514129196172	13304796.5432481	8459.83297269029
7.07635896998916e-07	0.10097809951237	15422227.1645133	7293.87800850136
7.36458384439106e-07	0.104917436934253	17956364.7530395	6261.11983244632
7.66222853069321e-07	0.108971261361829	21001563.2078944	5350.700929644
7.96952657492446e-07	0.113141360627962	24676035.4855068	4552.01382913347
8.28671435409041e-07	0.117429468825976	29128464.4201641	3854.78935638086
8.61403099343132e-07	0.121837260708344	34546593.8928671	3249.17281541633
8.95171827831744e-07	0.126366345879863	41168435.2187613	2725.78751448836
9.30002056071754e-07	0.131018262785721	49296939.6654418	2275.78539424528
9.65918466018347e-07	0.135794472495417	59319281.5630835	1890.88484950912
1.00294597592988e-06	0.140696352284034	71732296.6644265	1563.39614366995
1.04110972935466e-06	0.1457251890129	87176167.8231465	1286.23508905117
1.08043508355587e-06	0.150882172312337	106479201.316023	1052.92589963494
