Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363569.09910763	363569.099107618
2.89750616671375e-09	-7.43141133900582e-31	363569.099108412	363569.099107917
5.98533996463986e-09	-6.38160498191356e-30	363569.099109246	363569.099108237
9.27458916571469e-09	-2.96678674576917e-30	363569.099110134	363569.099108579
1.27768860126457e-08	-1.23908855758595e-29	363569.099111079	363569.099108943
1.65044271262588e-08	-2.86159245220673e-29	363569.099112086	363569.099109333
2.04699937008979e-08	-1.56660558354426e-29	363569.099113158	363569.099109749
2.46869719616643e-08	-2.53512686362744e-29	363569.099114297	363569.099110194
2.91693738549519e-08	-3.31105274185946e-29	363569.099115509	363569.099110669
3.39318579412528e-08	-1.35734005431822e-29	363569.099116797	363569.099111177
3.89897504567073e-08	-1.55050842032783e-29	363569.099118165	363569.099111721
4.43590665073639e-08	-1.48039012587755e-29	363569.099119617	363569.099112304
5.00565313574324e-08	-1.57766403254369e-29	363569.09912116	363569.099112927
5.60996017702088e-08	-1.3120710709754e-29	363569.099122796	363569.099113596
6.25064873576924e-08	-1.4149807301413e-29	363569.099124531	363569.099114313
6.92961718921233e-08	-1.6582642007163e-29	363569.099126371	363569.099115084
7.64884345300221e-08	-1.89882729524485e-29	363569.099128321	363569.099115913
8.41038708965161e-08	-1.91763640856422e-29	363569.099130387	363569.099116805
9.21639139750083e-08	-2.11703034311906e-29	363569.099132574	363569.099117768
1.00690854744493e-07	-2.13987668708435e-29	363569.099134889	363569.099118808
1.09707862504116e-07	-2.39152832326771e-29	363569.099137338	363569.099119933
1.19239004821873e-07	-2.24768543054629e-29	363569.099139929	363569.099121154
1.29309267041644e-07	-2.50935671726532e-29	363569.099142668	363569.09912248
1.39944571280258e-07	-2.83738592021822e-29	363569.099145562	363569.099123923
1.51171794843591e-07	-3.15174102056596e-29	363569.09914862	363569.099125498
1.63018787988344e-07	-3.02346927144491e-29	363569.099151848	363569.099127221
1.75514390953743e-07	-3.29113501511585e-29	363569.099155256	363569.09912911
1.88688450185048e-07	-2.87349710667548e-29	363569.099158852	363569.099131187
2.02571833668696e-07	-3.32447286245319e-29	363569.099162644	363569.099133474
2.17196445296793e-07	-2.53445639926555e-29	363569.099166643	363569.099136001
2.3259523817679e-07	-2.69909452056149e-29	363569.099170856	363569.099138798
2.48802226800457e-07	-3.34788254092722e-29	363569.099175296	363569.099141901
2.65852497984665e-07	-3.68332175934114e-29	363569.09917997	363569.099145355
2.8378222049517e-07	-3.5364599714319e-29	363569.099184891	363569.099149204
3.02628653263324e-07	-2.16293488334353e-29	363569.099190069	363569.099153504
3.22430152104785e-07	-3.0100744286817e-29	363569.099195516	363569.099158317
3.43226174848439e-07	-3.07960049967408e-29	363569.099201243	363569.099163714
3.65057284783406e-07	-3.14825990219148e-29	363569.099207262	363569.099169776
3.87965152331622e-07	-2.48782000566221e-29	363569.099213587	363569.099176596
4.11992554853689e-07	-2.7124412150761e-29	363569.099220229	363569.099184275
4.37183374495872e-07	-3.79292643247622e-29	363569.099227203	363569.099192933
4.63582593986889e-07	-4.21809472699915e-29	363569.099234521	363569.099202705
4.91236290293981e-07	-4.15525163291379e-29	363569.099242199	363569.099213745
5.20191626049084e-07	4.79595074751309e-30	363569.099250251	363569.099226222
5.50496838657514e-07	-3.87343030415161e-30	363569.099258692	363569.09924033
5.82201227003527e-07	-3.59601935496207e-29	363569.099267537	363569.099256285
6.15355135669428e-07	-2.41145688336726e-30	363569.099276803	363569.099274333
6.50009936587569e-07	-7.40583619305057e-29	363569.099286505	363569.099294743
6.86218008047653e-07	-1.04284869442691e-28	363569.099296661	363569.099317824
7.2403271098514e-07	-8.44938207411735e-29	363569.099307288	363569.099343908
7.63508362480403e-07	-6.13574317262552e-29	363569.099318404	363569.099373383
8.04700206402457e-07	-3.14003618132895e-29	363569.099330025	363569.099406662
8.47664381135677e-07	-7.08041181034746e-29	363569.099342173	363569.099444224
8.92457884332872e-07	-6.8473742870766e-29	363569.099354864	363569.099486556
9.39138534643543e-07	-1.3768588728221e-28	363569.099368119	363569.09953426
9.87764930371778e-07	-3.20886891754135e-29	363569.099381957	363569.09958794
1.03839640502452e-06	-4.58741105313484e-29	363569.099396399	363569.099648297
1.09109297971735e-06	-4.5702702766298e-29	363569.099411465	363569.099716066
1.14591531241196e-06	-4.07103071644574e-29	363569.099427176	363569.099792086
1.20292464396658e-06	-5.08892321065328e-29	363569.099443553	363569.099877208
1.26218274098846e-06	-1.20581318260118e-28	363569.099460619	363569.099972479
1.32375183548534e-06	-6.96974787574297e-29	363569.099478393	363569.100078882
1.38769456132106e-06	-1.06357555248841e-28	363569.0994969	363569.100197576
1.45407388748932e-06	-4.96866814492574e-29	363569.099516161	363569.100329764
1.52295304822829e-06	-3.87242882058053e-29	363569.099536199	363569.100476754
1.59439547000787e-06	-6.57681964848908e-29	363569.099557036	363569.100640031
1.66846469543132e-06	-4.86805756463095e-29	363569.099578696	363569.100821037
1.74522430410182e-06	-7.27315887918173e-29	363569.099601201	363569.101021337
