Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	1.32181965358943e-08	4.80574687438055e-22
1.31493062191688e-09	0.000117318073071493	1.32515809701021e-08	4.7839874443513e-22
2.89810281382233e-09	0.000258568651466135	1.32919772984972e-08	4.7579198205329e-22
4.79687898130571e-09	0.00042797740767744	1.33407186830158e-08	4.72684287388619e-22
7.06538374966409e-09	0.000630373339251026	1.33993713904747e-08	4.68998059112662e-22
9.76514852318006e-09	0.000871246276344979	1.34697757076611e-08	4.6464848713294e-22
1.29657563412217e-08	0.00115680441577198	1.35540955820458e-08	4.59544223452009e-22
1.67454735034486e-08	0.00149403067458677	1.36548794542689e-08	4.53588543778109e-22
2.11918522040056e-08	0.00189073645708372	1.37751355443979e-08	4.46681103188918e-22
2.64022862272221e-08	0.00235561123395827	1.39184259123239e-08	4.38720384999611e-22
3.24844996966881e-08	0.002898266148489	1.4088985026895e-08	4.2960692647566e-22
3.95569470274998e-08	0.00352926970025158	1.42918704829095e-08	4.19247374414276e-22
4.77491007079086e-08	0.00426017342100383	1.45331560896737e-08	4.07559374332934e-22
5.72016024369865e-08	0.00510352535918047	1.48201810713957e-08	3.94477226402283e-22
6.80662525765137e-08	0.00607286913879016	1.51618739785668e-08	3.7995814862965e-22
8.05058129432618e-08	0.00718272636453471	1.5569176628053e-08	3.63988875586948e-22
9.46935987703811e-08	0.00844856021664012	1.60556028151537e-08	3.46592196075052e-22
1.10812837289863e-07	0.00988671822358627	1.66379798085447e-08	3.27832907930286e-22
1.29055772900748e-07	0.0115143524252418	1.73374395612038e-08	3.07822560966705e-22
1.49622502335631e-07	0.0133493154464678	1.81807535698548e-08	2.86722293209805e-22
1.72719527638829e-07	0.0154100313938285	1.92021444777729e-08	2.64743067118858e-22
1.98558020108218e-07	0.0177153409645905	2.04457644836126e-08	2.42142705757575e-22
2.27351794577645e-07	0.0202843207121998	2.19691139873808e-08	2.19219330397272e-22
2.5931500043699e-07	0.0231360770391689	2.38477976869438e-08	1.96301112628105e-22
2.94659543471083e-07	0.0262895161737166	2.61821992065074e-08	1.73732656624034e-22
3.33592260774989e-07	0.0297630921156184	2.91069318487791e-08	1.51858777468532e-22
3.76311879462294e-07	0.0335745352923293	3.28043410849734e-08	1.31006873896096e-22
4.23005798381519e-07	0.0377405654238515	3.752397239088e-08	1.11469429289218e-22
4.7384674032276e-07	0.0422765928326711	4.36108942460464e-08	9.34883355446845e-23
5.28989329941691e-07	0.0471964131261928	5.15472799682317e-08	7.7242663199602e-23
5.88566659550639e-07	0.0525119007967781	6.20139997170164e-08	6.28411792711159e-23
6.52686910727677e-07	0.0582327078018016	7.59826493857806e-08	5.03203730410146e-23
7.21430104088801e-07	0.0643659735783207	9.48542222506555e-08	3.96480707292744e-23
7.94845052295776e-07	0.0709160531906924	1.20669751620231e-07	3.07320194625587e-23
8.72946592212141e-07	0.0778842703834441	1.5643270989771e-07	2.34322258655962e-23
9.55713170901876e-07	0.0852687022042285	2.06605922159117e-07	1.75754511055563e-23
1.0430848567801e-06	0.0930640015587407	2.77882303660119e-07	1.29701518178832e-23
1.13496184163372e-06	0.101261263561026	3.80386854426942e-07	9.42031454826899e-24
1.2312034914693e-06	0.109847940850098	5.29559710122234e-07	6.73700311885411e-24
1.33162799433176e-06	0.118807812168504	7.49116168126955e-07	4.74692866438182e-24
1.43601264156799e-06	0.128121007456443	1.07570970582528e-06	3.29785509097896e-24
1.54409476575619e-06	0.137764091533982	1.56628312420947e-06	2.26107807651807e-24
1.65557334402709e-06	0.147710207149136	2.30964901600244e-06	1.53150687535466e-24
1.7701112601699e-06	0.157929276803117	3.44468452234885e-06	1.02601813179588e-24
1.88733820319073e-06	0.168388261359491	5.18879369464962e-06	6.80756676403075e-25
2.00685416435361e-06	0.179051472050071	7.88214516971002e-06	4.47968107342084e-25
2.12823347967552e-06	0.189880931146229	1.20558321794704e-05	2.9280673535105e-25
2.25102935085234e-06	0.200836775315877	1.8535718421889e-05	1.90409978716392e-25
2.37477876512313e-06	0.211877694573531	2.85985390961133e-05	1.23394532995967e-25
2.49900772405243e-06	0.222961398792113	4.42026291103009e-05	7.982527086614e-26
2.62323668298172e-06	0.234045103010695	6.83223952587773e-05	5.16382871220539e-26
2.74698609725251e-06	0.245086022268315	0.000105422124220848	3.34608208969348e-26
2.86978196842934e-06	0.25604186643799	0.000162109264689435	2.17554591154996e-26
2.99116128375124e-06	0.266871325534163	0.000248007488726512	1.42159829237677e-26
3.11067724491412e-06	0.277534536224739	0.00037688120313173	9.35057936469715e-27
3.22790418793496e-06	0.287993520781084	0.000568021587537149	6.19990047645155e-27
3.34244210407776e-06	0.298212590435047	0.000847866533459634	4.14947087725912e-27
3.45392068234866e-06	0.308158706050201	0.00125176764405305	2.80657185732047e-27
3.56200280653686e-06	0.31780179012774	0.00182574388680338	1.92033411395481e-27
3.6663874537731e-06	0.327114985415692	0.00262797592513708	1.3303241488959e-27
3.76681195663555e-06	0.336074856734076	0.0037297176955727	9.33677486828259e-28
3.86305360647113e-06	0.344661534023143	0.00521525085695426	6.64180864871587e-28
3.95493059132476e-06	0.352858796025413	0.00718051239684581	4.78992944569807e-28
4.04230227720298e-06	0.360654095379932	0.0097301025276088	3.50221034003757e-28
4.12506885589271e-06	0.368038527200718	0.0129725391174826	2.59574046598204e-28
4.20317039580908e-06	0.375006744393477	0.0170138661273493	1.94960911892961e-28
4.27658534401605e-06	0.381556824005849	0.0219499933968744	1.4831922739293e-28
4.34532853737717e-06	0.387690089782399	0.0278584246670613	1.14222950435675e-28
4.40944878855421e-06	0.39341089678741	0.03479023465969	8.89847275237397e-29
4.46902611816316e-06	0.398726384457995	0.0427632358251728	7.00734780551695e-29
4.52416870778209e-06	0.403646204751524	0.0517572273312157	5.57338644527724e-29
4.57500964972333e-06	0.408182232160326	0.0617119927754256	4.47357761501973e-29
