Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363568.286013979	363569.099107618
2.12151739152832e-09	0.000315879111178058	367366.587372181	359153.713091427
4.34707627935975e-09	0.000647169718219359	371400.223476524	354580.497830256
6.68121450657862e-09	0.000994535630590319	375685.292361289	349847.895012397
9.12863752259283e-09	0.0013586643283325	380239.195581309	344954.701982429
1.16942230432444e-08	0.00174026753702337	385080.765781656	339900.105001306
1.43830257664662e-08	0.00214008180130066	390230.407697032	334683.713110769
1.72002821403399e-08	0.00255886905578452	395710.256009798	329305.59237498
2.01514151801996e-08	0.00299741719216664	401544.351451415	323766.300239217
2.32420393311509e-08	0.00345654062114301	407758.836995056	318066.919711613
2.64779653721458e-08	0.0039370808277943	414382.178416337	312209.093039089
2.9865205357556e-08	0.00443990691893812	421445.412082214	306195.054513639
3.34099775918348e-08	0.00496591616087739	428982.418737359	300027.662010727
3.71187116327228e-08	0.00551603450589799	437030.23995486	293710.426827837
4.09980533181195e-08	0.00609121710576623	445629.423547596	287247.54135953
4.50548698114988e-08	0.00669244881038788	454824.422053534	280643.904116348
4.92962546604839e-08	0.00732074464969351	464664.036002404	273905.141569285
5.37295328629467e-08	0.00797715029672191	475201.922706428	267037.626280712
5.83622659346949e-08	0.00866274250976443	486497.162969277	260048.490767517
6.32022569725685e-08	0.00937862955134529	498614.910937869	252945.63653375
6.82575557064784e-08	0.0101259515816942	511627.137281668	245737.737709987
7.35364635336391e-08	0.0109058810242751	525613.451462004	238434.238745373
7.90475385279966e-08	0.0117196229008202	540662.074828776	231045.34561784
8.47996004175491e-08	0.0125684151332153	556870.929217422	223582.010058617
9.08017355220112e-08	0.0134535288094722	574348.875880662	216055.906330766
9.70633016429694e-08	0.0143762684109143	593217.167810341	208479.400157946
1.03593932898425e-07	0.0153379719975864	613611.072468047	200865.509470586
1.10403544493356e-07	0.0163400113488013	635681.785206516	193227.856721693
1.17502337417614e-07	0.0173837920556065	659598.588992792	185580.61262445
1.24900803062315e-07	0.0184707535618689	685551.413067872	177938.431277698
1.32609727745455e-07	0.0196023691505307	713753.723473839	170316.37677327
1.40640197137427e-07	0.0207801458715227	744445.917612888	162729.841519401
1.49003600576674e-07	0.0220056244076723	777899.250794084	155194.456665619
1.5771163526564e-07	0.0232803788748737	814420.435447859	147725.995174663
1.66776310336782e-07	0.0246060165526527	854356.989634758	140340.268253017
1.76209950778339e-07	0.0259841775411844	898103.528109968	133053.016020837
1.86025201209182e-07	0.0274165343407045	946109.033856843	125879.793470273
1.96235029491986e-07	0.0289047913491728	998885.544226958	118835.852924513
2.06852730173672e-07	0.0304506842739511	1057018.33063289	111936.024363678
2.17891927741934e-07	0.0320559794531792	1121177.85532396	105194.595122938
2.29366579686445e-07	0.033722473082443	1192134.01754613	98625.1905881489
2.41290979353221e-07	0.0354519903422681	1270772.97748156	92240.657609602
2.53679758580406e-07	0.0372463844218941	1358117.3427435	86052.9524203491
2.66547890103673e-07	0.0391075354347317	1455349.89921104	80073.0348775603
2.79910689719234e-07	0.041037349220854	1563842.48695609	74310.770839085
2.93783818192436e-07	0.0430377560318262	1685190.02271175	68774.8444402418
3.08183282899734e-07	0.0451107090931479	1821251.93052187	63472.6819449348
3.2312543919183e-07	0.0472581830395608	1974201.90915305	58410.3887097597
3.38626991465696e-07	0.0494821722184638	2146587.98255925	53592.7006201204
3.54704993933107e-07	0.0517846888566711	2341405.3168469	49022.9511349349
3.71376851073405e-07	0.0541677610857739	2562185.2141999	44703.0548149902
3.88660317758096e-07	0.0566334308213807	2813102.53844855	40633.5079137439
4.06573499035004e-07	0.0591837514915587	3099108.51902551	36813.4062856468
4.251348495597e-07	0.0618207856098698	3426092.9004745	33240.4805223964
4.44363172662013e-07	0.0645466021884274	3801082.98530116	29911.1478728721
4.64277619035532e-07	0.0673632739865385	4232490.52934585	26820.5801457862
4.8489768503811e-07	0.0702728745905725	4730416.74339514	23962.7864481742
5.06243210591526e-07	0.0732774753208287	5307031.3484211	21330.7092869426
5.28334376668665e-07	0.0763791419613375	5977044.91277652	18916.3322667806
5.51191702356702e-07	0.079579931308666	6758299.11455859	16710.7973653064
5.74836041485085e-07	0.0828818875360229	7672509.49878906	14704.5295646428
5.99288578807283e-07	0.0862870383691395	8746197.3721113	12887.3664752274
6.2457082572558e-07	0.0897973910706403	10011868.5710485	11248.6905077223
6.50704615548521e-07	0.0934149282298986	11509511.105949	9777.56113609265
6.7771209827089e-07	0.0971416033556093	13288491.7822048	8462.84484996009
7.05615734866513e-07	0.100979336268647	15409987.8956628	7293.34051482144
7.34438291084568e-07	0.104930008293114	17950096.2748172	6257.89804141787
7.64202830740457e-07	0.108995457243806	21003831.1190112	5345.52850239028
7.94932708492795e-07	0.113177472208732	24690289.8456362	4545.50411742273
8.2665156209855e-07	0.117477788125744	29159337.336214	3847.44684607388
8.59383304138806e-07	0.121898080152725	34600298.8722857	3241.40466902468
8.93152113208286e-07	0.126439957831302	41253312.8492139	2717.91499027608
9.27982424562175e-07	0.131104959044516	49424186.6010936	2268.0549431055
9.63898920214557e-07	0.135894543769387	59503944.1457883	1883.47871826264
1.00092651848324e-06	0.140810087625886	71994622.5623839	1556.4423433252
1.03909036297655e-06	0.145852875224407	87543445.6226452	1279.81661801879
1.07841581101817e-06	0.151024093314382	106988293.543845	1047.08914310126
1.11892842150705e-06	0.156324823737389	131418336.624224	852.356565882714
1.16065394220993e-06	0.161756036188698	162255425.2881	690.308299679421
1.20361829648488e-06	0.167318580791886	201363415.70725	556.203057344335
1.24784756943508e-06	0.173013180491922	251195903.343319	445.83957178946
1.29336799349282e-06	0.178840423272764	314996427.961795	355.522863113658
1.34020593343452e-06	0.184800754206336	397070766.017011	282.027357178049
1.38838787082855e-06	0.190894467340491	503158870.576554	222.558071606763
1.43794038791832e-06	0.19712169743438	640944512.137561	174.710968840428
1.48889015094427e-06	0.203482411550467	820756246.923019	136.433440219914
1.54126389290908e-06	0.20997640051324	1056534977.67482	105.985737387784
1.59508839579139e-06	0.21660327024556	1367174257.1702	81.9040152235679
1.65039047221459e-06	0.22336243299441	1778383549.64597	62.9655000897008
1.70719694657769e-06	0.230253098458718	2325285368.381	48.1561541042706
1.76553463565681e-06	0.237274264832794	3056050669.40747	36.6410746013308
1.8254303286864e-06	0.244424709779813	4037000381.42497	27.7377513974768
1.88691076693063e-06	0.251702981350705	5359786620.8433	20.8922044527082
1.95000262275624e-06	0.259107388864652	7151532870.72183	15.6579423839214
2.01473247821923e-06	0.266635993768361	9589189157.59449	11.6776176166903
2.08112680317883e-06	0.274286600492131	12919907730.0649	8.66720626119147
2.14921193295323e-06	0.282056747321635	17490043744.3163	6.40250830676607
2.21901404553247e-06	0.289943697305225	23786506813.3311	4.70774487825642
2.29055913836531e-06	0.297944429217436	32495865401.9463	3.44602180324686
2.36387300473738e-06	0.306055628600209	44588971949.3338	2.51143055487708
2.43898120975948e-06	0.314273678904217	61442329837.6743	1.82256657159998
2.5159090659857e-06	0.322594652753494	85012388431.5533	1.31725905178204
2.59468160868202e-06	0.331014303357362	118086153061.259	0.948323835004967
2.67532357076715e-06	0.339528056094511	164641775853.431	0.680170401620773
2.75785935744839e-06	0.348131000294819	230367687818.789	0.486114107084713
2.84231302057633e-06	0.35681788124539	323410112354.464	0.346264590319946
2.92870823274291e-06	0.365583092448068	455449230073.541	0.245880144425582
3.01706826114874e-06	0.3744206681567	643247607170.805	0.174095232150562
