Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363569.099107629	363568.288684041
2.12151739152832e-09	-0.000315879111228463	359153.713090741	367368.79280774
4.34707627935975e-09	-0.000647169718322662	354580.497828865	371404.764737543
6.68121450657862e-09	-0.000994535630749156	349847.895010294	375692.311139175
9.12863752259283e-09	-0.00135866432854945	344954.70197961	380248.84310751
1.16942230432444e-08	-0.00174026753730133	339900.104997767	385093.203328031
1.43830257664662e-08	-0.00214008180164245	334683.713106512	390245.807397507
1.72002821403399e-08	-0.00255886905619334	329305.592370005	395728.801883355
2.01514151801996e-08	-0.00299741719264568	323766.300233528	401566.240000753
2.32420393311509e-08	-0.00345654062169548	318066.919705217	407784.278981533
2.64779653721458e-08	-0.00393708082842362	312209.093031997	414411.39933079
2.9865205357556e-08	-0.00443990691964785	306195.054505862	421478.653177379
3.34099775918348e-08	-0.00496591616167138	300027.662002283	429019.940431461
3.71187116327228e-08	-0.00551603450678021	293710.426818744	437072.319895305
4.09980533181195e-08	-0.00609121710674075	287247.541349813	445676.361582467
4.50548698114988e-08	-0.00669244881145892	280643.90410603	454876.53956688
4.92962546604839e-08	-0.00732074465086548	273905.141558393	464721.680137896
5.37295328629467e-08	-0.007977150297999	267037.626269284	475265.466786537
5.83622659346949e-08	-0.00866274251115161	260048.490755586	486567.01136943
6.32022569725685e-08	-0.00937862955284723	252945.636521361	498691.501186272
6.82575557064784e-08	-0.0101259515833163	245737.73769718	511710.936723971
7.35364635336391e-08	-0.0109058810260227	238434.2387322	525704.973638496
7.90475385279966e-08	-0.0117196229026988	231045.345604347	540761.875254564
8.47996004175491e-08	-0.0125684151352306	223582.010044861	556979.607635247
9.08017355220112e-08	-0.0134535288116305	216055.906316802	574467.088828659
9.70633016429694e-08	-0.0143762684132215	208479.400143833	593345.621418824
1.03593932898425e-07	-0.0153379720000488	200865.509456385	613750.543205608
1.10403544493356e-07	-0.0163400113514256	193227.856707469	635833.114850376
1.17502337417614e-07	-0.0173837920583998	185580.61261027	659762.713240589
1.24900803062315e-07	-0.018470753564838	177938.431263624	685729.344740983
1.32609727745455e-07	-0.0196023691536831	170316.376759372	713946.569126522
1.40640197137427e-07	-0.0207801458748658	162729.841505741	744654.893372026
1.49003600576674e-07	-0.0220056244112142	155194.456652264	778125.702748339
1.5771163526564e-07	-0.0232803788786227	147725.995161676	814665.844967406
1.66776310336782e-07	-0.0246060165566171	140340.268240464	854622.994800911
1.76209950778339e-07	-0.0259841775453732	133053.016008777	898391.921940878
1.86025201209182e-07	-0.0274165343451267	125879.793458757	946421.813888687
1.96235029491986e-07	-0.0289047913538377	118835.852913596	999224.927922911
2.06852730173672e-07	-0.0304506842788683	111936.024353411	1057386.76453305
2.17891927741934e-07	-0.032055979458359	105194.595113363	1121578.07872851
2.29366579686445e-07	-0.0337224730878955	98625.1905793072	1192569.07826731
2.41290979353221e-07	-0.0354519903480041	92240.6576015215	1271246.30684803
2.53679758580406e-07	-0.0372463844279244	86052.952413061	1358632.73507546
2.66547890103673e-07	-0.0391075354410683	80073.0348710823	1455911.67648103
2.79910689719234e-07	-0.0410373492275085	74310.7708334277	1564455.40316454
2.93783818192436e-07	-0.0430377560388107	68774.8444354134	1685859.49899287
3.08183282899734e-07	-0.0451107091004747	63472.6819409291	1821984.1125297
3.2312543919183e-07	-0.0472581830472426	58410.3887065683	1975003.7373005
3.38626991465696e-07	-0.0494821722265142	53592.700617722	2147467.31033142
3.54704993933107e-07	-0.0517846888651043	49022.9511333132	2342371.14467121
3.71376851073405e-07	-0.0541677610946039	44703.0548141094	2563247.59579583
3.88660317758096e-07	-0.0566334308306208	40633.5079135799	2814273.13246269
4.06573499035004e-07	-0.0591837515012251	36813.4062861528	3100400.69942334
4.251348495597e-07	-0.0618207856199773	33240.4805235378	3427521.78024974
4.44363172662013e-07	-0.0645466021989917	29911.1478745994	3802666.17561606
4.64277619035532e-07	-0.0673632739975758	26820.5801480486	4234248.30714142
4.8489768503811e-07	-0.0702728746020985	23962.7864509194	4732372.48366037
5.06243210591526e-07	-0.0732774753328622	21330.709290115	5309212.06551013
5.28334376668665e-07	-0.0763791419738957	18916.3322703263	5979481.9244843
5.51191702356702e-07	-0.0795799313217668	16710.7973691663	6761029.35453184
5.74836041485085e-07	-0.0828818875496858	14704.5295687647	7675575.68364126
5.99288578807283e-07	-0.0862870383833824	12887.3664795622	8749649.67904145
6.2457082572558e-07	-0.0897973910854842	11248.6905122114	10015766.7766055
