Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	2.08964913019212e+17	6.32558298501287e-07
2.12151739152832e-09	4.43147742715077e-14	2.08964913019562e+17	6.32558298395707e-07
4.34707627935975e-09	9.08030445672406e-14	2.08964913019912e+17	6.32558298284815e-07
6.68121450657862e-09	1.39559780615909e-13	2.08964913020259e+17	6.32558298168368e-07
9.12863752259283e-09	1.90683249789117e-13	2.08964913020602e+17	6.32558298046112e-07
1.16942230432444e-08	2.44275944956688e-13	2.08964913020939e+17	6.32558297917786e-07
1.43830257664662e-08	3.00442937154125e-13	2.08964913021266e+17	6.32558297783116e-07
1.72002821403399e-08	3.59294770959769e-13	2.08964913021582e+17	6.32558297641819e-07
2.01514151801996e-08	4.20944157864453e-13	2.08964913021882e+17	6.32558297493602e-07
2.32420393311509e-08	4.85510222926392e-13	2.08964913022164e+17	6.32558297338159e-07
2.64779653721458e-08	5.53113788668448e-13	2.08964913022424e+17	6.32558297175176e-07
2.9865205357556e-08	6.23881616389742e-13	2.08964913022657e+17	6.32558297004322e-07
3.34099775918348e-08	6.97943395711712e-13	2.0896491302286e+17	6.32558296825262e-07
3.71187116327228e-08	7.75434625732526e-13	2.08964913023026e+17	6.32558296637643e-07
4.09980533181195e-08	8.56496297091602e-13	2.0896491302315e+17	6.32558296441103e-07
4.50548698114988e-08	9.41269983298217e-13	2.08964913023227e+17	6.32558296235269e-07
4.92962546604839e-08	1.02990608915128e-12	2.0896491302325e+17	6.32558296019755e-07
5.37295328629467e-08	1.12255840118354e-12	2.08964913023212e+17	6.32558295794162e-07
5.83622659346949e-08	1.2193862003892e-12	2.08964913023104e+17	6.32558295558081e-07
6.32022569725685e-08	1.32055256696099e-12	2.08964913022919e+17	6.32558295311092e-07
6.82575557064784e-08	1.42622630766894e-12	2.08964913022648e+17	6.32558295052763e-07
7.35364635336391e-08	1.53658225480798e-12	2.0896491302228e+17	6.32558294782649e-07
7.90475385279966e-08	1.65179956386382e-12	2.08964913021806e+17	6.32558294500298e-07
8.47996004175491e-08	1.77205972373301e-12	2.08964913021215e+17	6.32558294205245e-07
9.08017355220112e-08	1.89755567432655e-12	2.08964913020493e+17	6.32558293897018e-07
9.70633016429694e-08	2.02847955968206e-12	2.08964913019629e+17	6.32558293575136e-07
1.03593932898425e-07	2.165029280647e-12	2.08964913018609e+17	6.32558293239108e-07
1.10403544493356e-07	2.30741254859135e-12	2.08964913017419e+17	6.32558292888441e-07
1.17502337417614e-07	2.4558330260085e-12	2.08964913016042e+17	6.32558292522633e-07
1.24900803062315e-07	2.61050334536155e-12	2.08964913014463e+17	6.32558292141181e-07
1.32609727745455e-07	2.77164365870825e-12	2.08964913012665e+17	6.32558291743579e-07
1.40640197137427e-07	2.93947323454501e-12	2.08964913010628e+17	6.32558291329321e-07
1.49003600576674e-07	3.11421442190246e-12	2.08964913008335e+17	6.32558290897904e-07
1.5771163526564e-07	3.29609296274796e-12	2.08964913005765e+17	6.3255829044883e-07
1.66776310336782e-07	3.48533338370481e-12	2.08964913002897e+17	6.3255828998161e-07
1.76209950778339e-07	3.68216511422564e-12	2.08964912999709e+17	6.32558289495765e-07
1.86025201209182e-07	3.88681100890483e-12	2.08964912996179e+17	6.3255828899083e-07
1.96235029491986e-07	4.09949851044723e-12	2.08964912992282e+17	6.32558288466362e-07
2.06852730173672e-07	4.32044471196533e-12	2.08964912987995e+17	6.3255828792194e-07
2.17891927741934e-07	4.54986885845311e-12	2.08964912983292e+17	6.32558287357171e-07
2.29366579686445e-07	4.78797530573181e-12	2.08964912978149e+17	6.32558286771697e-07
2.41290979353221e-07	5.03496284451903e-12	2.08964912972537e+17	6.32558286165201e-07
2.53679758580406e-07	5.29101597024891e-12	2.08964912966431e+17	6.32558285537414e-07
2.66547890103673e-07	5.55629605402214e-12	2.08964912959804e+17	6.32558284888121e-07
2.79910689719234e-07	5.83094725832916e-12	2.08964912952628e+17	6.32558284217171e-07
2.93783818192436e-07	6.11510168405666e-12	2.08964912944875e+17	6.32558283524487e-07
3.08183282899734e-07	6.40884084780939e-12	2.0896491293652e+17	6.32558282810073e-07
3.2312543919183e-07	6.71221898079389e-12	2.08964912927535e+17	6.3255828207403e-07
3.38626991465696e-07	7.0252478703208e-12	2.08964912917893e+17	6.32558281316565e-07
3.54704993933107e-07	7.34788742943356e-12	2.0896491290757e+17	6.32558280538003e-07
3.71376851073405e-07	7.68003865270227e-12	2.0896491289654e+17	6.32558279738809e-07
3.88660317758096e-07	8.02154323529918e-12	2.08964912884782e+17	6.32558278919596e-07
4.06573499035004e-07	8.3721431779251e-12	2.08964912872274e+17	6.32558278081147e-07
4.251348495597e-07	8.73150724101551e-12	2.08964912858996e+17	6.32558277224436e-07
4.44363172662013e-07	9.09919553929243e-12	2.08964912844932e+17	6.32558276350643e-07
4.64277619035532e-07	9.47465253694516e-12	2.08964912830067e+17	6.32558275461187e-07
4.8489768503811e-07	9.8571687885389e-12	2.08964912814391e+17	6.32558274557742e-07
5.06243210591526e-07	1.02459134268614e-11	2.08964912797896e+17	6.32558273642269e-07
5.28334376668665e-07	1.06398677002528e-11	2.08964912780579e+17	6.32558272717044e-07
5.51191702356702e-07	1.10378183910849e-11	2.08964912762441e+17	6.32558271784691e-07
5.74836041485085e-07	1.14383548981184e-11	2.08964912743487e+17	6.32558270848217e-07
5.99288578807283e-07	1.18398042454693e-11	2.08964912723729e+17	6.32558269911046e-07
6.2457082572558e-07	1.22402296399723e-11	2.08964912703185e+17	6.3255826897706e-07
6.50704615548521e-07	1.26374133724705e-11	2.08964912681876e+17	6.32558268050645e-07
6.7771209827089e-07	1.30288070167015e-11	2.08964912659834e+17	6.32558267136728e-07
7.05615734866513e-07	1.34114967239829e-11	2.08964912637095e+17	6.32558266240828e-07
7.34438291084568e-07	1.37821897068485e-11	2.08964912613704e+17	6.32558265369104e-07
7.64202830740457e-07	1.41371457497006e-11	2.08964912589714e+17	6.32558264528405e-07
7.94932708492795e-07	1.44721671891737e-11	2.08964912565186e+17	6.32558263726324e-07
8.2665156209855e-07	1.47825557146937e-11	2.08964912540188e+17	6.32558262971245e-07
8.59383304138806e-07	1.50630762972536e-11	2.08964912514801e+17	6.325582622724e-07
8.93152113208286e-07	1.53078842231854e-11	2.0896491248911e+17	6.32558261639916e-07
