Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	3.31747052066848	2.08964913019216e+17
2.12151739152832e-09	1.03402618646695e-17	3.31745049029916	2.08964913019216e+17
4.34707627935975e-09	2.11876184495965e-17	3.31742947761897	2.08964913019216e+17
6.68121450657862e-09	3.25641855169511e-17	3.31740743978373	2.08964913019215e+17
9.12863752259283e-09	4.44928981867005e-17	3.3173843323668	2.08964913019215e+17
1.16942230432444e-08	5.699753054395e-17	3.31736010931509	2.08964913019215e+17
1.43830257664662e-08	7.01027187728049e-17	3.3173347229045	2.08964913019215e+17
1.72002821403399e-08	8.38339890376681e-17	3.31730812369496	2.08964913019215e+17
2.01514151801996e-08	9.82177771814542e-17	3.31728026048492	2.08964913019215e+17
2.32420393311509e-08	1.13282216699339e-16	3.31725108026542	2.08964913019214e+17
2.64779653721458e-08	1.29056544124961e-16	3.31722052817381	2.08964913019214e+17
2.9865205357556e-08	1.45570304314927e-16	3.31718854744711	2.08964913019214e+17
3.34099775918348e-08	1.62854065371444e-16	3.31715507937502	2.08964913019214e+17
3.71187116327228e-08	1.8093944390212e-16	3.31712006325268	2.08964913019214e+17
4.09980533181195e-08	1.99859147953926e-16	3.3170834363332	2.08964913019214e+17
4.50548698114988e-08	2.19646997469524e-16	3.31704513378007	2.08964913019213e+17
4.92962546604839e-08	2.40337953095788e-16	3.31700508861933	2.08964913019213e+17
5.37295328629467e-08	2.61968144891652e-16	3.31696323169182	2.08964913019213e+17
5.83622659346949e-08	2.84576618937202e-16	3.31691949160524	2.08964913019213e+17
6.32022569725685e-08	3.08203946839703e-16	3.31687379468644	2.08964913019212e+17
6.82575557064784e-08	3.3289040007154e-16	3.31682606493364	2.08964913019212e+17
7.35364635336391e-08	3.58677581819405e-16	3.31677622396896	2.08964913019212e+17
7.90475385279966e-08	3.85608462129129e-16	3.31672419099106	2.08964913019211e+17
8.47996004175491e-08	4.13727394956116e-16	3.31666988272829	2.08964913019211e+17
9.08017355220112e-08	4.43080173710572e-16	3.31661321339184	2.08964913019211e+17
9.70633016429694e-08	4.73717229384616e-16	3.31655409462977	2.0896491301921e+17
1.03593932898425e-07	5.05691008831955e-16	3.31649243548127	2.0896491301921e+17
1.10403544493356e-07	5.39052627561818e-16	3.31642814233162	2.0896491301921e+17
1.17502337417614e-07	5.73854868268581e-16	3.31636111886787	2.08964913019209e+17
1.24900803062315e-07	6.10152232570914e-16	3.31629126603523	2.08964913019209e+17
1.32609727745455e-07	6.48005712539981e-16	3.3162184819944	2.08964913019208e+17
