Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	1.74353231330593e-14	3.02071711165256e+16
2.27986488733322e-09	3.42716211546249e-10	1.74340413529069e-14	3.02071707160726e+16
4.78638710893473e-09	7.19505382829883e-10	1.74326321419859e-14	3.02071702758064e+16
7.53943637653096e-09	1.13335618581383e-09	1.7431084329177e-14	3.02071697922349e+16
1.05603366094998e-08	1.58747687543499e-09	1.74293859257719e-14	3.02071692616092e+16
1.38719433424862e-08	2.08530731422744e-09	1.74275240819506e-14	3.02071686799102e+16
1.74987224573138e-08	2.63053132492346e-09	1.74254850425133e-14	3.02071680428333e+16
2.14668299687519e-08	3.22708936809251e-09	1.74232541020186e-14	3.02071673457742e+16
2.58041925613601e-08	3.87919154688522e-09	1.7420815559498e-14	3.02071665838136e+16
3.05405885411803e-08	4.59133094814702e-09	1.7418152672935e-14	3.02071657517014e+16
3.5707728831983e-08	5.36829733900574e-09	1.74152476137176e-14	3.02071648438409e+16
4.13393376110172e-08	6.2151912511342e-09	1.74120814212892e-14	3.02071638542725e+16
4.74712321441638e-08	7.13743850196638e-09	1.74086339582476e-14	3.0207162776656e+16
5.41414013452507e-08	8.1408052238736e-09	1.74048838661544e-14	3.02071616042542e+16
6.13900825492864e-08	9.23141349968878e-09	1.74008085223452e-14	3.02071603299134e+16
6.92598359549032e-08	1.04157577371121e-08	1.73963839980406e-14	3.02071589460452e+16
7.77956161575683e-08	1.17007219563437e-08	1.73915850180854e-14	3.02071574446059e+16
8.70448401626033e-08	1.3093598216325e-08	1.73863849226555e-14	3.02071558170749e+16
9.70574512359653e-08	1.4602106466921e-08	1.73807556312905e-14	3.02071540544318e+16
1.07885977921572e-07	1.62344161881365e-08	1.73746676096281e-14	3.02071521471307e+16
1.19585587527084e-07	1.79991702659468e-08	1.7368089839228e-14	3.02071500850729e+16
1.32214133355798e-07	1.99055116589804e-08	1.73609897908864e-14	3.0207147857575e+16
1.45832194941192e-07	2.19631135330954e-08	1.73533334018563e-14	3.02071454533344e+16
1.60503110523097e-07	2.41822136857024e-08	1.73450850573928e-14	3.02071428603885e+16
1.76293000990736e-07	2.65736542497237e-08	1.73362075770535e-14	3.02071400660688e+16
1.93270784508659e-07	2.91489278619999e-08	1.73266622061868e-14	3.02071370569465e+16
2.1150818103702e-07	3.19202317072144e-08	1.73164086130393e-14	3.02071338187697e+16
2.31079705958351e-07	3.49005311090525e-08	1.73054048919183e-14	3.02071303363888e+16
2.52062652029238e-07	3.81036346377819e-08	1.72936075728313e-14	3.02071265936693e+16
2.74537058887484e-07	4.15442830470117e-08	1.7280971638024e-14	3.0207122573387e+16
2.98585669363857e-07	4.52382547442661e-08	1.72674505458203e-14	3.02071182571055e+16
3.24293871872586e-07	4.92024909460433e-08	1.72529962621537e-14	3.02071136250298e+16
3.51749628186758e-07	5.34552441792039e-08	1.72375593001591e-14	3.02071086558326e+16
3.81043385943814e-07	5.80162543750304e-08	1.72210887681683e-14	3.02071033264486e+16
4.12267975272759e-07	6.2906957468267e-08	1.72035324264256e-14	3.02070976118308e+16
4.45518488988454e-07	6.81507321752574e-08	1.71848367528042e-14	3.02070914846623e+16
4.80892145859686e-07	7.37731915052659e-08	1.71649470177696e-14	3.02070849150155e+16
5.18488136526516e-07	7.9802526570429e-08	1.71438073687922e-14	3.02070778699504e+16
5.58407451718691e-07	8.62699114259274e-08	1.71213609243671e-14	3.02070703130415e+16
6.00752692510514e-07	9.32099790350936e-08	1.70975498777482e-14	3.02070622038219e+16
6.45627862438318e-07	1.00661380046379e-07	1.70723156104516e-14	3.02070534971303e+16
