Position  (cm)	V (V)	n (cm-3)	p (cm-3)
0	0	363569.099107629	363569.099107618
2.12151739152832e-09	-9.73784485509321e-30	363569.099107613	363569.099107596
4.34707627935975e-09	1.97023837017029e-30	363569.099107595	363569.099107573
6.68121450657862e-09	6.78930027701604e-30	363569.099107577	363569.099107551
9.12863752259283e-09	5.4146798162718e-30	363569.099107558	363569.099107529
1.16942230432444e-08	6.9182834165103e-30	363569.099107537	363569.099107509
1.43830257664662e-08	-5.51659762151634e-30	363569.099107516	363569.099107492
1.72002821403399e-08	-2.16028071113892e-29	363569.099107493	363569.09910748
2.01514151801996e-08	-2.14305567519881e-29	363569.09910747	363569.099107474
2.32420393311509e-08	-6.11102386178931e-30	363569.099107445	363569.099107476
2.64779653721458e-08	-2.62285176888806e-30	363569.099107419	363569.09910749
2.9865205357556e-08	-1.24033499537184e-30	363569.099107391	363569.099107519
3.34099775918348e-08	2.55505903484563e-30	363569.099107362	363569.099107566
3.71187116327228e-08	3.10137313769538e-30	363569.099107331	363569.099107636
4.09980533181195e-08	2.86405042029826e-30	363569.099107299	363569.099107734
4.50548698114988e-08	-7.33490419319879e-31	363569.099107266	363569.099107868
4.92962546604839e-08	-6.55899516685378e-31	363569.09910723	363569.099108044
5.37295328629467e-08	-2.20683164160098e-29	363569.099107193	363569.099108272
5.83622659346949e-08	-2.82393089214424e-29	363569.099107154	363569.099108561
6.32022569725685e-08	-2.67726891946672e-29	363569.099107112	363569.099108924
6.82575557064784e-08	-3.0285778006224e-29	363569.099107069	363569.099109375
7.35364635336391e-08	-2.89634826546563e-29	363569.099107023	363569.099109928
7.90475385279966e-08	-3.62994461093245e-29	363569.099106975	363569.099110604
8.47996004175491e-08	-6.08787418385777e-29	363569.099106924	363569.099111423
9.08017355220112e-08	-3.60044899383416e-29	363569.099106871	363569.09911241
9.70633016429694e-08	-5.54415527160809e-29	363569.099106815	363569.099113591
1.03593932898425e-07	-6.35098028838538e-29	363569.099106756	363569.099115001
1.10403544493356e-07	-5.60037798150962e-29	363569.099106694	363569.099116673
1.17502337417614e-07	-4.58956809467256e-29	363569.099106629	363569.099118651
1.24900803062315e-07	-4.0594029144065e-29	363569.099106561	363569.099120981
1.32609727745455e-07	-5.63183804715118e-29	363569.099106489	363569.099123718
1.40640197137427e-07	-8.67541884204036e-29	363569.099106413	363569.099126922
1.49003600576674e-07	-7.43673773900826e-29	363569.099106333	363569.099130661
1.5771163526564e-07	-4.72660763986543e-29	363569.099106249	363569.099135013
1.66776310336782e-07	-4.1910739298794e-29	363569.09910616	363569.099140064
1.76209950778339e-07	-4.08661148969583e-29	363569.099106067	363569.099145917
1.86025201209182e-07	-5.70110893242593e-29	363569.099105969	363569.099152679
1.96235029491986e-07	-5.75123125922861e-29	363569.099105866	363569.099160476
2.06852730173672e-07	-6.94387300694013e-29	363569.099105757	363569.09916945
2.17891927741934e-07	-5.31097330359141e-29	363569.099105642	363569.099179758
2.29366579686445e-07	-4.88760575356648e-29	363569.099105522	363569.099191577
