Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
0	2.9612e-11	-0.016918	-0.033836	-0.050755
0.013	2.9801e-11	-0.016918	-0.033836	-0.050755
0.026	3.0121e-11	-0.016918	-0.033836	-0.050754
0.039	3.0466e-11	-0.016918	-0.033836	-0.050754
0.052	3.0841e-11	-0.016918	-0.033836	-0.050754
0.065	3.1255e-11	-0.016918	-0.033836	-0.050754
0.078	3.1715e-11	-0.016918	-0.033836	-0.050754
0.091	3.2233e-11	-0.016918	-0.033836	-0.050754
0.104	3.2819e-11	-0.016918	-0.033836	-0.050754
0.117	3.3488e-11	-0.016918	-0.033836	-0.050754
0.13	3.4254e-11	-0.016918	-0.033836	-0.050754
0.143	3.5134e-11	-0.016918	-0.033836	-0.050754
0.156	3.6146e-11	-0.016918	-0.033836	-0.050753
0.169	3.731e-11	-0.016918	-0.033836	-0.050753
0.182	3.8647e-11	-0.016918	-0.033835	-0.050753
0.195	4.0184e-11	-0.016918	-0.033835	-0.050753
0.208	4.1948e-11	-0.016918	-0.033835	-0.050753
0.221	4.3975e-11	-0.016918	-0.033835	-0.050752
0.234	4.6307e-11	-0.016917	-0.033835	-0.050752
0.247	4.8996e-11	-0.016917	-0.033835	-0.050752
0.26	5.2107e-11	-0.016917	-0.033834	-0.050752
0.273	5.5721e-11	-0.016917	-0.033834	-0.050751
0.286	5.9939e-11	-0.016917	-0.033834	-0.050751
0.299	6.4887e-11	-0.016917	-0.033834	-0.050751
0.312	7.0724e-11	-0.016917	-0.033833	-0.05075
0.325	7.7653e-11	-0.016917	-0.033833	-0.05075
0.338	8.5933e-11	-0.016916	-0.033833	-0.050749
0.351	9.5897e-11	-0.016916	-0.033832	-0.050748
0.364	1.0798e-10	-0.016916	-0.033832	-0.050748
0.377	1.2276e-10	-0.016916	-0.033831	-0.050747
0.39	1.4098e-10	-0.016915	-0.033831	-0.050746
0.403	1.6367e-10	-0.016915	-0.03383	-0.050745
0.416	1.922e-10	-0.016915	-0.03383	-0.050744
0.429	2.2845e-10	-0.016914	-0.033829	-0.050743
0.442	2.7499e-10	-0.016914	-0.033828	-0.050742
0.455	3.3542e-10	-0.016914	-0.033827	-0.050741
0.468	4.1475e-10	-0.016913	-0.033826	-0.050739
0.481	5.2007e-10	-0.016912	-0.033825	-0.050737
0.494	6.6145e-10	-0.016912	-0.033824	-0.050735
0.507	8.5321e-10	-0.016911	-0.033822	-0.050733
0.52	1.1161e-09	-0.01691	-0.033821	-0.050731
0.533	1.4801e-09	-0.016909	-0.033819	-0.050728
0.546	1.9885e-09	-0.016908	-0.033817	-0.050725
0.559	2.7049e-09	-0.016907	-0.033815	-0.050722
0.572	3.7224e-09	-0.016906	-0.033813	-0.050719
0.585	5.1785e-09	-0.016904	-0.03381	-0.050715
0.598	7.2724e-09	-0.016903	-0.033807	-0.05071
0.611	1.0302e-08	-0.016901	-0.033803	-0.050705
0.624	1.4705e-08	-0.016899	-0.0338	-0.050699
0.637	2.1117e-08	-0.016897	-0.033795	-0.050693
0.65	3.0472e-08	-0.016894	-0.03379	-0.050686
0.663	4.4115e-08	-0.016891	-0.033785	-0.050678
0.676	6.3949e-08	-0.016887	-0.033779	-0.050669
0.689	9.2585e-08	-0.016883	-0.033771	-0.050659
0.702	1.3354e-07	-0.016879	-0.033764	-0.050648
0.715	1.9137e-07	-0.016873	-0.033755	-0.050636
