Voltage	Current, 0 suns
0	-1.0727e-09
0.012	3.2451e-09
0.024	1.0056e-08
0.036	2.0798e-08
0.048	3.7787e-08
0.06	6.4654e-08
0.072	1.0717e-07
0.084	1.7439e-07
0.096	2.8074e-07
0.108	4.4888e-07
0.12	7.1481e-07
0.132	1.1346e-06
0.144	1.7974e-06
0.156	2.8438e-06
0.168	4.4956e-06
0.18	7.0976e-06
0.192	1.1204e-05
0.204	1.7664e-05
0.216	2.7834e-05
0.228	4.3835e-05
0.24	6.8982e-05
0.252	0.0001085
0.264	0.00017052
0.276	0.00026785
0.288	0.0004204
0.3	0.00065937
0.312	0.0010333
0.324	0.0016179
0.336	0.0025311
0.348	0.003956
0.36	0.0061772
0.372	0.009634
0.384	0.015007
0.396	0.023345
0.408	0.036262
0.42	0.056225
0.432	0.087
0.444	0.13429
0.456	0.20665
0.468	0.31683
0.48	0.48345
0.492	0.73321
0.504	1.1033
0.516	1.6435
0.528	2.4168
0.54	3.4976
0.552	4.9659
0.564	6.8991
0.576	9.3576
0.588	12.3799
0.6	15.9789
0.612	20.1382
0.624	24.8307
0.636	30.0085
0.648	35.6246
0.66	41.6433
0.672	48.0104
0.684	54.6868
0.696	61.6425
0.708	68.8405
0.72	76.2515
0.732	83.8592
0.744	91.6365
0.756	99.5628
0.768	107.6306
0.78	115.8252
0.792	124.1338
0.804	132.544
0.816	141.0452
0.828	149.6337
0.84	158.3001
0.852	167.0392
0.864	175.8441
0.876	184.7109
0.888	193.634
0.9	202.6104
0.912	211.6358
0.924	220.7074
0.936	229.8213
0.948	238.9758
0.96	248.1672
0.972	257.3939
0.984	266.6539
0.996	275.9449
1.008	285.2654
1.02	294.6133
1.032	303.9879
1.044	313.3872
1.056	322.8102
1.068	332.2555
1.08	341.7216
1.092	351.2082
1.104	360.7139
1.116	370.2377
1.128	379.7791
1.14	389.337
1.152	398.9107
1.164	408.4996
1.176	418.1029
1.188	427.72
1.2	437.2902
1.188	427.7202
1.176	418.103
1.164	408.4997
1.152	398.9108
1.14	389.3371
1.128	379.7792
1.116	370.2378
1.104	360.7139
1.092	351.2083
1.08	341.7217
1.068	332.2553
1.056	322.8102
1.044	313.3873
1.032	303.9878
1.02	294.6135
1.008	285.2652
0.996	275.9444
0.984	266.6536
0.972	257.3937
0.96	248.1664
0.948	238.975
0.936	229.8211
0.924	220.707
0.912	211.6357
0.9	202.6105
0.888	193.6342
0.876	184.7103
0.864	175.8433
0.852	167.0382
0.84	158.2992
0.828	149.6312
0.816	141.0432
0.804	132.5415
0.792	124.133
0.78	115.8262
0.768	107.6348
0.756	99.5674
0.744	91.6355
0.732	83.8539
0.72	76.2511
0.708	68.8385
0.696	61.641
0.684	54.6881
0.672	48.01
0.66	41.6426
0.648	35.6267
0.636	30.0055
0.624	24.8268
0.612	20.1369
0.6	15.9772
0.588	12.3798
0.576	9.3576
0.564	6.8988
0.552	4.9656
0.54	3.4969
0.528	2.4164
0.516	1.6433
0.504	1.1033
0.492	0.73324
0.48	0.48335
0.468	0.31676
0.456	0.20665
0.444	0.13428
0.432	0.086988
0.42	0.056226
0.408	0.03626
0.396	0.023344
0.384	0.015007
0.372	0.0096332
0.36	0.006177
0.348	0.0039563
0.336	0.002531
0.324	0.0016179
0.312	0.0010332
0.3	0.00065924
0.288	0.00042037
0.276	0.00026783
0.264	0.00017051
0.252	0.00010849
0.24	6.8988e-05
0.228	4.3828e-05
0.216	2.7833e-05
