Voltage	Current, 0 suns
0	1.5224e-09
0.012	4.271e-09
0.024	6.0266e-09
0.036	7.1604e-09
0.048	7.9012e-09
0.06	8.3939e-09
0.072	8.7306e-09
0.084	8.9687e-09
0.096	9.1453e-09
0.108	9.282e-09
0.12	9.394e-09
0.132	9.4903e-09
0.144	9.5764e-09
0.156	9.6561e-09
0.168	9.7315e-09
0.18	9.804e-09
0.192	9.8746e-09
0.204	9.9437e-09
0.216	1.0012e-08
0.228	1.0079e-08
0.24	1.0146e-08
0.252	1.0212e-08
0.264	1.0277e-08
0.276	1.0343e-08
0.288	1.0407e-08
0.3	1.0471e-08
0.312	1.0535e-08
0.324	1.0599e-08
0.336	1.0662e-08
0.348	1.0724e-08
0.36	1.0787e-08
0.372	1.0849e-08
0.384	1.091e-08
0.396	1.0972e-08
0.408	1.1032e-08
0.42	1.1093e-08
0.432	1.1153e-08
0.444	1.1213e-08
0.456	1.1273e-08
0.468	1.1332e-08
0.48	1.1391e-08
0.492	1.145e-08
0.504	1.1508e-08
0.516	1.1566e-08
0.528	1.1624e-08
0.54	1.1681e-08
0.552	1.1739e-08
0.564	1.1795e-08
0.576	1.1852e-08
0.588	1.1909e-08
0.6	1.1965e-08
0.612	1.2021e-08
0.624	1.2076e-08
0.636	1.2131e-08
0.648	1.2187e-08
0.66	1.2241e-08
0.672	1.2296e-08
0.684	1.235e-08
0.696	1.2404e-08
0.708	1.2458e-08
0.72	1.2512e-08
0.732	1.2565e-08
0.744	1.2619e-08
0.756	1.2672e-08
0.768	1.2724e-08
0.78	1.2777e-08
0.792	1.2829e-08
0.804	1.2881e-08
0.816	1.2933e-08
0.828	1.2985e-08
0.84	1.3036e-08
0.852	1.3088e-08
0.864	1.3139e-08
0.876	1.319e-08
0.888	1.324e-08
0.9	1.3291e-08
0.912	1.3341e-08
0.924	1.3391e-08
0.936	1.3441e-08
0.948	1.3491e-08
0.96	1.354e-08
0.972	1.359e-08
0.984	1.3639e-08
0.996	1.3688e-08
1.008	1.3737e-08
1.02	1.3785e-08
1.032	1.3834e-08
1.044	1.3882e-08
1.056	1.393e-08
1.068	1.3978e-08
1.08	1.4026e-08
1.092	1.4074e-08
1.104	1.4121e-08
1.116	1.4169e-08
1.128	1.4216e-08
1.14	1.4263e-08
1.152	1.431e-08
1.164	1.4357e-08
1.176	1.4403e-08
1.188	1.445e-08
1.2	1.4361e-08
1.188	1.4179e-08
1.176	1.4132e-08
1.164	1.4084e-08
1.152	1.4037e-08
1.14	1.3989e-08
1.128	1.3941e-08
1.116	1.3893e-08
1.104	1.3845e-08
1.092	1.3796e-08
1.08	1.3748e-08
1.068	1.3699e-08
1.056	1.365e-08
1.044	1.3601e-08
1.032	1.3551e-08
1.02	1.3502e-08
1.008	1.3452e-08
0.996	1.3402e-08
0.984	1.3352e-08
0.972	1.3302e-08
0.96	1.3252e-08
0.948	1.3201e-08
0.936	1.315e-08
0.924	1.3099e-08
0.912	1.3048e-08
0.9	1.2996e-08
0.888	1.2945e-08
0.876	1.2893e-08
0.864	1.2841e-08
0.852	1.2789e-08
0.84	1.2736e-08
0.828	1.2684e-08
0.816	1.2631e-08
0.804	1.2578e-08
0.792	1.2524e-08
0.78	1.2471e-08
0.768	1.2417e-08
0.756	1.2363e-08
0.744	1.2309e-08
0.732	1.2254e-08
0.72	1.2199e-08
0.708	1.2144e-08
0.696	1.2089e-08
0.684	1.2034e-08
0.672	1.1978e-08
0.66	1.1922e-08
0.648	1.1865e-08
0.636	1.1809e-08
0.624	1.1752e-08
0.612	1.1695e-08
0.6	1.1638e-08
0.588	1.158e-08
0.576	1.1522e-08
0.564	1.1464e-08
0.552	1.1405e-08
0.54	1.1346e-08
0.528	1.1287e-08
0.516	1.1228e-08
0.504	1.1168e-08
0.492	1.1108e-08
0.48	1.1047e-08
0.468	1.0987e-08
0.456	1.0925e-08
0.444	1.0864e-08
0.432	1.0802e-08
0.42	1.074e-08
0.408	1.0677e-08
0.396	1.0615e-08
0.384	1.0551e-08
0.372	1.0488e-08
0.36	1.0424e-08
0.348	1.0359e-08
0.336	1.0294e-08
0.324	1.0229e-08
0.312	1.0163e-08
0.3	1.0097e-08
0.288	1.0031e-08
0.276	9.9638e-09
0.264	9.8963e-09
0.252	9.8283e-09
0.24	9.7597e-09
0.228	9.6905e-09
0.216	9.6205e-09
0.204	9.5497e-09
0.192	9.4778e-09
0.18	9.4045e-09
0.168	9.3291e-09
0.156	9.2509e-09
0.144	9.1683e-09
0.132	9.0791e-09
0.12	8.9797e-09
0.108	8.8645e-09
0.096	8.7242e-09
0.084	8.5449e-09
0.072	8.3034e-09
0.06	7.9633e-09
0.048	7.4668e-09
0.036	6.7224e-09
0.024	5.5856e-09
0.012	3.8256e-09
0	1.0761e-09
-0.012	-3.2455e-09
-0.024	-1.0055e-08
-0.036	-2.0795e-08
-0.048	-3.7797e-08
-0.06	-6.4659e-08
-0.072	-1.0718e-07
-0.084	-1.7443e-07
-0.096	-2.8076e-07
-0.108	-4.4892e-07
-0.12	-7.1466e-07
-0.132	-1.1345e-06
-0.144	-1.7979e-06
-0.156	-2.8439e-06
-0.168	-4.495e-06
-0.18	-7.0985e-06
-0.192	-1.1202e-05
-0.204	-1.7663e-05
-0.216	-2.7833e-05
-0.228	-4.3831e-05
-0.24	-6.8987e-05
-0.252	-0.00010851
-0.264	-0.00017054
-0.276	-0.00026786
-0.288	-0.00042044
-0.3	-0.00065937
-0.312	-0.0010333
-0.324	-0.0016179
-0.336	-0.002531
-0.348	-0.0039558
-0.36	-0.0061769
-0.372	-0.0096338
-0.384	-0.015008
-0.396	-0.023348
-0.408	-0.036265
-0.42	-0.05623
-0.432	-0.087004
-0.444	-0.13429
-0.456	-0.20666
-0.468	-0.31683
-0.48	-0.48343
-0.492	-0.73321
-0.504	-1.1033
-0.516	-1.644
-0.528	-2.4178
-0.54	-3.4979
-0.552	-4.9652
-0.564	-6.8997
-0.576	-9.358
-0.588	-12.3825
-0.6	-15.9786
-0.612	-20.1363
-0.624	-24.8285
-0.636	-30.0059
-0.648	-35.6288
-0.66	-41.6442
-0.672	-48.0077
-0.684	-54.6853
-0.696	-61.6469
-0.708	-68.839
-0.72	-76.2497
-0.732	-83.8567
-0.744	-91.6328
-0.756	-99.5637
-0.768	-107.6326
-0.78	-115.8265
-0.792	-124.134
-0.804	-132.542
-0.816	-141.0451
-0.828	-149.6324
-0.84	-158.2995
-0.852	-167.0378
-0.864	-175.8438
-0.876	-184.7108
-0.888	-193.6348
-0.9	-202.6105
-0.912	-211.6366
-0.924	-220.7077
-0.936	-229.8212
-0.948	-238.9754
-0.96	-248.1665
-0.972	-257.3934
-0.984	-266.6533
-0.996	-275.9441
-1.008	-285.2648
-1.02	-294.6129
-1.032	-303.9874
-1.044	-313.3868
-1.056	-322.8094
-1.068	-332.255
-1.08	-341.7217
-1.092	-351.2081
-1.104	-360.7141
-1.116	-370.2382
-1.128	-379.7791
-1.14	-389.3371
-1.152	-398.9109
-1.164	-408.4996
-1.176	-418.1029
-1.188	-427.7202
-1.2	-437.3132
-1.188	-427.7202
-1.176	-418.103
-1.164	-408.4997
-1.152	-398.9108
-1.14	-389.3371
-1.128	-379.7792
