Voltage	Current, 0 suns
0	5.0893e-11
0.012	10.044
0.024	20.0879
0.036	30.1319
0.048	40.1758
0.06	50.2198
0.072	60.2638
0.084	70.3077
0.096	80.3517
0.108	90.3956
0.12	100.4396
0.132	110.4836
0.144	120.5275
0.156	130.5715
0.168	140.6154
0.18	150.6594
0.192	160.7034
0.204	170.7473
0.216	180.7913
0.228	190.8352
0.24	200.8792
0.252	210.9232
0.264	220.9671
0.276	231.0111
0.288	241.055
0.3	251.099
0.312	261.1429
0.324	271.1869
0.336	281.2309
0.348	291.2748
0.36	301.3188
0.372	311.3627
0.384	321.4067
0.396	331.4507
0.408	341.4946
0.42	351.5386
0.432	361.5825
0.444	371.6265
0.456	381.6705
0.468	391.7144
0.48	401.7584
0.492	411.8023
0.504	421.8463
0.516	431.8903
0.528	441.9342
0.54	451.9782
0.552	462.0221
0.564	472.0661
0.576	482.1101
0.588	492.154
0.6	502.198
0.612	512.2419
0.624	522.2859
0.636	532.3298
0.648	542.3738
0.66	552.4178
0.672	562.4617
0.684	572.5057
0.696	582.5496
0.708	592.5936
0.72	602.6376
0.732	612.6815
0.744	622.7255
0.756	632.7694
0.768	642.8134
0.78	652.8573
0.792	662.9013
0.804	672.9453
0.816	682.9892
0.828	693.0332
0.84	703.0771
0.852	713.1211
0.864	723.165
0.876	733.209
0.888	743.253
0.9	753.2969
0.912	763.3409
0.924	773.3848
0.936	783.4288
0.948	793.4727
0.96	803.5167
0.972	813.5607
0.984	823.6046
0.996	833.6486
1.008	843.6925
1.02	853.7365
1.032	863.7804
1.044	873.8244
1.056	883.8684
1.068	893.9123
1.08	903.9563
1.092	914.0002
1.104	924.0442
1.116	934.0881
1.128	944.1321
1.14	954.176
1.152	964.22
1.164	974.264
1.176	984.3079
1.188	994.3519
1.2	1003.6435
1.188	994.3519
1.176	984.3079
1.164	974.264
1.152	964.22
1.14	954.176
1.128	944.1321
1.116	934.0881
1.104	924.0442
1.092	914.0002
1.08	903.9563
1.068	893.9123
1.056	883.8684
1.044	873.8244
1.032	863.7804
1.02	853.7365
1.008	843.6925
0.996	833.6486
0.984	823.6046
0.972	813.5607
0.96	803.5167
0.948	793.4727
0.936	783.4288
0.924	773.3848
0.912	763.3409
0.9	753.2969
0.888	743.253
0.876	733.209
0.864	723.165
0.852	713.1211
0.84	703.0771
0.828	693.0332
0.816	682.9892
0.804	672.9453
0.792	662.9013
0.78	652.8573
0.768	642.8134
0.756	632.7694
0.744	622.7255
0.732	612.6815
0.72	602.6375
0.708	592.5936
0.696	582.5496
0.684	572.5057
0.672	562.4617
0.66	552.4178
0.648	542.3738
0.636	532.3298
0.624	522.2859
0.612	512.2419
0.6	502.198
0.588	492.154
0.576	482.11
0.564	472.0661
0.552	462.0221
0.54	451.9782
0.528	441.9342
0.516	431.8902
0.504	421.8463
0.492	411.8023
0.48	401.7584
0.468	391.7144
0.456	381.6705
0.444	371.6265
0.432	361.5825
0.42	351.5386
0.408	341.4946
0.396	331.4507
0.384	321.4067
0.372	311.3627
0.36	301.3188
0.348	291.2748
0.336	281.2309
0.324	271.1869
0.312	261.1429
0.3	251.099
0.288	241.055
0.276	231.0111
0.264	220.9671
0.252	210.9231
0.24	200.8792
0.228	190.8352
0.216	180.7913
0.204	170.7473
0.192	160.7034
0.18	150.6594
0.168	140.6154
0.156	130.5715
0.144	120.5275
0.132	110.4836
0.12	100.4396
0.108	90.3956
0.096	80.3517
0.084	70.3077
0.072	60.2638
0.06	50.2198
0.048	40.1758
0.036	30.1319
0.024	20.0879
0.012	10.044
0	-9.1773e-06
-0.012	-10.044
-0.024	-20.0879
-0.036	-30.1319
-0.048	-40.1759
-0.06	-50.2198
-0.072	-60.2638
-0.084	-70.3077
-0.096	-80.3517
-0.108	-90.3957
-0.12	-100.4396
-0.132	-110.4836
-0.144	-120.5275
-0.156	-130.5715
-0.168	-140.6155
-0.18	-150.6594
-0.192	-160.7034
-0.204	-170.7473
-0.216	-180.7913
-0.228	-190.8353
-0.24	-200.8792
-0.252	-210.9232
-0.264	-220.9671
-0.276	-231.0111
-0.288	-241.0551
-0.3	-251.099
-0.312	-261.143
-0.324	-271.1869
-0.336	-281.2309
-0.348	-291.2749
-0.36	-301.3188
-0.372	-311.3628
-0.384	-321.4067
-0.396	-331.4507
-0.408	-341.4947
-0.42	-351.5386
-0.432	-361.5826
-0.444	-371.6265
-0.456	-381.6705
-0.468	-391.7145
-0.48	-401.7584
-0.492	-411.8024
-0.504	-421.8463
-0.516	-431.8903
-0.528	-441.9343
-0.54	-451.9782
-0.552	-462.0222
-0.564	-472.0661
-0.576	-482.1101
-0.588	-492.154
-0.6	-502.198
-0.612	-512.242
-0.624	-522.2859
-0.636	-532.3299
-0.648	-542.3738
-0.66	-552.4178
-0.672	-562.4618
-0.684	-572.5057
-0.696	-582.5497
-0.708	-592.5936
-0.72	-602.6376
-0.732	-612.6816
-0.744	-622.7255
-0.756	-632.7695
-0.768	-642.8134
-0.78	-652.8574
-0.792	-662.9014
-0.804	-672.9453
-0.816	-682.9893
-0.828	-693.0332
-0.84	-703.0772
-0.852	-713.1211
-0.864	-723.1651
-0.876	-733.209
-0.888	-743.253
-0.9	-753.2969
-0.912	-763.3409
-0.924	-773.3848
-0.936	-783.4288
-0.948	-793.4727
-0.96	-803.5167
-0.972	-813.5607
-0.984	-823.6046
-0.996	-833.6486
-1.008	-843.6925
-1.02	-853.7365
-1.032	-863.7804
-1.044	-873.8244
-1.056	-883.8684
-1.068	-893.9123
-1.08	-903.9563
-1.092	-914.0002
-1.104	-924.0442
-1.116	-934.0881
-1.128	-944.1321
-1.14	-954.176
-1.152	-964.22
-1.164	-974.264
-1.176	-984.3079
-1.188	-994.3519
-1.2	-1002.1912
-1.188	-994.3519
-1.176	-984.3079
-1.164	-974.264
-1.152	-964.22
-1.14	-954.176
-1.128	-944.1321
-1.116	-934.0881
-1.104	-924.0442
-1.092	-914.0002
-1.08	-903.9563
-1.068	-893.9123
