Voltage	Current, 0 suns
0	5.0893e-11
0.012	8.5843e-11
0.024	1.2079e-10
0.036	1.5574e-10
0.048	1.9069e-10
0.06	2.2564e-10
0.072	2.6059e-10
0.084	2.9554e-10
0.096	3.3049e-10
0.108	3.6544e-10
0.12	4.0039e-10
0.132	4.3534e-10
0.144	4.7029e-10
0.156	5.0524e-10
0.168	5.4019e-10
0.18	5.7514e-10
0.192	6.1009e-10
0.204	6.4504e-10
0.216	6.7999e-10
0.228	7.1494e-10
0.24	7.4989e-10
0.252	7.8484e-10
0.264	8.198e-10
0.276	8.5475e-10
0.288	8.897e-10
0.3	9.2465e-10
0.312	9.596e-10
0.324	9.9455e-10
0.336	1.0295e-09
0.348	1.0644e-09
0.36	1.0994e-09
0.372	1.1343e-09
0.384	1.1693e-09
0.396	1.2042e-09
0.408	1.2392e-09
0.42	1.2741e-09
0.432	1.3091e-09
0.444	1.344e-09
0.456	1.379e-09
0.468	1.4139e-09
0.48	1.4489e-09
0.492	1.4838e-09
0.504	1.5188e-09
0.516	1.5537e-09
0.528	1.5887e-09
0.54	1.6236e-09
0.552	1.6586e-09
0.564	1.6935e-09
0.576	1.7285e-09
0.588	1.7634e-09
0.6	1.7984e-09
0.612	1.8333e-09
0.624	1.8683e-09
0.636	1.9032e-09
0.648	1.9382e-09
0.66	1.9731e-09
0.672	2.0081e-09
0.684	2.043e-09
0.696	2.078e-09
0.708	2.1129e-09
0.72	2.1478e-09
0.732	2.1825e-09
0.744	2.2173e-09
0.756	2.2521e-09
0.768	2.2869e-09
0.78	2.3217e-09
0.792	2.3565e-09
0.804	2.3913e-09
0.816	2.426e-09
0.828	2.4608e-09
0.84	2.4956e-09
0.852	2.5304e-09
0.864	2.5652e-09
0.876	2.6e-09
0.888	2.6348e-09
0.9	2.6696e-09
0.912	2.7044e-09
0.924	2.7392e-09
0.936	2.774e-09
0.948	2.8088e-09
0.96	2.8436e-09
0.972	2.8784e-09
0.984	2.9132e-09
0.996	2.948e-09
1.008	2.9828e-09
1.02	3.0176e-09
1.032	3.0524e-09
1.044	3.0872e-09
1.056	3.122e-09
1.068	3.1568e-09
1.08	3.1915e-09
1.092	3.2263e-09
1.104	3.2611e-09
1.116	3.2959e-09
1.128	3.3307e-09
1.14	3.3655e-09
1.152	3.4003e-09
1.164	3.4351e-09
1.176	3.4699e-09
1.188	3.5047e-09
1.2	3.4932e-09
1.188	3.4137e-09
1.176	3.3742e-09
1.164	3.3393e-09
1.152	3.3043e-09
1.14	3.2694e-09
1.128	3.2344e-09
1.116	3.1995e-09
1.104	3.1645e-09
1.092	3.1296e-09
1.08	3.0946e-09
1.068	3.0597e-09
1.056	3.0247e-09
1.044	2.9898e-09
1.032	2.9548e-09
1.02	2.9199e-09
1.008	2.8849e-09
0.996	2.85e-09
0.984	2.815e-09
0.972	2.7801e-09
0.96	2.7451e-09
0.948	2.7102e-09
0.936	2.6752e-09
0.924	2.6403e-09
0.912	2.6053e-09
0.9	2.5704e-09
0.888	2.5354e-09
0.876	2.5005e-09
0.864	2.4655e-09
0.852	2.4306e-09
0.84	2.3956e-09
0.828	2.3607e-09
0.816	2.3257e-09
0.804	2.2908e-09
0.792	2.2558e-09
0.78	2.2209e-09
0.768	2.1859e-09
0.756	2.151e-09
0.744	2.116e-09
0.732	2.0811e-09
0.72	2.0461e-09
0.708	2.0112e-09
0.696	1.9762e-09
0.684	1.9413e-09
0.672	1.9063e-09
0.66	1.8714e-09
0.648	1.8364e-09
0.636	1.8015e-09
0.624	1.7665e-09
0.612	1.7316e-09
0.6	1.6966e-09
0.588	1.6617e-09
0.576	1.6267e-09
0.564	1.5918e-09
0.552	1.5568e-09
0.54	1.5219e-09
0.528	1.4869e-09
0.516	1.452e-09
0.504	1.417e-09
0.492	1.3821e-09
0.48	1.3471e-09
0.468	1.3122e-09
0.456	1.2772e-09
0.444	1.2423e-09
0.432	1.2073e-09
0.42	1.1724e-09
0.408	1.1374e-09
0.396	1.1025e-09
0.384	1.0675e-09
