Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
0	5.0893e-11	-0.015825	-0.03165	-0.047475
0.012	5.0893e-11	-0.015808	-0.031616	-0.047425
0.024	5.0894e-11	-0.015791	-0.031582	-0.047373
0.036	5.0894e-11	-0.015773	-0.031546	-0.04732
0.048	5.0895e-11	-0.015755	-0.03151	-0.047265
0.06	5.0897e-11	-0.015736	-0.031472	-0.047209
0.072	5.0899e-11	-0.015717	-0.031433	-0.04715
0.084	5.0903e-11	-0.015696	-0.031393	-0.04709
0.096	5.0908e-11	-0.015676	-0.031351	-0.047028
0.108	5.0917e-11	-0.015654	-0.031309	-0.046963
0.12	5.0931e-11	-0.015632	-0.031264	-0.046896
0.132	5.0952e-11	-0.015609	-0.031218	-0.046827
0.144	5.0986e-11	-0.015585	-0.03117	-0.046755
0.156	5.1038e-11	-0.01556	-0.03112	-0.046681
0.168	5.112e-11	-0.015534	-0.031069	-0.046604
0.18	5.1247e-11	-0.015507	-0.031015	-0.046523
0.192	5.1447e-11	-0.01548	-0.030959	-0.04644
0.204	5.1758e-11	-0.015451	-0.030901	-0.046353
0.216	5.2243e-11	-0.01542	-0.030841	-0.046263
0.228	5.2999e-11	-0.015389	-0.030779	-0.046168
0.24	5.4176e-11	-0.015356	-0.030713	-0.04607
0.252	5.601e-11	-0.015322	-0.030644	-0.045967
0.264	5.8865e-11	-0.015286	-0.030573	-0.04586
0.276	6.3304e-11	-0.015249	-0.030498	-0.045749
0.288	7.0203e-11	-0.01521	-0.030421	-0.045632
0.3	8.0915e-11	-0.015169	-0.030339	-0.045509
0.312	9.7549e-11	-0.015126	-0.030253	-0.045379
0.324	1.2334e-10	-0.015081	-0.030162	-0.045244
0.336	1.6333e-10	-0.015034	-0.030067	-0.045102
0.348	2.2526e-10	-0.014984	-0.029967	-0.044953
0.36	3.2108e-10	-0.014931	-0.029863	-0.044795
0.372	4.6925e-10	-0.014874	-0.029751	-0.044627
0.384	6.9815e-10	-0.014815	-0.029633	-0.044449
0.396	1.0516e-09	-0.014753	-0.029507	-0.044261
0.408	1.5963e-09	-0.014687	-0.029374	-0.044062
0.42	2.4351e-09	-0.014617	-0.029233	-0.043852
0.432	3.726e-09	-0.014541	-0.029084	-0.043628
0.444	5.709e-09	-0.014461	-0.028924	-0.043387
