Voltage	Current, 0 suns
0	6.9464e-11
0.012	6.9701e-11
0.024	7.018e-11
0.036	7.0669e-11
0.048	7.1171e-11
0.06	7.1685e-11
0.072	7.2213e-11
0.084	7.2759e-11
0.096	7.3325e-11
0.108	7.3917e-11
0.12	7.4544e-11
0.132	7.5218e-11
0.144	7.5962e-11
0.156	7.6807e-11
0.168	7.7807e-11
0.18	7.9043e-11
0.192	8.0648e-11
0.204	8.283e-11
0.216	8.5923e-11
0.228	9.0451e-11
0.24	9.7252e-11
0.252	1.0766e-10
0.264	1.238e-10
0.276	1.4902e-10
0.288	1.8867e-10
0.3	2.5129e-10
0.312	3.5037e-10
0.324	5.0743e-10
0.336	7.5663e-10
0.348	1.1523e-09
0.36	1.7807e-09
0.372	2.7788e-09
0.384	4.3647e-09
0.396	6.8827e-09
0.408	1.0883e-08
0.42	1.7241e-08
0.432	2.7342e-08
0.444	4.3383e-08
0.456	6.887e-08
0.468	1.0933e-07
0.48	1.736e-07
0.492	2.7564e-07
0.504	4.3765e-07
0.516	6.9507e-07
0.528	1.1034e-06
0.54	1.7519e-06
0.552	2.7815e-06
0.564	4.4155e-06
0.576	7.0089e-06
0.588	1.1123e-05
0.6	1.7657e-05
0.612	2.802e-05
0.624	4.4456e-05
0.636	7.0529e-05
0.648	0.00011188
0.66	0.00017749
0.672	0.00028145
0.684	0.0004463
0.696	0.00070764
0.708	0.001122
0.72	0.0017785
0.732	0.0028172
0.744	0.0044611
0.756	0.007061
0.768	0.011166
0.78	0.017645
0.792	0.027829
0.804	0.043788
0.816	0.068662
0.828	0.10716
0.84	0.16615
0.852	0.25494
0.864	0.38619
0.876	0.57647
0.888	0.84426
0.9	1.2113
0.912	1.6994
0.924	2.3304
0.936	3.1238
0.948	4.0967
0.96	5.263
0.972	6.6327
0.984	8.2134
0.996	10.0098
1.008	12.0245
1.02	14.2584
1.032	16.7112
1.044	19.3811
1.056	22.266
1.068	25.3628
1.08	28.6678
1.092	32.177
1.104	35.8857
1.116	39.7893
1.128	43.8824
1.14	48.1597
1.152	52.6153
1.164	57.2429
1.176	62.0364
1.188	66.9896
1.2	71.8462
1.188	66.9902
1.176	62.038
1.164	57.2436
1.152	52.6159
1.14	48.1601
1.128	43.8828
1.116	39.7904
1.104	35.8856
1.092	32.1764
1.08	28.6676
1.068	25.3623
1.056	22.2653
1.044	19.3813
1.032	16.7111
1.02	14.2584
1.008	12.0244
0.996	10.0097
0.984	8.2133
0.972	6.6326
0.96	5.2628
0.948	4.0961
0.936	3.1237
0.924	2.3303
0.912	1.6994
0.9	1.2111
0.888	0.8443
0.876	0.57654
0.864	0.38634
0.852	0.25488
0.84	0.16609
0.828	0.10717
0.816	0.068689
0.804	0.043797
0.792	0.027824
0.78	0.017648
0.768	0.011163
0.756	0.0070617
0.744	0.0044615
0.732	0.0028163
0.72	0.0017781
0.708	0.001122
0.696	0.00070783
0.684	0.00044645
0.672	0.0002816
0.66	0.0001775
0.648	0.00011191
0.636	7.0545e-05
0.624	4.4474e-05
0.612	2.8022e-05
0.6	1.7658e-05
0.588	1.1122e-05
0.576	7.0103e-06
0.564	4.4151e-06
0.552	2.7822e-06
0.54	1.7522e-06
0.528	1.1031e-06
0.516	6.9491e-07
0.504	4.3758e-07
0.492	2.7547e-07
0.48	1.7344e-07
0.468	1.0913e-07
0.456	6.8662e-08
0.444	4.319e-08
0.432	2.7152e-08
0.42	1.7048e-08
0.408	1.0696e-08
0.396	6.6988e-09
0.384	4.1808e-09
0.372	2.5975e-09
0.36	1.602e-09
0.348	9.7506e-10
0.336	5.8159e-10
0.324	3.3412e-10
0.312	1.789e-10
0.3	8.1519e-11
0.288	2.0571e-11
0.276	-1.744e-11
0.264	-4.1072e-11
0.252	-5.5662e-11
0.24	-6.4565e-11
0.228	-6.991e-11
0.216	-7.3014e-11
0.204	-7.472e-11
0.192	-7.5553e-11
0.18	-7.5842e-11
0.168	-7.5797e-11
0.156	-7.5546e-11
0.144	-7.5171e-11
0.132	-7.4723e-11
0.12	-7.4234e-11
0.108	-7.3724e-11
0.096	-7.3205e-11
0.084	-7.2685e-11
0.072	-7.2168e-11
0.06	-7.1657e-11
0.048	-7.1155e-11
0.036	-7.066e-11
0.024	-7.0175e-11
0.012	-6.9699e-11
0	-6.9232e-11
-0.012	-6.8774e-11
-0.024	-6.8325e-11
-0.036	-6.7885e-11
-0.048	-6.7453e-11
-0.06	-6.7029e-11
-0.072	-6.6612e-11
-0.084	-6.6204e-11
-0.096	-6.5803e-11
-0.108	-6.5409e-11
-0.12	-6.5022e-11
-0.132	-6.4642e-11
-0.144	-6.4269e-11
-0.156	-6.3902e-11
-0.168	-6.3541e-11
-0.18	-6.3186e-11
-0.192	-6.2837e-11
-0.204	-6.2494e-11
-0.216	-6.2156e-11
-0.228	-6.1824e-11
-0.24	-6.1497e-11
-0.252	-6.1176e-11
-0.264	-6.0859e-11
-0.276	-6.0547e-11
-0.288	-6.024e-11
-0.3	-5.9937e-11
-0.312	-5.9639e-11
-0.324	-5.9346e-11
-0.336	-5.9057e-11
-0.348	-5.8771e-11
-0.36	-5.849e-11
-0.372	-5.8213e-11
-0.384	-5.794e-11
-0.396	-5.7671e-11
-0.408	-5.7405e-11
-0.42	-5.7144e-11
-0.432	-5.6885e-11
-0.444	-5.663e-11
-0.456	-5.6379e-11
-0.468	-5.6131e-11
-0.48	-5.5886e-11
-0.492	-5.5644e-11
-0.504	-5.5405e-11
-0.516	-5.517e-11
-0.528	-5.4937e-11
-0.54	-5.4707e-11
-0.552	-5.4481e-11
-0.564	-5.4256e-11
-0.576	-5.4035e-11
-0.588	-5.3817e-11
-0.6	-5.3601e-11
-0.612	-5.3387e-11
-0.624	-5.3176e-11
-0.636	-5.2968e-11
-0.648	-5.2762e-11
-0.66	-5.2558e-11
-0.672	-5.2357e-11
-0.684	-5.2158e-11
-0.696	-5.1962e-11
-0.708	-5.1767e-11
-0.72	-5.1575e-11
-0.732	-5.1385e-11
-0.744	-5.1197e-11
-0.756	-5.101e-11
-0.768	-5.0826e-11
-0.78	-5.0644e-11
-0.792	-5.0464e-11
-0.804	-5.0286e-11
-0.816	-5.011e-11
-0.828	-4.9935e-11
-0.84	-4.9763e-11
-0.852	-4.9592e-11
-0.864	-4.9423e-11
-0.876	-4.9255e-11
-0.888	-4.9089e-11
-0.9	-4.8925e-11
-0.912	-4.8763e-11
-0.924	-4.8602e-11
-0.936	-4.8443e-11
-0.948	-4.8285e-11
-0.96	-4.8129e-11
-0.972	-4.7974e-11
-0.984	-4.7821e-11
-0.996	-4.7669e-11
-1.008	-4.7519e-11
-1.02	-4.737e-11
-1.032	-4.7223e-11
-1.044	-4.7077e-11
-1.056	-4.6932e-11
-1.068	-4.6788e-11
-1.08	-4.6646e-11
-1.092	-4.6505e-11
-1.104	-4.6366e-11
-1.116	-4.6228e-11
-1.128	-4.6091e-11
-1.14	-4.5955e-11
-1.152	-4.582e-11
-1.164	-4.5686e-11
-1.176	-4.5554e-11
-1.188	-4.5414e-11
-1.2	-1.9938e-15
-1.188	4.541e-11
-1.176	4.555e-11
-1.164	4.5683e-11
-1.152	4.5816e-11
-1.14	4.5951e-11
-1.128	4.6087e-11
-1.116	4.6224e-11
-1.104	4.6362e-11
-1.092	4.6502e-11
-1.08	4.6642e-11
-1.068	4.6785e-11
-1.056	4.6928e-11
-1.044	4.7073e-11
-1.032	4.7219e-11
-1.02	4.7366e-11
-1.008	4.7515e-11
-0.996	4.7666e-11
-0.984	4.7817e-11
-0.972	4.797e-11
-0.96	4.8125e-11
-0.948	4.8281e-11
-0.936	4.8439e-11
-0.924	4.8598e-11
-0.912	4.8759e-11
-0.9	4.8922e-11
-0.888	4.9086e-11
-0.876	4.9251e-11
-0.864	4.9419e-11
-0.852	4.9588e-11
-0.84	4.9759e-11
-0.828	4.9932e-11
-0.816	5.0106e-11
-0.804	5.0282e-11
-0.792	5.0461e-11
-0.78	5.0641e-11
-0.768	5.0823e-11
-0.756	5.1007e-11
-0.744	5.1193e-11
-0.732	5.1381e-11
-0.72	5.1571e-11
-0.708	5.1763e-11
-0.696	5.1958e-11
-0.684	5.2155e-11
-0.672	5.2354e-11
-0.66	5.2555e-11
-0.648	5.2758e-11
-0.636	5.2964e-11
-0.624	5.3173e-11
-0.612	5.3384e-11
-0.6	5.3597e-11
-0.588	5.3813e-11
-0.576	5.4032e-11
-0.564	5.4253e-11
-0.552	5.4477e-11
-0.54	5.4704e-11
-0.528	5.4933e-11
-0.516	5.5166e-11
-0.504	5.5402e-11
-0.492	5.564e-11
-0.48	5.5882e-11
-0.468	5.6127e-11
-0.456	5.6375e-11
-0.444	5.6627e-11
-0.432	5.6882e-11
-0.42	5.714e-11
-0.408	5.7402e-11
-0.396	5.7667e-11
-0.384	5.7937e-11
-0.372	5.821e-11
-0.36	5.8487e-11
-0.348	5.8768e-11
-0.336	5.9053e-11
-0.324	5.9342e-11
-0.312	5.9636e-11
-0.3	5.9934e-11
-0.288	6.0236e-11
-0.276	6.0544e-11
-0.264	6.0855e-11
-0.252	6.1172e-11
-0.24	6.1494e-11
-0.228	6.1821e-11
-0.216	6.2153e-11
-0.204	6.2491e-11
-0.192	6.2834e-11
-0.18	6.3183e-11
-0.168	6.3537e-11
-0.156	6.3898e-11
-0.144	6.4265e-11
-0.132	6.4639e-11
-0.12	6.5019e-11
-0.108	6.5406e-11
-0.096	6.58e-11
-0.084	6.6201e-11
-0.072	6.6609e-11
-0.06	6.7026e-11
-0.048	6.745e-11
-0.036	6.7882e-11
-0.024	6.8323e-11
-0.012	6.8773e-11
0	6.9e-11
